,ROCR_daily_20
2000-01-31,1.0091
2000-02-29,1.1048
2000-03-31,1.0610
2000-04-28,0.9866
2000-05-31,0.7126
2000-06-30,1.1318
2000-07-31,0.9700
2000-08-31,1.2696
2000-09-29,0.4225
2000-10-31,0.8767
2000-11-30,0.8049
2000-12-29,0.9018
2001-01-31,1.4530
2001-02-28,0.8391
2001-03-30,1.1465
2001-04-30,1.1550
2001-05-31,0.7503
2001-06-29,1.1130
2001-07-31,0.7862
2001-08-31,0.9513
2001-09-28,0.8352
2001-10-31,1.1722
2001-11-30,1.1458
2001-12-31,1.0282
2002-01-31,1.0609
2002-02-28,0.9008
2002-03-29,0
2002-04-30,1.0083
2002-05-31,0.9835
2002-06-28,0.7605
2002-07-31,0.9008
2002-08-30,1.0208
2002-09-30,0.9831
2002-10-31,1.1238
2002-11-29,0.9645
2002-12-31,0.9440
2003-01-31,0.9703
2003-02-28,1.0482
2003-03-31,0.9652
2003-04-30,1.0042
2003-05-30,1.2500
2003-06-30,1.0923
2003-07-31,1.0939
2003-08-29,1.0907
2003-09-30,0.9068
2003-10-31,1.0553
2003-11-28,0.9056
2003-12-31,0.9921
2004-01-30,1.0557
2004-02-27,1.0547
2004-03-31,1.1304
2004-04-30,0.9509
2004-05-31,0
2004-06-30,1.1597
2004-07-30,1.0012
2004-08-31,1.1023
2004-09-30,1.0806
2004-10-29,1.3551
2004-11-30,1.2784
2004-12-31,0.9876
2005-01-31,1.1941
2005-02-28,1.2128
2005-03-31,0.9444
2005-04-29,0.8819
2005-05-31,1.0914
2005-06-30,0.9193
2005-07-29,1.1587
2005-08-31,1.0849
2005-09-30,1.1589
2005-10-31,1.0579
2005-11-30,1.1795
2005-12-30,1.0040
2006-01-31,1.0504
2006-02-28,0.9132
2006-03-31,0.9262
2006-04-28,1.1218
2006-05-31,0.8345
2006-06-30,0.9288
2006-07-31,1.1867
2006-08-31,0.9750
2006-09-29,1.1346
2006-10-31,1.0946
2006-11-30,1.1579
2006-12-29,0.9256
2007-01-31,1.0105
2007-02-28,0.9890
2007-03-30,1.0878
2007-04-30,1.0742
2007-05-31,1.2072
2007-06-29,1.0307
2007-07-31,1.0866
2007-08-31,1.0503
2007-09-28,1.1264
2007-10-31,1.2028
2007-11-30,0.9722
2007-12-31,1.0870
2008-01-31,0.6947
2008-02-29,0.9236
2008-03-31,1.1478
2008-04-30,1.1794
2008-05-30,1.0486
2008-06-30,0.8997
2008-07-31,0.9451
2008-08-29,1.0822
2008-09-30,0.6839
2008-10-31,1.1084
2008-11-28,0.8346
2008-12-31,0.9230
2009-01-30,1.0560
2009-02-27,0.9603
2009-03-31,1.1895
2009-04-30,1.1577
2009-05-29,1.0793
2009-06-30,1.0211
2009-07-31,1.1669
2009-08-31,1.0107
2009-09-30,1.1213
2009-10-30,1.0195
2009-11-30,1.0605
2009-12-31,1.0739
2010-01-29,0.9075
2010-02-26,1.0267
2010-03-31,1.1226
2010-04-30,1.1065
2010-05-31,0
2010-06-30,0.9529
2010-07-30,1.0353
2010-08-31,0.9281
2010-09-30,1.1335
2010-10-29,1.0653
2010-11-30,1.0229
