,ROCR_daily_20
2000-01-31,0.5429
2000-02-29,0.8211
2000-03-31,1.2212
2000-04-28,1.1326
2000-05-31,0.8339
2000-06-30,0.8256
2000-07-31,1.2732
2000-08-31,1.0121
2000-09-29,0.8621
2000-10-31,0.9678
2000-11-30,0.9412
2000-12-29,0.9594
2001-01-31,1.0769
2001-02-28,1.0214
2001-03-30,1.0340
2001-04-30,1.2967
2001-05-31,1.0129
2001-06-29,0.9087
2001-07-31,1.0471
2001-08-31,0.9581
2001-09-28,0.6306
2001-10-31,0.9891
2001-11-30,1.1522
2001-12-31,1.0736
2002-01-31,1.2249
2002-02-28,1.0519
2002-03-29,0
2002-04-30,0.8801
2002-05-31,1.1087
2002-06-28,0.9170
2002-07-31,0.7843
2002-08-30,1.0078
2002-09-30,0.8033
2002-10-31,0.9891
2002-11-29,1.1188
2002-12-31,0.9467
2003-01-31,0.7898
2003-02-28,0.8855
2003-03-31,0.6030
2003-04-30,0.8488
2003-05-30,0.9900
2003-06-30,1.2067
2003-07-31,0.6685
2003-08-29,1.1000
2003-09-30,0.8065
2003-10-31,1.1940
2003-11-28,1.2658
2003-12-31,1.6887
2004-01-30,0.9608
2004-02-27,0.9918
2004-03-31,1.0870
2004-04-30,0.7794
2004-05-31,0
2004-06-30,1.0911
2004-07-30,1.2949
2004-08-31,0.9326
2004-09-30,1.3421
2004-10-29,1.1081
2004-11-30,1.3719
2004-12-31,1.1959
2005-01-31,1.0028
2005-02-28,1.2500
2005-03-31,0.6544
2005-04-29,0.6393
2005-05-31,1.0479
2005-06-30,0.8854
2005-07-29,1.4384
2005-08-31,0.8587
2005-09-30,1.0251
2005-10-31,0.8412
2005-11-30,1.1434
2005-12-30,0.8993
2006-01-31,1.4478
2006-02-28,1.0091
2006-03-31,1.0722
2006-04-28,0.9783
2006-05-31,0.8997
2006-06-30,0.9886
2006-07-31,0.9342
2006-08-31,0.9700
2006-09-29,0.9627
2006-10-31,1.2653
2006-11-30,1.1233
2006-12-29,1.0249
2007-01-31,1.2450
2007-02-28,1.1083
2007-03-30,1.0734
2007-04-30,1.3048
2007-05-31,1.1295
2007-06-29,1.0554
2007-07-31,1.0328
2007-08-31,1.0905
2007-09-28,1.1566
2007-10-31,1.1773
2007-11-30,0.9232
2007-12-31,1.0375
2008-01-31,1.0701
2008-02-29,1.1029
2008-03-31,1.0342
2008-04-30,1.0653
2008-05-30,1.1291
2008-06-30,0.9908
2008-07-31,1.1209
2008-08-29,0.8768
2008-09-30,0.5409
2008-10-31,0.6857
2008-11-28,0.5857
2008-12-31,1.3017
2009-01-30,0.8659
2009-02-27,0.7144
2009-03-31,1.2088
2009-04-30,1.6744
2009-05-29,1.1040
2009-06-30,1.1890
2009-07-31,1.0796
2009-08-31,0.9681
2009-09-30,1.0092
2009-10-30,0.8792
2009-11-30,1.2639
2009-12-31,0.9995
2010-01-29,0.9275
2010-02-26,1.0401
2010-03-31,1.0022
2010-04-30,0.7261
2010-05-31,0
2010-06-30,0.7979
2010-07-30,1.1846
2010-08-31,0.8617
2010-09-30,1.0368
2010-10-29,0.9012
2010-11-30,1.0398
2010-12-31,1.1828
2011-01-31,0.9713
2011-02-28,1.0290
2011-03-31,1.0161
2011-04-29,1.0298
2011-05-31,0.9766
2011-06-30,1.0656
2011-07-29,0.7709
2011-08-31,0.8409
2011-09-30,0.7466
2011-10-31,1.4437
2011-11-30,1.0664
2011-12-30,1.0098
2012-01-31,1.1429
2012-02-29,0.8439
2012-03-30,0.9742
2012-04-30,0.9815
2012-05-31,0.8130
2012-06-29,0.9866
2012-07-31,0.9188
2012-08-31,1.0631
2012-09-28,0.9600
2012-10-31,1.0328
2012-11-30,0.7318
2012-12-31,1.1471
2013-01-31,0.8421
2013-02-28,0.9446
2013-03-29,0
2013-04-30,1.0841
2013-05-31,1.0547
2013-06-28,0.8761
2013-07-31,1.1075
2013-08-30,0.9882
2013-09-30,1.1161
2013-10-31,1.1370
2013-11-29,1.2864
2013-12-31,1.4722
2014-01-31,0.8696
2014-02-28,0.8859
2014-03-31,1.1856
2014-04-30,0.9511
2014-05-30,0.8718
2014-06-30,1.3092
2014-07-31,1.0833
2014-08-29,1.1961
2014-09-30,0.7493
2014-10-31,0.9895
2014-11-28,0.9367
2014-12-31,1.0959
2015-01-30,0.6380
2015-02-27,1.1818
2015-03-31,1.1010
2015-04-30,1.1519
2015-05-29,1.0354
2015-06-30,0.7114
2015-07-31,0.8310
2015-08-31,0.9841
2015-09-30,0.8310
2015-10-30,1.1289
2015-11-30,0.8235
2015-12-31,0.9372
2016-01-29,0.9231
2016-02-29,1.4020
2016-03-31,1.1733
2016-04-29,1.1169
2016-05-31,0.9224
2016-06-30,1.0448
2016-07-29,1.4077
2016-08-31,0.7170
2016-09-30,1.0977
2016-10-31,1.0505
2016-11-30,1.7867
2016-12-30,1.0943
2017-01-31,0.7914
2017-02-28,1.0297
2017-03-31,0.8621
2017-04-28,0.8769
2017-05-31,0.9776
2017-06-30,1.1154
2017-07-31,0.8615
2017-08-31,1.0448
2017-09-29,0.9982
2017-10-31,0.7997
2017-11-30,1.1195
2017-12-29,1.1622
2018-01-31,0.8109
2018-02-28,0.9399
2018-03-30,0
2018-04-30,1.0385
2018-05-31,1.0512
2018-06-29,0.9394
2018-07-31,1.0404
2018-08-31,0.9867
2018-09-28,1.1264
2018-10-31,0.7490
2018-11-30,0.8105
2018-12-31,0.7188
2019-01-31,1.2343
2019-02-28,1.0414
2019-03-29,0.9046
2019-04-30,0.8491
2019-05-31,0.7414
2019-06-28,1.3779
2019-07-31,1.2478
2019-08-30,0.7912
2019-09-30,1.0509
2019-10-31,1.0926
2019-11-29,1.1695
2019-12-31,1.1384
2020-01-31,0.8875
2020-02-28,0.8191
2020-03-31,0
2020-04-30,0
2020-05-29,0
2020-06-30,0
2020-07-31,0
2020-08-31,0
2020-09-30,0
2020-10-30,0
2020-11-30,0
2020-12-31,0
2021-01-29,0
2021-02-26,0
2021-03-31,0
2021-04-30,0
2021-05-31,0
2021-06-30,0
2021-07-30,0
2021-08-31,0
2021-09-30,0
2021-10-29,0
2021-11-30,0
2021-12-31,0
2022-01-31,0
2022-02-28,0
2022-03-31,0
