,ROCR_daily_20
2000-01-31,0.9238
2000-02-29,0.7409
2000-03-31,1.2920
2000-04-28,0.9654
2000-05-31,0.9761
2000-06-30,1.0441
2000-07-31,1.0783
2000-08-31,1.0287
2000-09-29,0.9151
2000-10-31,1.1242
2000-11-30,1.1232
2000-12-29,1.1828
2001-01-31,0.8992
2001-02-28,1.0406
2001-03-30,1.1029
2001-04-30,1.0028
2001-05-31,1.0580
2001-06-29,1.0141
2001-07-31,1.0415
2001-08-31,1.0560
2001-09-28,1.1552
2001-10-31,1.0164
2001-11-30,1.0760
2001-12-31,1.0318
2002-01-31,1.1163
2002-02-28,1.0954
2002-03-29,0
2002-04-30,1.0121
2002-05-31,0.8591
2002-06-28,0.9976
2002-07-31,1.0214
2002-08-30,1.1688
2002-09-30,1.0116
2002-10-31,0.9810
2002-11-29,1.0236
2002-12-31,1.0424
2003-01-31,0.9923
2003-02-28,1.0254
2003-03-31,1.0388
2003-04-30,0.9868
2003-05-30,0.8795
2003-06-30,0.9102
2003-07-31,1.0986
2003-08-29,1.0939
2003-09-30,1.0223
2003-10-31,1.0079
2003-11-28,0.9752
2003-12-31,1.0577
2004-01-30,1.0504
2004-02-27,1.0624
2004-03-31,1.0428
2004-04-30,0.9632
2004-05-31,0
2004-06-30,1.0665
2004-07-30,1.0122
2004-08-31,1.0185
2004-09-30,0.9981
2004-10-29,1.0615
2004-11-30,1.1083
2004-12-31,1.0002
2005-01-31,0.9714
2005-02-28,1.0700
2005-03-31,0.9376
2005-04-29,0.9482
2005-05-31,0.9575
2005-06-30,0.9561
2005-07-29,1.0553
2005-08-31,0.9792
2005-09-30,0.9691
2005-10-31,1.0719
2005-11-30,1.0543
2005-12-30,0.9525
2006-01-31,1.0196
2006-02-28,1.0630
2006-03-31,1.0122
2006-04-28,0.9060
2006-05-31,1.0009
2006-06-30,0.9957
2006-07-31,1.0340
2006-08-31,1.0309
2006-09-29,1.0027
2006-10-31,1.0295
2006-11-30,1.0376
2006-12-29,1.0196
2007-01-31,1.0624
2007-02-28,1.0129
2007-03-30,1.0068
2007-04-30,1.1056
2007-05-31,1.0767
2007-06-29,0.9556
2007-07-31,0.9585
2007-08-31,1.0374
2007-09-28,1.0427
2007-10-31,0.9015
2007-11-30,0.9549
2007-12-31,0.9730
2008-01-31,1.0306
2008-02-29,0.9646
2008-03-31,1.0417
2008-04-30,1.1200
2008-05-30,1.0039
2008-06-30,0.8718
2008-07-31,0.9700
2008-08-29,1.0305
2008-09-30,0.8620
2008-10-31,0.9548
2008-11-28,1.0763
2008-12-31,1.1982
2009-01-30,0.9219
2009-02-27,1.0052
2009-03-31,1.1494
2009-04-30,0.8602
2009-05-29,1.0579
2009-06-30,1.0358
2009-07-31,1.0327
2009-08-31,0.9878
2009-09-30,1.0244
2009-10-30,1.0096
2009-11-30,1.0036
2009-12-31,1.0536
2010-01-29,0.9745
2010-02-26,1.0713
2010-03-31,0.9778
2010-04-30,0.9806
2010-05-31,0
2010-06-30,1.0499
2010-07-30,1.1159
2010-08-31,0.9553
2010-09-30,1.0189
2010-10-29,1.0837
2010-11-30,1.0447
2010-12-31,0.9854
2011-01-31,1.0453
2011-02-28,1.0200
2011-03-31,0.9884
2011-04-29,1.0407
2011-05-31,1.0563
2011-06-30,0.9959
2011-07-29,1.0088
2011-08-31,0.9855
2011-09-30,0.8692
2011-10-31,1.1439
2011-11-30,1.0409
2011-12-30,1.0194
2012-01-31,1.0994
2012-02-29,1.0234
2012-03-30,1.0771
2012-04-30,0.9739
2012-05-31,0.9662
2012-06-29,1.0437
2012-07-31,1.0257
2012-08-31,1.0285
2012-09-28,1.0120
2012-10-31,1.0085
2012-11-30,1.0313
2012-12-31,1.0013
2013-01-31,0.9668
2013-02-28,0.9697
2013-03-29,0
2013-04-30,0.9190
2013-05-31,0.9630
2013-06-28,0.9625
2013-07-31,1.0619
2013-08-30,0.9716
2013-09-30,1.0104
2013-10-31,1.0889
2013-11-29,1.0249
2013-12-31,1.0291
2014-01-31,0.9957
2014-02-28,1.0793
2014-03-31,0.9922
2014-04-30,1.0205
2014-05-30,1.0623
2014-06-30,1.0433
2014-07-31,0.9775
2014-08-29,1.0414
2014-09-30,0.9697
2014-10-31,1.0208
2014-11-28,1.0616
2014-12-31,1.0055
2015-01-30,0.9290
2015-02-27,1.1248
2015-03-31,0.9770
2015-04-30,1.0442
2015-05-29,0.9688
2015-06-30,0.9882
2015-07-31,0.9468
2015-08-31,0.9813
2015-09-30,0.9660
2015-10-30,1.0693
2015-11-30,1.0153
2015-12-31,1.0775
2016-01-29,0.9114
2016-02-29,0.9929
2016-03-31,1.0473
2016-04-29,0.9968
2016-05-31,1.0053
2016-06-30,0.9811
2016-07-29,0.9776
2016-08-31,1.1315
2016-09-30,1.0263
2016-10-31,0.9532
2016-11-30,0.9781
2016-12-30,1.0268
2017-01-31,1.0159
2017-02-28,0.9631
2017-03-31,1.0061
2017-04-28,1.0444
2017-05-31,1.0677
2017-06-30,1.0206
2017-07-31,0.9927
2017-08-31,0.9872
2017-09-29,1.0328
2017-10-31,1.0325
2017-11-30,0.9370
2017-12-29,0.9484
2018-01-31,0.9909
2018-02-28,1.0660
2018-03-30,0
2018-04-30,1.0309
2018-05-31,0.9623
2018-06-29,0.9671
2018-07-31,1.0898
2018-08-31,1.0135
2018-09-28,1.0539
2018-10-31,0.9885
2018-11-30,1.0334
2018-12-31,0.9295
2019-01-31,1.1704
2019-02-28,1.0723
2019-03-29,1.0480
2019-04-30,1.0264
2019-05-31,1.0257
2019-06-28,1.1401
2019-07-31,0.9989
2019-08-30,1.0780
2019-09-30,0.9055
2019-10-31,0.9767
2019-11-29,0.9463
2019-12-31,0.9830
2020-01-31,1.1299
2020-02-28,0.9659
2020-03-31,0.8491
2020-04-30,1.0221
2020-05-29,1.0887
2020-06-30,0.9654
2020-07-31,1.0253
2020-08-31,1.0855
2020-09-30,1.0140
2020-10-30,1.0766
2020-11-30,1.0804
2020-12-31,0.9913
2021-01-29,0.9479
2021-02-26,0.9692
2021-03-31,1.0017
2021-04-30,1.0854
2021-05-31,0
2021-06-30,0.9903
2021-07-30,0.9817
2021-08-31,1.1954
2021-09-30,0.9308
2021-10-29,1.0181
2021-11-30,1.0081
2021-12-31,1.0287
2022-01-31,1.0086
2022-02-28,0.9619
2022-03-31,0.9984
