,ROCR_daily_20
2000-01-31,0.9971
2000-02-29,0.9176
2000-03-31,1.1026
2000-04-28,1.0209
2000-05-31,1.0473
2000-06-30,0.9972
2000-07-31,1.0175
2000-08-31,1.0035
2000-09-29,0.9543
2000-10-31,0.9912
2000-11-30,1.0499
2000-12-29,1.1248
2001-01-31,0.9584
2001-02-28,0.9030
2001-03-30,0.8237
2001-04-30,1.0270
2001-05-31,1.1040
2001-06-29,1.0652
2001-07-31,0.9648
2001-08-31,0.9838
2001-09-28,0.9667
2001-10-31,0.9608
2001-11-30,0.9707
2001-12-31,1.0132
2002-01-31,1.0061
2002-02-28,1.0133
2002-03-29,0
2002-04-30,1.0147
2002-05-31,1.0097
2002-06-28,0.9476
2002-07-31,0.9113
2002-08-30,1.0787
2002-09-30,0.9652
2002-10-31,0.9436
2002-11-29,0.9639
2002-12-31,1.0601
2003-01-31,0.9264
2003-02-28,1.0041
2003-03-31,0.9879
2003-04-30,1.0544
2003-05-30,1.0988
2003-06-30,1.0139
2003-07-31,1.0054
2003-08-29,1.0451
2003-09-30,1.0182
2003-10-31,1.0289
2003-11-28,1.0470
2003-12-31,1.0265
2004-01-30,0.9544
2004-02-27,1.0099
2004-03-31,0.9821
2004-04-30,0.9839
2004-05-31,0
2004-06-30,1.0194
2004-07-30,0.9694
2004-08-31,1.0285
2004-09-30,1.0052
2004-10-29,0.9969
2004-11-30,0.9480
2004-12-31,1.0386
2005-01-31,0.9920
2005-02-28,1.0234
2005-03-31,1.0349
2005-04-29,0.9497
2005-05-31,1.0669
2005-06-30,1.0482
2005-07-29,1.0345
2005-08-31,0.9287
2005-09-30,1.0000
2005-10-31,0.9086
2005-11-30,1.0391
2005-12-30,1.0558
2006-01-31,1.0096
2006-02-28,0.9947
2006-03-31,0.9964
2006-04-28,1.0275
2006-05-31,1.0114
2006-06-30,0.9918
2006-07-31,1.0837
2006-08-31,1.0070
2006-09-29,1.0202
2006-10-31,1.0697
2006-11-30,1.1233
2006-12-29,1.0046
2007-01-31,0.9819
2007-02-28,1.0609
2007-03-30,1.1323
2007-04-30,0.9817
2007-05-31,0.9376
2007-06-29,0.9235
2007-07-31,0.9496
2007-08-31,1.0212
2007-09-28,1.0318
2007-10-31,1.0810
2007-11-30,1.0372
2007-12-31,0.9915
2008-01-31,0.9011
2008-02-29,0.9209
2008-03-31,0.9673
2008-04-30,1.0436
2008-05-30,0.9662
2008-06-30,0.9831
2008-07-31,0.9988
2008-08-29,1.0914
2008-09-30,0.9636
2008-10-31,0.9115
2008-11-28,1.0377
2008-12-31,1.0651
2009-01-30,0.9892
2009-02-27,0.9120
2009-03-31,1.0757
2009-04-30,0.9822
2009-05-29,1.0004
2009-06-30,1.0423
2009-07-31,1.0370
2009-08-31,1.0316
2009-09-30,0.9990
2009-10-30,0.9996
2009-11-30,1.0563
2009-12-31,1.0497
2010-01-29,0.9620
2010-02-26,1.0165
2010-03-31,1.0566
2010-04-30,0.9936
2010-05-31,0
2010-06-30,0.9845
2010-07-30,1.0905
2010-08-31,1.0328
2010-09-30,0.9976
2010-10-29,1.0486
2010-11-30,0.9976
2010-12-31,1.0025
2011-01-31,1.0326
2011-02-28,1.0473
2011-03-31,1.0120
2011-04-29,1.0289
2011-05-31,0.9957
2011-06-30,1.0080
2011-07-29,0.9667
2011-08-31,1.0583
2011-09-30,0.9796
2011-10-31,1.0783
2011-11-30,1.0304
2011-12-30,1.0429
2012-01-31,0.9634
2012-02-29,1.0417
2012-03-30,1.0288
2012-04-30,0.9906
2012-05-31,0.9817
2012-06-29,1.0656
2012-07-31,1.0199
2012-08-31,0.9606
2012-09-28,1.0138
2012-10-31,1.0168
2012-11-30,0.9961
2012-12-31,1.0088
2013-01-31,1.0229
2013-02-28,1.0217
2013-03-29,0
2013-04-30,1.0423
2013-05-31,0.9286
2013-06-28,1.0084
2013-07-31,1.0797
2013-08-30,0.9168
2013-09-30,1.0161
2013-10-31,1.0453
2013-11-29,0.9578
2013-12-31,1.0442
2014-01-31,1.0499
2014-02-28,1.0312
2014-03-31,1.0353
2014-04-30,1.0477
2014-05-30,0.9711
2014-06-30,1.0426
2014-07-31,0.9515
2014-08-29,1.0480
2014-09-30,0.9833
2014-10-31,1.0834
2014-11-28,1.0261
2014-12-31,1.0533
2015-01-30,1.0385
2015-02-27,0.9249
2015-03-31,0.9984
2015-04-30,0.9612
2015-05-29,1.0187
2015-06-30,0.9365
2015-07-31,1.0690
2015-08-31,0.9476
2015-09-30,1.1088
