,ROCR_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0.9126
2001-08-31,0.9064
2001-09-28,0.7121
2001-10-31,1.0935
2001-11-30,0.9700
2001-12-31,1.3045
2002-01-31,0.9606
2002-02-28,1.1899
2002-03-29,0
2002-04-30,1.1098
2002-05-31,0.9740
2002-06-28,0.9247
2002-07-31,0.9778
2002-08-30,1.0564
2002-09-30,0.9129
2002-10-31,1.0464
2002-11-29,1.0416
2002-12-31,1.0190
2003-01-31,0.9377
2003-02-28,1.0205
2003-03-31,0.9634
2003-04-30,0.9696
2003-05-30,1.1510
2003-06-30,0.9439
2003-07-31,1.0619
2003-08-29,1.0511
2003-09-30,0.9146
2003-10-31,0.8972
2003-11-28,1.0753
2003-12-31,1.0472
2004-01-30,1.0562
2004-02-27,1.0486
2004-03-31,0.9815
2004-04-30,1.0164
2004-05-31,0
2004-06-30,1.0484
2004-07-30,1.0530
2004-08-31,1.0069
2004-09-30,1.0550
2004-10-29,0.8933
2004-11-30,1.0972
2004-12-31,1.0324
2005-01-31,0.9512
2005-02-28,1.1347
2005-03-31,0.9762
2005-04-29,0.8984
2005-05-31,1.0035
2005-06-30,1.0201
2005-07-29,1.1339
2005-08-31,1.0723
2005-09-30,1.0444
2005-10-31,0.8515
2005-11-30,1.1120
2005-12-30,1.0115
2006-01-31,1.2074
2006-02-28,0.9146
2006-03-31,1.0453
2006-04-28,1.0658
2006-05-31,1.1619
2006-06-30,0.9903
2006-07-31,0.9342
2006-08-31,0.9004
2006-09-29,0.9130
2006-10-31,1.2001
2006-11-30,1.0218
2006-12-29,1.0270
2007-01-31,1.0049
2007-02-28,1.0755
2007-03-30,1.0667
2007-04-30,1.0161
2007-05-31,1.0622
2007-06-29,1.0475
2007-07-31,1.1209
2007-08-31,1.0735
2007-09-28,1.2474
2007-10-31,1.0716
2007-11-30,0.9373
2007-12-31,1.0202
2008-01-31,0.8415
2008-02-29,1.1765
2008-03-31,1.0041
2008-04-30,1.1285
2008-05-30,1.0943
2008-06-30,1.0640
2008-07-31,0.8288
2008-08-29,0.9167
2008-09-30,0.9481
2008-10-31,0.8633
2008-11-28,0.8079
2008-12-31,0.9345
2009-01-30,1.2417
2009-02-27,0.8774
2009-03-31,1.3186
2009-04-30,1.0822
2009-05-29,1.2159
2009-06-30,0.8617
2009-07-31,1.1872
2009-08-31,1.0657
2009-09-30,1.1374
2009-10-30,1.0528
2009-11-30,1.0356
2009-12-31,1.0149
2010-01-29,0.9109
2010-02-26,1.0503
2010-03-31,1.0663
2010-04-30,1.0248
2010-05-31,0
2010-06-30,1.0303
2010-07-30,1.1846
2010-08-31,0.9600
2010-09-30,1.0540
2010-10-29,1.0389
2010-11-30,1.1651
2010-12-31,1.0019
2011-01-31,1.0572
2011-02-28,1.0241
2011-03-31,0.9757
2011-04-29,0.9839
2011-05-31,0.9594
2011-06-30,1.0259
2011-07-29,1.0181
2011-08-31,1.0148
2011-09-30,0.8622
2011-10-31,1.2464
2011-11-30,1.1911
2011-12-30,0.9909
2012-01-31,0.9786
2012-02-29,0.9867
2012-03-30,0.9960
2012-04-30,0.9322
2012-05-31,0.8520
2012-06-29,1.0134
