,ROCR_daily_20
2000-01-31,0.8659
2000-02-29,0.9879
2000-03-31,1.1199
2000-04-28,0.9906
2000-05-31,0.9803
2000-06-30,1.0047
2000-07-31,0.9780
2000-08-31,1.1087
2000-09-29,0.9883
2000-10-31,0.9280
2000-11-30,0.9104
2000-12-29,0.9705
2001-01-31,1.0510
2001-02-28,1.0054
2001-03-30,0.9425
2001-04-30,1.1593
2001-05-31,0.9980
2001-06-29,1.0000
2001-07-31,0.8694
2001-08-31,0.9567
2001-09-28,0.8899
2001-10-31,0.9544
2001-11-30,1.0156
2001-12-31,1.0456
2002-01-31,0.9072
2002-02-28,1.0488
2002-03-29,0
2002-04-30,0.8504
2002-05-31,0.9854
2002-06-28,0.9386
2002-07-31,1.1459
2002-08-30,1.0220
2002-09-30,0.8230
2002-10-31,1.0256
2002-11-29,1.0741
2002-12-31,0.9021
2003-01-31,0.9082
2003-02-28,1.0752
2003-03-31,1.0669
2003-04-30,1.1271
2003-05-30,0.9863
2003-06-30,0.9954
2003-07-31,0.9941
2003-08-29,1.0390
2003-09-30,0.9854
2003-10-31,0.9413
2003-11-28,0.9927
2003-12-31,1.0577
2004-01-30,1.0855
2004-02-27,0.9615
2004-03-31,0.9291
2004-04-30,0.9781
2004-05-31,0
2004-06-30,1.0501
2004-07-30,1.0387
2004-08-31,0.9976
2004-09-30,1.0274
2004-10-29,1.0044
2004-11-30,1.0385
2004-12-31,1.0216
2005-01-31,0.9899
2005-02-28,0.9907
2005-03-31,1.0129
2005-04-29,1.0206
2005-05-31,1.0063
2005-06-30,0.9450
2005-07-29,0.9957
2005-08-31,0.9825
2005-09-30,1.0227
2005-10-31,1.0205
2005-11-30,1.0631
2005-12-30,0.9873
2006-01-31,0.9344
2006-02-28,1.0057
2006-03-31,1.0520
2006-04-28,0.9983
2006-05-31,0.9936
2006-06-30,0.9581
2006-07-31,0.9918
2006-08-31,1.0406
2006-09-29,1.0439
2006-10-31,0.9832
2006-11-30,1.0109
2006-12-29,1.0625
2007-01-31,0.9688
2007-02-28,0.9766
2007-03-30,1.0141
2007-04-30,1.0424
2007-05-31,1.0072
2007-06-29,1.0295
2007-07-31,1.0131
2007-08-31,1.0213
2007-09-28,1.0854
2007-10-31,0.9906
2007-11-30,0.9492
2007-12-31,0.9764
2008-01-31,0.9619
2008-02-29,0.9458
2008-03-31,1.1168
2008-04-30,0.8601
2008-05-30,0.9275
2008-06-30,0.8874
2008-07-31,1.0671
2008-08-29,0.9961
2008-09-30,0.9050
2008-10-31,0.9045
2008-11-28,0.8873
2008-12-31,0.9376
2009-01-30,0.7488
2009-02-27,0.6896
2009-03-31,1.4422
2009-04-30,1.2439
2009-05-29,1.0656
2009-06-30,0.8564
2009-07-31,1.1632
2009-08-31,1.0131
2009-09-30,1.2383
2009-10-30,0.9284
2009-11-30,1.1234
2009-12-31,0.9476
2010-01-29,1.0476
2010-02-26,1.0001
2010-03-31,1.1354
