,ROCR_daily_20
2000-01-31,0.8648
2000-02-29,1.6343
2000-03-31,0.7934
2000-04-28,0.9185
2000-05-31,0.9553
2000-06-30,1.1403
2000-07-31,1.0422
2000-08-31,1.1876
2000-09-29,1.0157
2000-10-31,0.8333
2000-11-30,0.9595
2000-12-29,1.0184
2001-01-31,0.9131
2001-02-28,1.1095
2001-03-30,0.9058
2001-04-30,1.5071
2001-05-31,1.0471
2001-06-29,1.0451
2001-07-31,0.8895
2001-08-31,1.1544
2001-09-28,0.9283
2001-10-31,1.1109
2001-11-30,1.1420
2001-12-31,0.9101
2002-01-31,1.0650
2002-02-28,1.0516
2002-03-29,0
2002-04-30,0.8628
2002-05-31,1.0839
2002-06-28,0.9220
2002-07-31,1.0913
2002-08-30,1.1097
2002-09-30,1.0452
2002-10-31,1.0846
2002-11-29,1.1347
2002-12-31,0.8903
2003-01-31,1.0003
2003-02-28,0.9279
2003-03-31,1.2346
2003-04-30,1.0821
2003-05-30,1.1346
2003-06-30,1.1020
2003-07-31,1.2106
2003-08-29,1.0330
2003-09-30,0.8279
2003-10-31,0.9279
2003-11-28,1.0807
2003-12-31,0.9741
2004-01-30,0.9405
2004-02-27,0.8942
2004-03-31,0.9980
2004-04-30,1.0919
2004-05-31,0
2004-06-30,1.0009
2004-07-30,0.9655
2004-08-31,1.0909
2004-09-30,1.0530
2004-10-29,0.9188
2004-11-30,0.9748
2004-12-31,1.0029
2005-01-31,0.9460
2005-02-28,1.0627
2005-03-31,1.0176
2005-04-29,1.0504
2005-05-31,1.0794
2005-06-30,1.0214
2005-07-29,1.0186
2005-08-31,0.9480
2005-09-30,1.1347
2005-10-31,0.9868
2005-11-30,1.0751
2005-12-30,0.9921
2006-01-31,1.1579
2006-02-28,1.0755
2006-03-31,1.0354
2006-04-28,0.9324
2006-05-31,1.0462
2006-06-30,1.0130
2006-07-31,1.0399
2006-08-31,1.0214
2006-09-29,1.0847
2006-10-31,1.1108
2006-11-30,0.9760
2006-12-29,0.9844
2007-01-31,0.9906
2007-02-28,1.1275
2007-03-30,1.0882
2007-04-30,1.0661
2007-05-31,0.9923
2007-06-29,0.9349
2007-07-31,0.9464
2007-08-31,0.9848
2007-09-28,1.1309
2007-10-31,1.1181
2007-11-30,1.0166
2007-12-31,0.9886
2008-01-31,1.0077
2008-02-29,1.0357
2008-03-31,1.0890
2008-04-30,0.9973
2008-05-30,1.0438
2008-06-30,0.9701
2008-07-31,1.0524
2008-08-29,0.9812
2008-09-30,0.9075
2008-10-31,1.0022
2008-11-28,0.9589
2008-12-31,1.1599
2009-01-30,0.9928
2009-02-27,0.8847
2009-03-31,1.0289
2009-04-30,1.0137
2009-05-29,0.9410
2009-06-30,1.0870
2009-07-31,1.0660
2009-08-31,0.9144
2009-09-30,1.0306
2009-10-30,0.9560
2009-11-30,1.0837
2009-12-31,0.9297
2010-01-29,1.1021
2010-02-26,1.0021
2010-03-31,0.9559
2010-04-30,0.8701
2010-05-31,0
2010-06-30,0.9522
2010-07-30,0.9760
2010-08-31,0.9231
2010-09-30,1.0784
2010-10-29,1.1093
2010-11-30,0.9071
2010-12-31,0.9613
2011-01-31,1.0591
2011-02-28,1.0202
2011-03-31,1.0620
2011-04-29,0.9145
2011-05-31,1.0263
2011-06-30,0.9999
2011-07-29,1.0229
2011-08-31,1.0039
2011-09-30,0.9805
2011-10-31,1.1018
2011-11-30,0.9708
2011-12-30,1.0318
2012-01-31,1.1937
2012-02-29,0.9319
2012-03-30,1.0398
2012-04-30,1.0647
2012-05-31,0.9628
2012-06-29,1.0536
2012-07-31,1.0522
2012-08-31,1.0144
2012-09-28,1.1534
2012-10-31,0.9961
2012-11-30,1.1111
2012-12-31,0.9793
2013-01-31,1.0512
2013-02-28,1.0720
2013-03-29,0
2013-04-30,1.0506
2013-05-31,1.0441
2013-06-28,0.9411
2013-07-31,1.1756
2013-08-30,0.9760
2013-09-30,1.0431
2013-10-31,1.1534
2013-11-29,1.0511
2013-12-31,1.0078
2014-01-31,1.0723
2014-02-28,1.0156
2014-03-31,0.8700
2014-04-30,1.0659
2014-05-30,1.0277
2014-06-30,1.0167
2014-07-31,1.0511
2014-08-29,1.1755
2014-09-30,0.9734
2014-10-31,1.0514
2014-11-28,0.8783
2014-12-31,0.9224
2015-01-30,1.1121
2015-02-27,0.9938
2015-03-31,0.9547
2015-04-30,1.0286
