,ROCR_daily_20
2000-01-31,0.7984
2000-02-29,1.0500
2000-03-31,1.0685
2000-04-28,0.9586
2000-05-31,1.0433
2000-06-30,0.8797
2000-07-31,0.7597
2000-08-31,1.1470
2000-09-29,0.9278
2000-10-31,0.9610
2000-11-30,1.0814
2000-12-29,0.9187
2001-01-31,1.1552
2001-02-28,1.0276
2001-03-30,1.0198
2001-04-30,0.9520
2001-05-31,1.1111
2001-06-29,0.9507
2001-07-31,1.0848
2001-08-31,1.0554
2001-09-28,0.8264
2001-10-31,1.1408
2001-11-30,0.9536
2001-12-31,0.9866
2002-01-31,1.0204
2002-02-28,0.8689
2002-03-29,0
2002-04-30,1.0223
2002-05-31,0.9381
2002-06-28,0.8863
2002-07-31,0.9388
2002-08-30,1.1069
2002-09-30,0.8464
2002-10-31,0.9260
2002-11-29,1.2544
2002-12-31,0.8885
2003-01-31,1.0353
2003-02-28,1.0306
2003-03-31,1.1423
2003-04-30,1.1483
2003-05-30,0.9919
2003-06-30,1.0890
2003-07-31,1.0351
2003-08-29,0.9778
2003-09-30,1.0076
2003-10-31,1.0737
2003-11-28,1.0091
2003-12-31,0.9717
2004-01-30,0.9295
2004-02-27,1.0990
2004-03-31,0.9667
2004-04-30,0.8513
2004-05-31,0
2004-06-30,0.9669
2004-07-30,0.9650
2004-08-31,1.0422
2004-09-30,1.0206
2004-10-29,0.9357
2004-11-30,1.0602
2004-12-31,1.0016
2005-01-31,1.0146
2005-02-28,1.1234
2005-03-31,0.9836
2005-04-29,0.9319
2005-05-31,1.0689
2005-06-30,1.0092
2005-07-29,1.0596
2005-08-31,0.9570
2005-09-30,0.9581
2005-10-31,0.9560
2005-11-30,1.0708
2005-12-30,0.9858
2006-01-31,1.0550
2006-02-28,0.9508
2006-03-31,1.0248
2006-04-28,0.9402
2006-05-31,0.9364
2006-06-30,0.9613
2006-07-31,1.0391
2006-08-31,1.0844
2006-09-29,1.1207
2006-10-31,1.1579
2006-11-30,1.0041
2006-12-29,1.0187
2007-01-31,1.0466
2007-02-28,0.9923
2007-03-30,0.9944
2007-04-30,1.1101
2007-05-31,0.9790
2007-06-29,0.9677
2007-07-31,0.8721
2007-08-31,1.0203
2007-09-28,0.9979
2007-10-31,1.0088
2007-11-30,0.9827
2007-12-31,0.9211
2008-01-31,1.0456
2008-02-29,0.9923
2008-03-31,1.0827
2008-04-30,1.2101
2008-05-30,1.0030
2008-06-30,0.9873
2008-07-31,1.1286
2008-08-29,0.9649
2008-09-30,0.9132
2008-10-31,0.8921
2008-11-28,0.9483
2008-12-31,1.1045
2009-01-30,0.8341
2009-02-27,0.9051
2009-03-31,1.1272
2009-04-30,1.0636
2009-05-29,0.9531
2009-06-30,0.9319
2009-07-31,1.1131
2009-08-31,1.0819
2009-09-30,0.9953
2009-10-30,1.0147
2009-11-30,1.0873
2009-12-31,1.0508
2010-01-29,0.9482
2010-02-26,1.1419
2010-03-31,1.0537
2010-04-30,1.0064
2010-05-31,0
2010-06-30,1.0199
2010-07-30,1.0380
2010-08-31,0.9512
2010-09-30,1.0682
2010-10-29,1.0424
2010-11-30,1.0217
2010-12-31,0.9621
2011-01-31,0.9398
2011-02-28,1.0225
2011-03-31,1.0154
2011-04-29,1.0065
2011-05-31,0.9694
2011-06-30,0.9758
2011-07-29,0.9073
2011-08-31,1.0018
2011-09-30,0.8648
2011-10-31,1.1991
2011-11-30,0.9446
2011-12-30,0.9008
2012-01-31,1.1042
2012-02-29,1.0117
2012-03-30,1.0429
2012-04-30,1.0104
2012-05-31,0.9563
2012-06-29,0.9688
2012-07-31,1.0599
2012-08-31,1.0399
2012-09-28,1.0205
2012-10-31,0.9588
2012-11-30,1.0586
2012-12-31,0.9425
2013-01-31,1.0433
2013-02-28,1.0747
2013-03-29,0
2013-04-30,1.1009
2013-05-31,0.9502
2013-06-28,1.0079
2013-07-31,1.0106
2013-08-30,0.9700
2013-09-30,1.0342
2013-10-31,1.1081
2013-11-29,1.0420
2013-12-31,1.0252
2014-01-31,0.9073
2014-02-28,1.0853
2014-03-31,1.0177
2014-04-30,0.9876
2014-05-30,0.9648
2014-06-30,1.0167
2014-07-31,0.9389
2014-08-29,1.0616
2014-09-30,1.0442
2014-10-31,1.0459
2014-11-28,1.0353
2014-12-31,0.9570
2015-01-30,1.0065
2015-02-27,1.1261
2015-03-31,1.0083
2015-04-30,1.1170
2015-05-29,1.0189
2015-06-30,1.0363
2015-07-31,1.0431
2015-08-31,0.9595
2015-09-30,0.9948
2015-10-30,1.0830
2015-11-30,0.9513
2015-12-31,0.9290
2016-01-29,1.1073
2016-02-29,1.0214
2016-03-31,1.0147
2016-04-29,1.0752
2016-05-31,1.0199
2016-06-30,0.9684
2016-07-29,0.9732
2016-08-31,1.0115
2016-09-30,0.9719
2016-10-31,1.0420
2016-11-30,1.0387
2016-12-30,0.9246
2017-01-31,1.0672
2017-02-28,1.1619
2017-03-31,1.0212
2017-04-28,1.0009
2017-05-31,1.0561
2017-06-30,1.0406
2017-07-31,0.9546
2017-08-31,0.9453
2017-09-29,0.9941
2017-10-31,0.9548
2017-11-30,1.0282
2017-12-29,0.9771
2018-01-31,1.0332
2018-02-28,1.0199
2018-03-30,0
2018-04-30,1.0593
2018-05-31,1.0014
2018-06-29,1.0599
2018-07-31,1.0776
2018-08-31,0.9978
2018-09-28,1.0534
2018-10-31,0.8919
2018-11-30,0.9329
2018-12-31,0.8389
2019-01-31,1.1402
2019-02-28,0.9389
2019-03-29,0.9659
2019-04-30,1.1968
2019-05-31,0.9188
2019-06-28,1.1108
2019-07-31,1.1638
2019-08-30,0.9732
2019-09-30,1.0744
2019-10-31,0.8404
2019-11-29,1.0451
2019-12-31,1.0510
2020-01-31,0.9735
2020-02-28,0.7507
2020-03-31,0.9484
2020-04-30,1.0401
2020-05-29,1.0180
2020-06-30,1.0222
2020-07-31,0.9845
2020-08-31,1.0544
2020-09-30,1.0100
2020-10-30,1.0052
2020-11-30,1.1246
2020-12-31,0.9958
2021-01-29,0.9981
2021-02-26,0.9921
2021-03-31,1.0332
2021-04-30,1.0489
2021-05-31,0
2021-06-30,0.9902
2021-07-30,1.0501
2021-08-31,0.9794
2021-09-30,0.9026
2021-10-29,1.0825
2021-11-30,1.0206
2021-12-31,1.0315
2022-01-31,0.9153
2022-02-28,1.0866
2022-03-31,0.8697
