,ROCR_daily_20
2000-01-31,0.9138
2000-02-29,0.9455
2000-03-31,1.0909
2000-04-28,0.8239
2000-05-31,0.9197
2000-06-30,1.2405
2000-07-31,1.1643
2000-08-31,1.0425
2000-09-29,1.2244
2000-10-31,0.8634
2000-11-30,1.0843
2000-12-29,1.0915
2001-01-31,0.9297
2001-02-28,0.8951
2001-03-30,0.8817
2001-04-30,1.1529
2001-05-31,1.0721
2001-06-29,1.0882
2001-07-31,1.1257
2001-08-31,0.9902
2001-09-28,0.9474
2001-10-31,0.9507
2001-11-30,1.0384
2001-12-31,1.0035
2002-01-31,1.0275
2002-02-28,0.9244
2002-03-29,0
2002-04-30,1.0823
2002-05-31,0.9036
2002-06-28,0.8734
2002-07-31,1.0706
2002-08-30,1.0667
2002-09-30,0.8447
2002-10-31,1.0880
2002-11-29,0.8715
2002-12-31,1.0246
2003-01-31,1.0161
2003-02-28,0.9556
2003-03-31,0.9508
2003-04-30,1.0964
2003-05-30,1.0817
2003-06-30,1.1648
2003-07-31,0.9149
2003-08-29,0.9960
2003-09-30,0.9899
2003-10-31,0.8866
2003-11-28,0.9747
2003-12-31,1.0510
2004-01-30,0.9136
2004-02-27,0.9325
2004-03-31,1.0843
2004-04-30,1.1027
2004-05-31,0
2004-06-30,0.9994
2004-07-30,1.0391
2004-08-31,0.9895
2004-09-30,0.8344
2004-10-29,1.0254
2004-11-30,1.1082
2004-12-31,1.0349
2005-01-31,1.0963
2005-02-28,1.1151
2005-03-31,1.0134
2005-04-29,0.9773
2005-05-31,1.0884
2005-06-30,1.1167
2005-07-29,1.0047
2005-08-31,1.0071
2005-09-30,1.0215
2005-10-31,0.9520
2005-11-30,1.1088
2005-12-30,1.0236
2006-01-31,1.0273
2006-02-28,1.0312
2006-03-31,0.9700
2006-04-28,0.9289
2006-05-31,1.0293
2006-06-30,0.9506
2006-07-31,1.0658
2006-08-31,0.9906
2006-09-29,1.0378
2006-10-31,0.9321
2006-11-30,1.0096
2006-12-29,1.0263
2007-01-31,1.0996
2007-02-28,1.0050
2007-03-30,1.0712
2007-04-30,1.0050
2007-05-31,1.0626
2007-06-29,0.9370
2007-07-31,0.9691
2007-08-31,0.9780
2007-09-28,1.0178
2007-10-31,1.1284
2007-11-30,1.0392
2007-12-31,0.9817
2008-01-31,0.9833
2008-02-29,0.9360
2008-03-31,0.8913
2008-04-30,0.9797
2008-05-30,1.0708
2008-06-30,0.9767
2008-07-31,1.0197
2008-08-29,1.0341
2008-09-30,0.9170
2008-10-31,0.7530
2008-11-28,0.9625
2008-12-31,1.1743
2009-01-30,1.1412
2009-02-27,0.9175
2009-03-31,0.8848
2009-04-30,1.0660
2009-05-29,1.1122
2009-06-30,1.0679
2009-07-31,1.1843
2009-08-31,1.0778
2009-09-30,1.0684
2009-10-30,1.0179
2009-11-30,1.0580
2009-12-31,1.0084
2010-01-29,0.9273
2010-02-26,0.9828
2010-03-31,1.0816
2010-04-30,0.9766
2010-05-31,0
2010-06-30,0.9585
2010-07-30,0.9375
2010-08-31,0.9376
2010-09-30,1.0509
2010-10-29,1.0870
2010-11-30,0.9440
2010-12-31,1.0531
2011-01-31,1.0681
2011-02-28,1.0716
2011-03-31,0.9879
2011-04-29,1.0501
2011-05-31,1.0302
2011-06-30,0.9892
2011-07-29,0.9698
2011-08-31,1.0253
2011-09-30,0.9180
2011-10-31,1.1576
2011-11-30,1.0280
2011-12-30,0.9536
2012-01-31,1.0489
2012-02-29,1.0244
2012-03-30,1.0682
2012-04-30,1.0415
2012-05-31,0.9679
2012-06-29,1.0838
2012-07-31,0.9548
2012-08-31,0.9986
2012-09-28,0.9910
2012-10-31,1.0861
2012-11-30,1.0008
2012-12-31,1.0264
2013-01-31,1.0782
2013-02-28,1.0064
2013-03-29,0
2013-04-30,0.9754
2013-05-31,1.0598
2013-06-28,1.0074
2013-07-31,1.0733
2013-08-30,0.9857
2013-09-30,1.0567
2013-10-31,1.2066
2013-11-29,1.0626
2013-12-31,0.9801
2014-01-31,1.0890
2014-02-28,1.0004
2014-03-31,1.0030
2014-04-30,0.9611
2014-05-30,1.1275
2014-06-30,0.9822
2014-07-31,1.0128
2014-08-29,0.9992
2014-09-30,0.9967
2014-10-31,1.0191
2014-11-28,1.0370
2014-12-31,0.9851
2015-01-30,1.0244
2015-02-27,1.0429
2015-03-31,0.9935
2015-04-30,1.0031
2015-05-29,1.0619
2015-06-30,0.9511
2015-07-31,0.9835
2015-08-31,0.8853
2015-09-30,0.9451
2015-10-30,0.9585
2015-11-30,1.0606
2015-12-31,1.0381
2016-01-29,0.8100
2016-02-29,0.9684
2016-03-31,0.9909
2016-04-29,1.0661
2016-05-31,1.0873
2016-06-30,0.9939
2016-07-29,1.0424
2016-08-31,0.9475
2016-09-30,0.9099
2016-10-31,0.7690
2016-11-30,1.1147
2016-12-30,0.9816
2017-01-31,0.9907
2017-02-28,1.0970
2017-03-31,0.9720
2017-04-28,0.9251
2017-05-31,1.1715
2017-06-30,0.9930
2017-07-31,0.9838
2017-08-31,0.9634
2017-09-29,1.0288
2017-10-31,0.8954
2017-11-30,1.0602
2017-12-29,1.0556
2018-01-31,1.0621
2018-02-28,0.8709
2018-03-30,0
2018-04-30,1.1173
2018-05-31,0.9201
2018-06-29,0.9379
2018-07-31,0.9312
2018-08-31,1.0232
2018-09-28,1.0236
2018-10-31,0.9560
2018-11-30,0.9675
2018-12-31,0.8725
2019-01-31,1.1343
2019-02-28,1.0206
2019-03-29,0.9400
2019-04-30,1.0035
2019-05-31,0.9992
2019-06-28,1.1003
2019-07-31,1.0227
