,ROCR_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,1.1850
2003-08-29,1.0158
2003-09-30,1.1910
2003-10-31,1.0127
2003-11-28,0.8259
2003-12-31,1.0894
2004-01-30,1.0206
2004-02-27,1.2335
2004-03-31,0.8955
2004-04-30,1.2113
2004-05-31,0
2004-06-30,0.9948
2004-07-30,0.8759
2004-08-31,1.0200
2004-09-30,1.0754
2004-10-29,1.0445
2004-11-30,1.1537
2004-12-31,1.0621
2005-01-31,1.0722
2005-02-28,0.9231
2005-03-31,1.0220
2005-04-29,0.9511
2005-05-31,0.9805
2005-06-30,1.0409
2005-07-29,0.5409
2005-08-31,1.0810
2005-09-30,0.8784
2005-10-31,0.8323
2005-11-30,1.2390
2005-12-30,0.9545
2006-01-31,0.9932
2006-02-28,1.1337
2006-03-31,1.1296
2006-04-28,0.9970
2006-05-31,1.0821
2006-06-30,0.9682
2006-07-31,0.8710
2006-08-31,1.0181
2006-09-29,0.9546
2006-10-31,1.1082
2006-11-30,0.9011
2006-12-29,0.9565
2007-01-31,0.9483
2007-02-28,1.0078
2007-03-30,0.9830
2007-04-30,0.9879
2007-05-31,0.9735
2007-06-29,0.9426
2007-07-31,1.0061
2007-08-31,0.9977
2007-09-28,1.0492
2007-10-31,1.0531
2007-11-30,0.9840
2007-12-31,1.0323
2008-01-31,0.8892
2008-02-29,0.9279
2008-03-31,0.7716
2008-04-30,1.0273
2008-05-30,1.2551
2008-06-30,0.8382
2008-07-31,1.1979
2008-08-29,1.0421
2008-09-30,0.9633
2008-10-31,0.7529
2008-11-28,1.1324
2008-12-31,0.8903
2009-01-30,0.9960
2009-02-27,1.0400
2009-03-31,1.0856
2009-04-30,1.1276
2009-05-29,1.1058
2009-06-30,0.9807
2009-07-31,0.9515
2009-08-31,0.8909
2009-09-30,1.0238
2009-10-30,0.9360
2009-11-30,1.1165
2009-12-31,1.0932
2010-01-29,0.9574
2010-02-26,0.9609
2010-03-31,1.1297
2010-04-30,1.1502
2010-05-31,0
2010-06-30,1.0446
2010-07-30,1.0601
2010-08-31,0.8170
2010-09-30,1.0128
2010-10-29,0.9679
2010-11-30,0.9996
2010-12-31,1.0965
2011-01-31,1.1009
2011-02-28,1.1497
2011-03-31,1.0944
2011-04-29,1.0750
2011-05-31,0.9501
2011-06-30,1.0176
2011-07-29,0.8352
2011-08-31,0.9826
2011-09-30,0.8217
2011-10-31,1.4853
2011-11-30,1.0643
2011-12-30,1.0234
2012-01-31,1.3708
2012-02-29,1.1094
2012-03-30,1.0206
2012-04-30,0.7627
2012-05-31,0.9678
2012-06-29,0.9548
2012-07-31,1.0553
2012-08-31,1.0471
2012-09-28,1.0337
2012-10-31,1.0016
2012-11-30,1.1000
2012-12-31,0.9720
