,ROCR_daily_20
2000-01-31,0.7391
2000-02-29,0.7795
2000-03-31,0.9055
2000-04-28,1.0723
2000-05-31,0.9600
2000-06-30,1.0587
2000-07-31,1.1298
2000-08-31,1.4096
2000-09-29,1.0136
2000-10-31,1.0144
2000-11-30,0.6188
2000-12-29,1.0696
2001-01-31,1.5365
2001-02-28,0.8614
2001-03-30,1.3333
2001-04-30,1.1125
2001-05-31,1.1404
2001-06-29,1.2368
2001-07-31,1.0976
2001-08-31,1.0833
2001-09-28,0.9084
2001-10-31,1.0386
2001-11-30,1.1144
2001-12-31,1.1220
2002-01-31,1.1125
2002-02-28,1.0379
2002-03-29,0
2002-04-30,1.1012
2002-05-31,1.0262
2002-06-28,0.9757
2002-07-31,1.0077
2002-08-30,1.1902
2002-09-30,1.0658
2002-10-31,1.0658
2002-11-29,0.9655
2002-12-31,0.8992
2003-01-31,0.8343
2003-02-28,0.9894
2003-03-31,0.8750
2003-04-30,1.2046
2003-05-30,1.1360
2003-06-30,0.9598
2003-07-31,1.1232
2003-08-29,1.2429
2003-09-30,0.9487
2003-10-31,1.0769
2003-11-28,0.9326
2003-12-31,1.0154
2004-01-30,0.9920
2004-02-27,1.1476
2004-03-31,1.0158
2004-04-30,1.0127
2004-05-31,0
2004-06-30,1.0598
2004-07-30,0.9589
2004-08-31,0.9236
2004-09-30,1.0118
2004-10-29,1.1040
2004-11-30,1.0699
2004-12-31,1.0057
2005-01-31,0.8517
2005-02-28,1.0073
2005-03-31,0.9423
2005-04-29,0.9411
2005-05-31,1.1759
2005-06-30,0.9514
2005-07-29,0.9812
2005-08-31,0.9058
2005-09-30,0.8712
2005-10-31,1.0344
2005-11-30,1.0013
2005-12-30,1.0599
2006-01-31,0.9778
2006-02-28,1.0253
2006-03-31,1.0111
2006-04-28,0.9802
2006-05-31,0.9841
2006-06-30,0.9275
2006-07-31,0.9215
2006-08-31,1.0493
2006-09-29,1.1060
2006-10-31,1.0152
2006-11-30,1.0475
2006-12-29,0.9757
2007-01-31,1.0592
2007-02-28,1.0053
2007-03-30,1.1288
2007-04-30,1.0079
2007-05-31,1.0018
2007-06-29,0.9439
2007-07-31,0.9878
2007-08-31,1.0820
2007-09-28,0.9382
2007-10-31,0.9282
2007-11-30,0.9723
2007-12-31,0.8262
2008-01-31,0.9825
2008-02-29,0.9414
2008-03-31,0.9494
2008-04-30,1.0076
2008-05-30,1.0047
2008-06-30,0.8599
2008-07-31,1.1055
2008-08-29,1.1744
2008-09-30,0.9048
2008-10-31,0.8984
2008-11-28,0.9046
2008-12-31,1.1488
2009-01-30,1.0189
2009-02-27,1.0581
2009-03-31,1.1209
2009-04-30,1.0837
2009-05-29,0.8868
2009-06-30,1.0268
2009-07-31,1.0563
2009-08-31,0.9297
2009-09-30,1.0538
2009-10-30,1.1339
2009-11-30,1.0939
2009-12-31,1.0222
2010-01-29,0.9563
2010-02-26,1.0530
2010-03-31,1.1534
2010-04-30,1.0247
2010-05-31,0
2010-06-30,0.9493
2010-07-30,1.0268
2010-08-31,1.0274
2010-09-30,1.0580
2010-10-29,1.0842
2010-11-30,1.0169
2010-12-31,1.0163
2011-01-31,1.0137
2011-02-28,1.0174
2011-03-31,0.9622
2011-04-29,1.0331
2011-05-31,1.0699
2011-06-30,1.0293
2011-07-29,0.9512
2011-08-31,0.9841
2011-09-30,1.0277
2011-10-31,1.1605
2011-11-30,1.0503
2011-12-30,1.0719
2012-01-31,1.0403
2012-02-29,1.0474
2012-03-30,1.0314
2012-04-30,1.0207
2012-05-31,1.0902
2012-06-29,1.0848
2012-07-31,0.9738
2012-08-31,1.0547
2012-09-28,0.9744
2012-10-31,0.9851
2012-11-30,1.0538
2012-12-31,0.9694
2013-01-31,0.9448
2013-02-28,1.0002
2013-03-29,0
2013-04-30,1.0857
2013-05-31,0.9868
2013-06-28,0.9924
2013-07-31,1.0741
2013-08-30,0.9433
2013-09-30,1.0828
2013-10-31,0.9579
2013-11-29,1.0187
2013-12-31,1.0032
2014-01-31,0.8750
2014-02-28,1.0511
2014-03-31,1.0244
2014-04-30,0.9724
2014-05-30,0.8597
2014-06-30,1.0400
2014-07-31,1.1426
2014-08-29,1.0614
2014-09-30,0.9755
2014-10-31,1.0640
2014-11-28,1.0936
2014-12-31,1.0280
2015-01-30,1.0050
2015-02-27,1.0158
2015-03-31,0
2015-04-30,0
2015-05-29,0
2015-06-30,0
2015-07-31,0
2015-08-31,0
2015-09-30,0
2015-10-30,0
2015-11-30,0
2015-12-31,0
2016-01-29,0
2016-02-29,0
2016-03-31,0
2016-04-29,0
2016-05-31,0
2016-06-30,0
2016-07-29,0
2016-08-31,0
2016-09-30,0
2016-10-31,0
2016-11-30,0
2016-12-30,0
2017-01-31,0
2017-02-28,0
2017-03-31,0
2017-04-28,0
2017-05-31,0
2017-06-30,0
2017-07-31,0
2017-08-31,0
2017-09-29,0
2017-10-31,0
2017-11-30,0
2017-12-29,0
2018-01-31,0
2018-02-28,0
2018-03-30,0
2018-04-30,0
2018-05-31,0
2018-06-29,0
2018-07-31,0
2018-08-31,0
2018-09-28,0
2018-10-31,0
2018-11-30,0
2018-12-31,0
2019-01-31,0
2019-02-28,0
2019-03-29,0
2019-04-30,0
2019-05-31,0
2019-06-28,0
2019-07-31,0
2019-08-30,0
2019-09-30,0
2019-10-31,0
2019-11-29,0
2019-12-31,0
2020-01-31,0
2020-02-28,0
2020-03-31,0
2020-04-30,0
2020-05-29,0
2020-06-30,0
2020-07-31,0
2020-08-31,0
2020-09-30,0
2020-10-30,0
2020-11-30,0
2020-12-31,0
2021-01-29,0
2021-02-26,0
2021-03-31,0
2021-04-30,0
2021-05-31,0
2021-06-30,0
2021-07-30,0
2021-08-31,0
2021-09-30,0
2021-10-29,0
2021-11-30,0
2021-12-31,0
2022-01-31,0
2022-02-28,0
2022-03-31,0
