,ROCR_daily_20
2000-01-31,0.9250
2000-02-29,0.8692
2000-03-31,0.6417
2000-04-28,1.0352
2000-05-31,1.1119
2000-06-30,0.8867
2000-07-31,1.0104
2000-08-31,1.0649
2000-09-29,1.0836
2000-10-31,1.0431
2000-11-30,1.0852
2000-12-29,1.0475
2001-01-31,0.9197
2001-02-28,0.9916
2001-03-30,0.8988
2001-04-30,0.9651
2001-05-31,1.0014
2001-06-29,1.0046
2001-07-31,1.1076
2001-08-31,1.0560
2001-09-28,0.9453
2001-10-31,1.0127
2001-11-30,1.0195
2001-12-31,1.0216
2002-01-31,1.0259
2002-02-28,1.0830
2002-03-29,0
2002-04-30,1.0004
2002-05-31,0.9604
2002-06-28,0.9972
2002-07-31,1.0019
2002-08-30,0.9868
2002-09-30,1.0082
2002-10-31,0.9893
2002-11-29,0.9557
2002-12-31,1.0379
2003-01-31,0.9792
2003-02-28,0.9688
2003-03-31,1.1018
2003-04-30,1.0083
2003-05-30,1.0217
2003-06-30,0.9766
2003-07-31,0.9802
2003-08-29,1.0068
2003-09-30,1.0538
2003-10-31,1.0407
2003-11-28,0.9827
2003-12-31,1.0304
2004-01-30,1.0167
2004-02-27,1.0150
2004-03-31,1.0236
2004-04-30,1.0026
2004-05-31,0
2004-06-30,1.0026
2004-07-30,0.9658
2004-08-31,1.0430
2004-09-30,0.9630
2004-10-29,0.9407
2004-11-30,1.0486
2004-12-31,0.9867
2005-01-31,0.9707
2005-02-28,0.9804
2005-03-31,0.9890
2005-04-29,1.0347
2005-05-31,1.0064
2005-06-30,0.9425
2005-07-29,1.0600
2005-08-31,1.0087
2005-09-30,1.0664
2005-10-31,0.9488
2005-11-30,1.0351
2005-12-30,1.0042
2006-01-31,1.0282
2006-02-28,1.0134
2006-03-31,0.9658
2006-04-28,1.0156
2006-05-31,0.9336
2006-06-30,1.0306
2006-07-31,1.0163
2006-08-31,1.0412
2006-09-29,1.0013
2006-10-31,1.0225
2006-11-30,0.9960
2006-12-29,1.0236
2007-01-31,1.0141
2007-02-28,0.9830
2007-03-30,1.0000
2007-04-30,1.0253
2007-05-31,1.0189
2007-06-29,0.9639
2007-07-31,1.0075
2007-08-31,1.0386
2007-09-28,1.0820
2007-10-31,0.9923
2007-11-30,1.0789
2007-12-31,0.9922
2008-01-31,0.9093
2008-02-29,1.0116
2008-03-31,1.0588
2008-04-30,0.9568
2008-05-30,0.9854
2008-06-30,0.9304
2008-07-31,1.0510
2008-08-29,1.0742
2008-09-30,0.9889
2008-10-31,0.9149
2008-11-28,1.0201
2008-12-31,1.0062
2009-01-30,0.8877
2009-02-27,0.8274
2009-03-31,1.0099
2009-04-30,1.0346
2009-05-29,1.0506
2009-06-30,0.9514
2009-07-31,1.0982
2009-08-31,0.9730
2009-09-30,1.0924
2009-10-30,1.0298
2009-11-30,1.0750
2009-12-31,0.9595
2010-01-29,1.0102
2010-02-26,1.0259
2010-03-31,0.9956
2010-04-30,0.9885
2010-05-31,0
2010-06-30,0.9715
2010-07-30,1.0353
2010-08-31,0.9955
2010-09-30,1.0028
2010-10-29,1.0647
2010-11-30,0.9599
2010-12-31,1.0316
2011-01-31,0.9886
2011-02-28,0.9821
2011-03-31,0.9848
2011-04-29,1.0622
2011-05-31,1.0279
2011-06-30,0.9630
2011-07-29,0.9752
2011-08-31,1.0486
2011-09-30,0.9987
2011-10-31,1.0266
2011-11-30,1.0297
2011-12-30,1.0410
2012-01-31,0.9525
2012-02-29,1.0727
2012-03-30,1.0081
2012-04-30,0.9548
2012-05-31,0.9736
2012-06-29,0.9951
2012-07-31,1.0639
2012-08-31,1.0258
2012-09-28,1.0371
2012-10-31,1.0050
2012-11-30,1.0084
2012-12-31,0.9722
2013-01-31,1.0919
2013-02-28,1.0147
2013-03-29,0
2013-04-30,0.9798
2013-05-31,0.9871
2013-06-28,1.0030
