,ROCR_daily_20
2000-01-31,1.0299
2000-02-29,1.7353
2000-03-31,0.9196
2000-04-28,0.9776
2000-05-31,0.6667
2000-06-30,1.0569
2000-07-31,1.0374
2000-08-31,1.0865
2000-09-29,0.8490
2000-10-31,0.8361
2000-11-30,1.2011
2000-12-29,1.1375
2001-01-31,1.0665
2001-02-28,1.0779
2001-03-30,0.8899
2001-04-30,1.1086
2001-05-31,0.9964
2001-06-29,0.9296
2001-07-31,1.0327
2001-08-31,1.0252
2001-09-28,0.8691
2001-10-31,1.0657
2001-11-30,1.0354
2001-12-31,0.9217
2002-01-31,0.8090
2002-02-28,0.8136
2002-03-29,0
2002-04-30,0.9369
2002-05-31,0.8446
2002-06-28,1.0710
2002-07-31,0.9930
2002-08-30,1.1920
2002-09-30,0.9193
2002-10-31,1.2052
2002-11-29,0.9597
2002-12-31,0.9538
2003-01-31,1.0676
2003-02-28,0.9680
2003-03-31,1.0300
2003-04-30,1.1338
2003-05-30,1.1016
2003-06-30,0.9807
2003-07-31,1.0063
2003-08-29,1.1077
2003-09-30,1.0181
2003-10-31,0.9080
2003-11-28,0.9268
2003-12-31,1.0917
2004-01-30,1.0604
2004-02-27,1.1245
2004-03-31,0.9752
2004-04-30,1.0990
2004-05-31,0
2004-06-30,1.0127
2004-07-30,0.9617
2004-08-31,0.9552
2004-09-30,0.9910
2004-10-29,0.9843
2004-11-30,1.0777
2004-12-31,1.0095
2005-01-31,1.0039
2005-02-28,1.1683
2005-03-31,0.9558
2005-04-29,1.1030
2005-05-31,1.0011
2005-06-30,1.0557
2005-07-29,1.0153
2005-08-31,1.0765
2005-09-30,1.1032
2005-10-31,0.9464
2005-11-30,1.0842
2005-12-30,0.9427
2006-01-31,1.0295
2006-02-28,1.0292
2006-03-31,1.0998
2006-04-28,0.9924
2006-05-31,1.0523
2006-06-30,1.0325
2006-07-31,0.9885
2006-08-31,0.8941
2006-09-29,0.9894
2006-10-31,1.0967
2006-11-30,1.1328
2006-12-29,0.9844
2007-01-31,1.0683
2007-02-28,0.9048
2007-03-30,1.0914
2007-04-30,0.8390
2007-05-31,1.0394
2007-06-29,0.9056
2007-07-31,1.0307
2007-08-31,0.9210
2007-09-28,1.0570
2007-10-31,1.0049
2007-11-30,1.1402
2007-12-31,1.1469
2008-01-31,0.9053
2008-02-29,0.8717
2008-03-31,1.0417
2008-04-30,0.9870
2008-05-30,0.9379
2008-06-30,0.9252
2008-07-31,0.9934
2008-08-29,1.2533
2008-09-30,0.9271
2008-10-31,0.7997
2008-11-28,1.0701
2008-12-31,1.0770
2009-01-30,1.0646
2009-02-27,0.9140
2009-03-31,0.9949
2009-04-30,1.1246
2009-05-29,0.9641
2009-06-30,1.0538
2009-07-31,1.0348
2009-08-31,1.0934
2009-09-30,0.9954
2009-10-30,1.1101
2009-11-30,1.0215
2009-12-31,1.0065
2010-01-29,0.9693
2010-02-26,1.0956
2010-03-31,1.0741
2010-04-30,1.0737
2010-05-31,0
2010-06-30,0.9358
2010-07-30,1.1020
2010-08-31,0.8945
2010-09-30,1.0642
2010-10-29,0.9708
2010-11-30,1.0178
2010-12-31,1.0359
2011-01-31,0.9091
2011-02-28,1.0167
2011-03-31,0.9222
2011-04-29,1.0630
2011-05-31,1.0063
2011-06-30,0.9847
2011-07-29,0.9787
2011-08-31,1.0538
2011-09-30,0.9266
2011-10-31,1.0462
2011-11-30,0.9354
2011-12-30,0.9841
2012-01-31,1.1429
2012-02-29,1.0093
2012-03-30,1.0283
2012-04-30,1.1003
2012-05-31,0.8849
2012-06-29,1.0209
2012-07-31,1.0119
2012-08-31,1.0539
2012-09-28,1.0860
2012-10-31,0.9891
2012-11-30,1.0125
2012-12-31,1.0117
2013-01-31,1.0311
2013-02-28,0.9536
2013-03-29,0
2013-04-30,1.0349
2013-05-31,1.0114
2013-06-28,0.9402
2013-07-31,1.0634
2013-08-30,0.9914
2013-09-30,1.1181
2013-10-31,0.9695
2013-11-29,0.9480
2013-12-31,0.9640
2014-01-31,0.9439
2014-02-28,1.0073
2014-03-31,1.0276
2014-04-30,1.1019
2014-05-30,1.0086
2014-06-30,1.0154
2014-07-31,1.0246
2014-08-29,1.0736
2014-09-30,0.9316
2014-10-31,1.0396
2014-11-28,1.0264
2014-12-31,1.0461
2015-01-30,1.1143
2015-02-27,1.0256
2015-03-31,1.1130
2015-04-30,0.8956
2015-05-29,0.9245
2015-06-30,0.9445
2015-07-31,1.0477
2015-08-31,0.9427
2015-09-30,1.0041
2015-10-30,1.1150
2015-11-30,1.0394
2015-12-31,0.8965
2016-01-29,1.0429
2016-02-29,1.0090
2016-03-31,1.0100
2016-04-29,0.9459
2016-05-31,1.0577
2016-06-30,1.0618
2016-07-29,1.0894
2016-08-31,0.9740
2016-09-30,0.9653
2016-10-31,0.9291
2016-11-30,1.0628
2016-12-30,1.0418
2017-01-31,1.0885
2017-02-28,1.0691
2017-03-31,0.9943
2017-04-28,0.9506
2017-05-31,1.0238
2017-06-30,1.0821
2017-07-31,0.9904
2017-08-31,1.0613
2017-09-29,0.9920
2017-10-31,1.1000
2017-11-30,0.9999
2017-12-29,0.9917
2018-01-31,1.1784
2018-02-28,0.9499
2018-03-30,0
2018-04-30,0.9879
2018-05-31,1.0768
2018-06-29,1.0002
2018-07-31,1.0193
2018-08-31,1.0674
2018-09-28,1.0262
2018-10-31,0.9478
2018-11-30,1.0582
2018-12-31,1.0305
2019-01-31,0.8515
2019-02-28,1.0969
2019-03-29,1.0083
2019-04-30,0.9985
2019-05-31,1.0828
2019-06-28,1.0693
2019-07-31,1.0432
2019-08-30,1.0724
2019-09-30,0.9699
2019-10-31,1.1353
2019-11-29,1.0141
2019-12-31,1.0400
2020-01-31,1.0183
2020-02-28,0.9630
2020-03-31,0.8914
2020-04-30,1.0916
2020-05-29,1.0379
2020-06-30,1.2018
2020-07-31,1.0521
2020-08-31,0.8969
2020-09-30,0.9582
2020-10-30,1.1459
2020-11-30,1.0940
2020-12-31,1.0158
2021-01-29,0.9611
2021-02-26,0.8945
2021-03-31,1.0200
2021-04-30,0.9667
2021-05-31,0
2021-06-30,1.2110
2021-07-30,1.0965
2021-08-31,1.0655
2021-09-30,0.9149
2021-10-29,1.0027
2021-11-30,0.9634
2021-12-31,1.0180
2022-01-31,0.8776
2022-02-28,1.1437
2022-03-31,0.9704
