,ROCR_daily_20
2000-01-31,0.9380
2000-02-29,1.1710
2000-03-31,1.1875
2000-04-28,0.7542
2000-05-31,0.9221
2000-06-30,1.0039
2000-07-31,1.0743
2000-08-31,1.0590
2000-09-29,0.9227
2000-10-31,1.0468
2000-11-30,0.7971
2000-12-29,1.0249
2001-01-31,1.0134
2001-02-28,0.7662
2001-03-30,0.7710
2001-04-30,1.2840
2001-05-31,0.8915
2001-06-29,0.8564
2001-07-31,0.9369
2001-08-31,0.8193
2001-09-28,0.8588
2001-10-31,1.1552
2001-11-30,1.0870
2001-12-31,1.0773
2002-01-31,0.9235
2002-02-28,0.9631
2002-03-29,0
2002-04-30,0.9004
2002-05-31,1.0855
2002-06-28,0.9264
2002-07-31,0.8357
2002-08-30,1.1130
2002-09-30,0.9477
2002-10-31,1.1168
2002-11-29,1.2585
2002-12-31,0.9321
2003-01-31,0.8031
2003-02-28,0.8654
2003-03-31,0.9364
2003-04-30,1.1325
2003-05-30,1.1266
2003-06-30,1.0161
2003-07-31,0.9702
2003-08-29,1.0864
2003-09-30,1.0568
2003-10-31,1.0619
2003-11-28,0.8501
2003-12-31,1.0377
2004-01-30,1.0633
2004-02-27,0.9725
2004-03-31,0.9603
2004-04-30,0.8698
2004-05-31,0
2004-06-30,1.0169
2004-07-30,0.9350
2004-08-31,1.0950
2004-09-30,0.9914
2004-10-29,0.9924
2004-11-30,1.1652
2004-12-31,1.0912
2005-01-31,0.9398
2005-02-28,0.9478
2005-03-31,0.9616
2005-04-29,0.9904
2005-05-31,1.1251
2005-06-30,0.9633
2005-07-29,1.2145
2005-08-31,0.9856
2005-09-30,1.0689
2005-10-31,1.0526
2005-11-30,1.0103
2005-12-30,0.9507
2006-01-31,1.0082
2006-02-28,1.0803
2006-03-31,1.0305
2006-04-28,1.0246
2006-05-31,0.9444
2006-06-30,0.9417
2006-07-31,0.9937
2006-08-31,1.0187
2006-09-29,1.0981
2006-10-31,1.0405
2006-11-30,1.0342
2006-12-29,1.0545
2007-01-31,0.9783
2007-02-28,1.0053
2007-03-30,1.0099
2007-04-30,1.0454
2007-05-31,1.1618
2007-06-29,0.9044
2007-07-31,0.9630
2007-08-31,1.0617
2007-09-28,1.1123
2007-10-31,1.0370
2007-11-30,1.0757
2007-12-31,1.0510
2008-01-31,0.9072
2008-02-29,0.8816
2008-03-31,0.9602
2008-04-30,1.0882
2008-05-30,0.9850
2008-06-30,0.9461
2008-07-31,1.1182
2008-08-29,1.0559
2008-09-30,1.0753
2008-10-31,0.8502
2008-11-28,0.9924
2008-12-31,0.9981
2009-01-30,0.8404
2009-02-27,0.9368
2009-03-31,1.2747
2009-04-30,1.1946
2009-05-29,0.9554
2009-06-30,0.9616
2009-07-31,1.0650
2009-08-31,1.0032
2009-09-30,1.0905
2009-10-30,0.9258
2009-11-30,1.0607
2009-12-31,1.0329
2010-01-29,0.9606
2010-02-26,0.9974
2010-03-31,1.0315
2010-04-30,1.0360
2010-05-31,0
2010-06-30,0.8620
2010-07-30,1.0610
2010-08-31,0.8599
2010-09-30,1.0266
2010-10-29,1.0906
2010-11-30,0.9778
2010-12-31,1.0588
2011-01-31,1.0549
2011-02-28,1.0697
2011-03-31,0.9509
2011-04-29,1.0155
2011-05-31,0.9929
2011-06-30,0.9642
2011-07-29,0.9076
2011-08-31,0.8269
2011-09-30,0.9360
2011-10-31,1.1235
2011-11-30,1.0226
2011-12-30,0.9438
2012-01-31,1.0346
2012-02-29,1.1972
2012-03-30,1.0398
2012-04-30,0.9937
2012-05-31,0.9123
2012-06-29,1.0686
2012-07-31,0.9768
2012-08-31,1.0588
2012-09-28,0.9527
2012-10-31,1.0543
2012-11-30,0.9647
2012-12-31,1.0962
2013-01-31,1.0962
2013-02-28,0.9872
2013-03-29,0
2013-04-30,0.9798
2013-05-31,1.2122
2013-06-28,1.0690
2013-07-31,1.0371
2013-08-30,0.9243
2013-09-30,1.0125
2013-10-31,1.0709
2013-11-29,1.0836
2013-12-31,1.0471
2014-01-31,0.9613
2014-02-28,1.0509
2014-03-31,1.0568
2014-04-30,0.9672
2014-05-30,0.9506
2014-06-30,1.0615
2014-07-31,1.0128
2014-08-29,1.0409
2014-09-30,1.0237
2014-10-31,0.9696
2014-11-28,1.0227
2014-12-31,1.0675
2015-01-30,0.8605
2015-02-27,1.1196
2015-03-31,1.0164
2015-04-30,1.0190
2015-05-29,1.0397
2015-06-30,1.0322
2015-07-31,1.0618
2015-08-31,0.8770
2015-09-30,0.9818
2015-10-30,1.1058
2015-11-30,1.1066
2015-12-31,0.9804
2016-01-29,0.7678
2016-02-29,0.9838
2016-03-31,1.0479
2016-04-29,1.0011
2016-05-31,1.0648
2016-06-30,0.8207
2016-07-29,1.1229
2016-08-31,1.1108
2016-09-30,1.0190
2016-10-31,1.0070
2016-11-30,1.2240
2016-12-30,0.9965
2017-01-31,1.0448
