,ROCR_daily_20
2000-01-31,1.0763
2000-02-29,0.9667
2000-03-31,0.9919
2000-04-28,1.0826
2000-05-31,0.9313
2000-06-30,0.9057
2000-07-31,1.1776
2000-08-31,0.8901
2000-09-29,1.0303
2000-10-31,0.9969
2000-11-30,1.0456
2000-12-29,1.0462
2001-01-31,1.0831
2001-02-28,0.9942
2001-03-30,0.9922
2001-04-30,1.0340
2001-05-31,1.0579
2001-06-29,1.1047
2001-07-31,0.9626
2001-08-31,1.0406
2001-09-28,0.9058
2001-10-31,1.0223
2001-11-30,1.0513
2001-12-31,1.0152
2002-01-31,1.0310
2002-02-28,1.0406
2002-03-29,0
2002-04-30,1.0258
2002-05-31,1.0109
2002-06-28,1.0813
2002-07-31,0.9942
2002-08-30,1.0203
2002-09-30,1.0039
2002-10-31,0.9754
2002-11-29,1.0038
2002-12-31,1.0026
2003-01-31,0.9445
2003-02-28,1.1016
2003-03-31,1.0296
2003-04-30,1.0019
2003-05-30,1.0322
2003-06-30,1.0293
2003-07-31,1.0561
2003-08-29,1.0225
2003-09-30,1.0116
2003-10-31,0.9954
2003-11-28,1.0546
2003-12-31,0.9768
2004-01-30,1.1232
2004-02-27,1.0628
2004-03-31,1.0549
2004-04-30,0.8195
2004-05-31,0
2004-06-30,1.0243
2004-07-30,1.0090
2004-08-31,1.0509
2004-09-30,0.9672
2004-10-29,1.0725
2004-11-30,1.0453
2004-12-31,1.0341
2005-01-31,0.9170
2005-02-28,1.0522
2005-03-31,0.9758
2005-04-29,1.0964
2005-05-31,1.0506
2005-06-30,1.0378
2005-07-29,1.1000
2005-08-31,0.9533
2005-09-30,0.9689
2005-10-31,0.9635
2005-11-30,1.1133
2005-12-30,0.9742
2006-01-31,1.0810
2006-02-28,1.0091
2006-03-31,1.0263
2006-04-28,0.9727
2006-05-31,1.0097
2006-06-30,1.0111
2006-07-31,1.0312
2006-08-31,1.0316
2006-09-29,1.0688
2006-10-31,1.0550
2006-11-30,1.0594
2006-12-29,0.9932
2007-01-31,1.1293
2007-02-28,1.0007
2007-03-30,1.0230
2007-04-30,1.0362
2007-05-31,0.9443
2007-06-29,0.8613
2007-07-31,0.8965
2007-08-31,1.1273
2007-09-28,1.0796
2007-10-31,0.9969
2007-11-30,0.9888
2007-12-31,0.8823
2008-01-31,1.0408
2008-02-29,0.9475
2008-03-31,1.1219
2008-04-30,0.9904
2008-05-30,0.9733
2008-06-30,0.9172
2008-07-31,1.0506
2008-08-29,1.0488
2008-09-30,1.0121
2008-10-31,0.7982
2008-11-28,0.7818
2008-12-31,1.1894
2009-01-30,0.8090
2009-02-27,0.7608
2009-03-31,1.1589
2009-04-30,1.5519
2009-05-29,1.0483
2009-06-30,0.9482
2009-07-31,1.1567
2009-08-31,1.1267
2009-09-30,1.1539
2009-10-30,1.0282
2009-11-30,1.0792
2009-12-31,1.0623
2010-01-29,0.8838
2010-02-26,1.0953
2010-03-31,1.0831
2010-04-30,1.0539
2010-05-31,0
2010-06-30,0.9326
2010-07-30,1.1008
2010-08-31,0.9774
2010-09-30,0.9912
2010-10-29,1.0260
2010-11-30,1.0067
2010-12-31,0.9761
2011-01-31,1.0197
2011-02-28,1.1090
2011-03-31,0.9980
2011-04-29,1.0689
2011-05-31,1.0278
2011-06-30,1.0157
2011-07-29,1.0368
2011-08-31,1.0251
2011-09-30,0.9363
2011-10-31,1.2060
2011-11-30,0.9991
2011-12-30,1.0500
2012-01-31,1.0537
2012-02-29,1.0041
2012-03-30,1.0614
2012-04-30,1.0681
2012-05-31,0.9458
2012-06-29,1.0847
2012-07-31,1.0152
2012-08-31,0.9799
2012-09-28,0.9644
2012-10-31,1.0067
2012-11-30,1.0047
2012-12-31,1.0392
2013-01-31,1.0024
2013-02-28,0.9913
2013-03-29,0
2013-04-30,1.1062
2013-05-31,0.9409
2013-06-28,0.9488
2013-07-31,0.9842
2013-08-30,0.9309
2013-09-30,1.0179
2013-10-31,1.0388
2013-11-29,0.9774
2013-12-31,1.0223
2014-01-31,1.0181
2014-02-28,1.0629
2014-03-31,1.0127
2014-04-30,1.0502
2014-05-30,1.0243
2014-06-30,0.9969
2014-07-31,1.0087
2014-08-29,1.0219
2014-09-30,0.9665
2014-10-31,1.0808
2014-11-28,1.0296
2014-12-31,1.0014
2015-01-30,1.0909
2015-02-27,0.9364
2015-03-31,1.0318
2015-04-30,0.9167
2015-05-29,1.0078
2015-06-30,0.9499
2015-07-31,1.0715
2015-08-31,0.9596
2015-09-30,1.0498
2015-10-30,1.0746
2015-11-30,0.9322
2015-12-31,1.0624
2016-01-29,0.9545
2016-02-29,1.0275
2016-03-31,1.0635
2016-04-29,0.9621
2016-05-31,0.9742
2016-06-30,1.0988
2016-07-29,1.0467
2016-08-31,0.9767
2016-09-30,0.9583
2016-10-31,0.9213
2016-11-30,0.9891
2016-12-30,1.0048
2017-01-31,1.0343
2017-02-28,1.0474
2017-03-31,0.9589
2017-04-28,0.9719
2017-05-31,0.9241
2017-06-30,1.0597
2017-07-31,0.9798
2017-08-31,0.9796
2017-09-29,1.0265
2017-10-31,0.9767
2017-11-30,1.0416
2017-12-29,1.0618
2018-01-31,0.9475
2018-02-28,0.9559
2018-03-30,0
2018-04-30,1.0213
2018-05-31,1.0192
2018-06-29,1.0584
2018-07-31,1.0385
2018-08-31,1.0383
2018-09-28,0.9741
2018-10-31,1.0602
2018-11-30,1.0335
2018-12-31,0.9100
2019-01-31,1.1037
2019-02-28,1.0106
2019-03-29,1.0378
2019-04-30,0.9495
2019-05-31,0.9223
2019-06-28,0.9856
2019-07-31,1.0015
2019-08-30,0.9485
2019-09-30,1.0451
2019-10-31,1.0216
2019-11-29,1.0172
2019-12-31,1.0007
2020-01-31,0.9177
2020-02-28,0.9157
