,ROCR_daily_20
2000-01-31,1.1475
2000-02-29,1.1340
2000-03-31,0.9195
2000-04-28,0.9348
2000-05-31,0.7763
2000-06-30,1.0125
2000-07-31,0.8979
2000-08-31,1.0607
2000-09-29,0.9226
2000-10-31,1.0042
2000-11-30,0.8169
2000-12-29,0.9842
2001-01-31,1.3652
2001-02-28,0.9335
2001-03-30,1.0000
2001-04-30,1.0934
2001-05-31,0.8610
2001-06-29,1.0997
2001-07-31,0.9721
2001-08-31,1.0040
2001-09-28,0.8669
2001-10-31,0.9812
2001-11-30,1.1541
2001-12-31,1.0625
2002-01-31,1.0028
2002-02-28,1.0928
2002-03-29,0
2002-04-30,1.0326
2002-05-31,1.0446
2002-06-28,0.9345
2002-07-31,0.9361
2002-08-30,0.9443
2002-09-30,0.9201
2002-10-31,1.1852
2002-11-29,1.2516
2002-12-31,0.9616
2003-01-31,0.9337
2003-02-28,1.0267
2003-03-31,1.0943
2003-04-30,1.0543
2003-05-30,1.0195
2003-06-30,0.9367
2003-07-31,1.0886
2003-08-29,1.2076
2003-09-30,0.9628
2003-10-31,1.0813
2003-11-28,1.0074
2003-12-31,1.0115
2004-01-30,0.9747
2004-02-27,1.0065
2004-03-31,0.9360
2004-04-30,1.0281
2004-05-31,0
2004-06-30,1.0718
2004-07-30,1.0070
2004-08-31,1.0067
2004-09-30,1.0387
2004-10-29,1.0017
2004-11-30,1.0637
2004-12-31,1.0268
2005-01-31,0.9712
2005-02-28,0.9807
2005-03-31,1.0023
2005-04-29,0.9394
2005-05-31,1.1253
2005-06-30,0.9551
2005-07-29,1.0695
2005-08-31,0.9751
2005-09-30,0.9875
2005-10-31,1.0465
2005-11-30,1.0079
2005-12-30,0.9785
2006-01-31,1.0440
2006-02-28,1.0474
2006-03-31,1.0341
2006-04-28,1.0158
2006-05-31,0.8989
2006-06-30,1.0104
2006-07-31,0.8879
2006-08-31,1.0250
2006-09-29,1.0785
2006-10-31,1.0082
2006-11-30,1.0123
2006-12-29,1.0483
2007-01-31,0.9633
2007-02-28,1.0208
2007-03-30,1.0267
2007-04-30,0.9598
2007-05-31,1.0000
2007-06-29,0.9354
2007-07-31,0.9427
2007-08-31,1.0219
2007-09-28,0.9168
2007-10-31,1.0552
2007-11-30,1.0666
2007-12-31,0.9734
2008-01-31,1.0784
2008-02-29,0.9294
2008-03-31,1.0080
2008-04-30,0.9349
2008-05-30,1.0240
2008-06-30,1.0286
2008-07-31,0.9732
2008-08-29,1.0684
2008-09-30,0.9084
2008-10-31,0.9715
2008-11-28,0.9425
2008-12-31,1.0980
2009-01-30,0.8895
2009-02-27,0.9643
2009-03-31,1.2048
2009-04-30,1.1200
2009-05-29,0.9922
2009-06-30,0.9308
2009-07-31,1.0959
2009-08-31,1.0042
2009-09-30,1.0905
2009-10-30,0.9627
2009-11-30,1.0747
2009-12-31,1.0302
2010-01-29,0.9392
2010-02-26,1.0865
2010-03-31,1.0415
2010-04-30,0.9931
2010-05-31,0
2010-06-30,0.8817
2010-07-30,1.0550
2010-08-31,0.8912
2010-09-30,1.1415
2010-10-29,0.9903
2010-11-30,1.0885
2010-12-31,0.9992
2011-01-31,0.9798
2011-02-28,0.9543
2011-03-31,0.9273
2011-04-29,1.0886
2011-05-31,0.7919
2011-06-30,0.9685
2011-07-29,1.0165
2011-08-31,0.9590
2011-09-30,0.9292
2011-10-31,1.1697
2011-11-30,1.0098
2011-12-30,0.9769
2012-01-31,1.0533
2012-02-29,1.0021
2012-03-30,1.0613
2012-04-30,0.9512
2012-05-31,0.8614
2012-06-29,1.0314
2012-07-31,0.9785
2012-08-31,0.8445
2012-09-28,1.0770
2012-10-31,0.9918
2012-11-30,0.9991
2012-12-31,0.9835
2013-01-31,1.1747
2013-02-28,0.9770
2013-03-29,0
2013-04-30,1.0122
2013-05-31,1.1419
2013-06-28,1.0657
2013-07-31,1.0442
2013-08-30,0.8182
2013-09-30,1.0618
2013-10-31,1.0891
2013-11-29,0.9629
2013-12-31,1.0342
2014-01-31,0.8441
2014-02-28,1.0119
2014-03-31,0.8515
2014-04-30,1.0936
2014-05-30,0.8893
2014-06-30,0.9811
2014-07-31,1.0479
2014-08-29,1.0210
2014-09-30,0.9670
2014-10-31,1.0606
2014-11-28,1.1194
2014-12-31,1.2928
2015-01-30,0.9409
2015-02-27,0.9807
2015-03-31,0.9758
2015-04-30,0.9945
2015-05-29,1.0089
2015-06-30,0.9377
2015-07-31,0.9460
2015-08-31,1.0057
2015-09-30,0.8651
2015-10-30,1.0691
2015-11-30,0.9292
2015-12-31,0.7959
2016-01-29,0.9360
2016-02-29,1.0594
2016-03-31,1.1504
2016-04-29,0.9123
2016-05-31,0.8478
2016-06-30,0.9897
2016-07-29,1.0777
2016-08-31,0.9522
2016-09-30,1.0190
2016-10-31,0.8757
2016-11-30,1.3247
2016-12-30,0.9474
2017-01-31,1.0166
2017-02-28,0.9761
2017-03-31,0.9893
2017-04-28,1.1178
2017-05-31,0.9284
2017-06-30,1.1219
2017-07-31,1.0079
2017-08-31,1.0039
2017-09-29,0
2017-10-31,0
2017-11-30,0
2017-12-29,0
2018-01-31,0
2018-02-28,0
2018-03-30,0
2018-04-30,0
2018-05-31,0
2018-06-29,0
2018-07-31,0
2018-08-31,0
2018-09-28,0
2018-10-31,0
2018-11-30,0
2018-12-31,0
2019-01-31,0
2019-02-28,0
2019-03-29,0
2019-04-30,0
2019-05-31,0
2019-06-28,0
2019-07-31,0
2019-08-30,0
2019-09-30,0
2019-10-31,0
2019-11-29,0
2019-12-31,0
2020-01-31,0
2020-02-28,0
2020-03-31,0
2020-04-30,0
2020-05-29,0
2020-06-30,0
2020-07-31,0
2020-08-31,0
2020-09-30,0
2020-10-30,0
2020-11-30,0
2020-12-31,0
2021-01-29,0
2021-02-26,0
2021-03-31,0
2021-04-30,0
2021-05-31,0
2021-06-30,0
2021-07-30,0
2021-08-31,0
2021-09-30,0
2021-10-29,0
2021-11-30,0
2021-12-31,0
2022-01-31,0
2022-02-28,0
2022-03-31,0
