,ROCR_daily_20
2000-01-31,0.8455
2000-02-29,1.5675
2000-03-31,0.6016
2000-04-28,0.9171
2000-05-31,1.0885
2000-06-30,0.9698
2000-07-31,0.8992
2000-08-31,1.2263
2000-09-29,1.0186
2000-10-31,0.7333
2000-11-30,0.6810
2000-12-29,0.8558
2001-01-31,1.1891
2001-02-28,0.6129
2001-03-30,0.7009
2001-04-30,1.4470
2001-05-31,0.9512
2001-06-29,1.0670
2001-07-31,0.9026
2001-08-31,0.7574
2001-09-28,0.8913
2001-10-31,0.8384
2001-11-30,1.0114
2001-12-31,1.0182
2002-01-31,0.8108
2002-02-28,0.7472
2002-03-29,0
2002-04-30,0.3663
2002-05-31,1.1510
2002-06-28,0.7428
2002-07-31,1.0978
2002-08-30,1.2088
2002-09-30,0.7033
2002-10-31,1.6406
2002-11-29,1.3024
2002-12-31,0.8159
2003-01-31,0.9720
2003-02-28,0.9323
2003-03-31,1.1425
2003-04-30,1.4375
2003-05-30,1.2914
2003-06-30,0.9324
2003-07-31,0.9395
2003-08-29,1.1577
2003-09-30,0.8774
2003-10-31,1.1330
2003-11-28,1.0195
2003-12-31,0.9885
2004-01-30,1.0724
2004-02-27,0.9803
2004-03-31,0.9730
2004-04-30,0.9890
2004-05-31,0
2004-06-30,1.1099
2004-07-30,0.9101
2004-08-31,1.0212
2004-09-30,1.1075
2004-10-29,1.2788
2004-11-30,1.2378
2004-12-31,0.9813
2005-01-31,0.7690
2005-02-28,1.0715
2005-03-31,1.0134
2005-04-29,0.9473
2005-05-31,1.2158
2005-06-30,0.8803
2005-07-29,0.9148
2005-08-31,0.8499
2005-09-30,0.9862
2005-10-31,1.0741
2005-11-30,0.9476
2005-12-30,0.9660
2006-01-31,1.0845
2006-02-28,1.0269
2006-03-31,1.0131
2006-04-28,0.9715
2006-05-31,0.9553
2006-06-30,1.0239
2006-07-31,0.7738
2006-08-31,1.1864
2006-09-29,0.9980
2006-10-31,1.0314
2006-11-30,1.2580
2006-12-29,0.9218
2007-01-31,0.9938
2007-02-28,1.0446
2007-03-30,1.0291
2007-04-30,1.0888
2007-05-31,1.1036
2007-06-29,1.0451
2007-07-31,0.9203
2007-08-31,1.1009
2007-09-28,1.0485
2007-10-31,1.0009
2007-11-30,1.2678
2007-12-31,0.9196
2008-01-31,0.9126
2008-02-29,1.0259
2008-03-31,0.9552
2008-04-30,1.0483
2008-05-30,1.0869
2008-06-30,0.9601
2008-07-31,0.8743
2008-08-29,0.9984
2008-09-30,0.8308
2008-10-31,0.9193
2008-11-28,1.0112
2008-12-31,1.0026
2009-01-30,1.0121
2009-02-27,0.9837
2009-03-31,0.9151
2009-04-30,1.0803
2009-05-29,1.1375
2009-06-30,0.7867
2009-07-31,1.1324
2009-08-31,1.0242
2009-09-30,1.1378
2009-10-30,0.9917
2009-11-30,0.9838
2009-12-31,1.0944
2010-01-29,0.9305
2010-02-26,1.0797
2010-03-31,1.0264
2010-04-30,1.0349
2010-05-31,0
2010-06-30,0.9523
2010-07-30,1.0707
2010-08-31,0.9956
2010-09-30,1.0731
2010-10-29,1.0959
2010-11-30,0.9965
2010-12-31,1.0069
2011-01-31,1.0300
2011-02-28,1.0456
2011-03-31,1.0072
2011-04-29,1.0213
2011-05-31,1.0178
2011-06-30,0.9546
2011-07-29,0.9328
2011-08-31,1.0243
2011-09-30,0.9293
2011-10-31,1.1661
2011-11-30,1.0620
2011-12-30,1.0546
2012-01-31,1.0370
2012-02-29,0.9976
2012-03-30,1.0365
2012-04-30,1.0720
2012-05-31,0.9237
2012-06-29,1.1548
2012-07-31,1.0240
2012-08-31,1.0445
2012-09-28,1.0316
2012-10-31,0.7597
2012-11-30,0.8298
2012-12-31,1.1367
2013-01-31,1.0893
2013-02-28,1.0612
2013-03-29,0
