,ROCR_daily_20
2000-01-31,1.0127
2000-02-29,0.7901
2000-03-31,1.1052
2000-04-28,0.9854
2000-05-31,0.9615
2000-06-30,0.9474
2000-07-31,0.9266
2000-08-31,0.9067
2000-09-29,1.1131
2000-10-31,1.2227
2000-11-30,1.0079
2000-12-29,0.8922
2001-01-31,1.1013
2001-02-28,0.9185
2001-03-30,0.9958
2001-04-30,1.1257
2001-05-31,0.9640
2001-06-29,0.9773
2001-07-31,1.0032
2001-08-31,0.9314
2001-09-28,1.0384
2001-10-31,0.9144
2001-11-30,0.9190
2001-12-31,1.0098
2002-01-31,0.9633
2002-02-28,1.0156
2002-03-29,0
2002-04-30,0.8912
2002-05-31,1.0361
2002-06-28,0.9337
2002-07-31,0.8967
2002-08-30,0.9694
2002-09-30,0.8852
2002-10-31,1.1614
2002-11-29,1.1091
2002-12-31,0.9371
2003-01-31,0.9619
2003-02-28,0.9303
2003-03-31,1.0155
2003-04-30,1.0485
2003-05-30,1.0120
2003-06-30,1.0244
2003-07-31,0.8789
2003-08-29,1.0273
2003-09-30,0.9125
2003-10-31,1.0076
2003-11-28,1.0012
2003-12-31,1.0771
2004-01-30,1.0618
2004-02-27,1.0334
2004-03-31,0.9369
2004-04-30,1.0332
2004-05-31,0
2004-06-30,1.0379
2004-07-30,1.0805
2004-08-31,1.0054
2004-09-30,0.9970
2004-10-29,0.9856
2004-11-30,1.0313
2004-12-31,0.9664
2005-01-31,0.8871
2005-02-28,1.0081
2005-03-31,0.9734
2005-04-29,1.0289
2005-05-31,1.0117
2005-06-30,0.9824
2005-07-29,1.0024
2005-08-31,0.9559
2005-09-30,1.0021
2005-10-31,0.9851
2005-11-30,1.0204
2005-12-30,0.9371
2006-01-31,1.0647
2006-02-28,1.0564
2006-03-31,1.0143
2006-04-28,0.9692
2006-05-31,0.9562
2006-06-30,1.0485
2006-07-31,1.0222
2006-08-31,1.0505
2006-09-29,1.0554
2006-10-31,0.9983
2006-11-30,0.9806
2006-12-29,1.0658
2007-01-31,1.0458
2007-02-28,0.9694
2007-03-30,1.0395
2007-04-30,1.0176
2007-05-31,1.0992
2007-06-29,0.9572
2007-07-31,1.0350
2007-08-31,0.9796
2007-09-28,1.0560
2007-10-31,1.0280
2007-11-30,0.9658
2007-12-31,1.0111
2008-01-31,0.9078
2008-02-29,0.9354
2008-03-31,1.0036
2008-04-30,1.0256
2008-05-30,0.9784
2008-06-30,0.9350
2008-07-31,0.9670
2008-08-29,1.0329
2008-09-30,0.8956
2008-10-31,0.9655
2008-11-28,1.0705
2008-12-31,1.0551
2009-01-30,0.8938
2009-02-27,0.9438
2009-03-31,1.1058
2009-04-30,0.9859
2009-05-29,0.9644
2009-06-30,1.0392
2009-07-31,1.0783
2009-08-31,0.9691
2009-09-30,0.9967
2009-10-30,1.0060
2009-11-30,1.0632
2009-12-31,1.0147
2010-01-29,0.8934
2010-02-26,0.9864
2010-03-31,1.0649
2010-04-30,0.9384
2010-05-31,0
2010-06-30,1.0156
2010-07-30,1.1240
2010-08-31,0.9997
2010-09-30,1.0770
2010-10-29,1.0020
2010-11-30,0.9880
2010-12-31,1.0929
2011-01-31,1.0089
2011-02-28,1.0362
2011-03-31,1.0600
2011-04-29,0.9929
2011-05-31,0.9832
2011-06-30,1.0293
2011-07-29,0.9602
2011-08-31,1.0054
2011-09-30,1.0256
2011-10-31,1.0318
2011-11-30,1.0345
2011-12-30,1.0622
2012-01-31,0.9509
2012-02-29,1.0119
2012-03-30,0.9886
2012-04-30,1.0703
2012-05-31,1.0256
2012-06-29,1.0831
2012-07-31,1.0160
2012-08-31,0.9658
2012-09-28,1.0655
2012-10-31,0.9851
2012-11-30,0.9774
2012-12-31,0.9807
2013-01-31,0.9969
2013-02-28,1.0670
2013-03-29,0
2013-04-30,1.1004
2013-05-31,0.9229
2013-06-28,1.0384
2013-07-31,0.9871
2013-08-30,0.9429
2013-09-30,0.9851
2013-10-31,1.0868
2013-11-29,0.9824
2013-12-31,0.9976
2014-01-31,0.9907
2014-02-28,0.9990
2014-03-31,1.0055
2014-04-30,0.9894
2014-05-30,1.0580
2014-06-30,0.9776
2014-07-31,1.0263
2014-08-29,0.9998
2014-09-30,1.0044
2014-10-31,1.0220
2014-11-28,1.0138
2014-12-31,0.9526
2015-01-30,0.9888
2015-02-27,1.0724
2015-03-31,0.9814
2015-04-30,1.0426
2015-05-29,0.9802
2015-06-30,0.9485
2015-07-31,1.0030
2015-08-31,0.9796
2015-09-30,0.9690
2015-10-30,1.1084
2015-11-30,0.9695
2015-12-31,1.0289
2016-01-29,1.0817
2016-02-29,1.0152
2016-03-31,1.0376
2016-04-29,0.9531
2016-05-31,0.9918
2016-06-30,1.0999
2016-07-29,1.0023
2016-08-31,0.9709
2016-09-30,0.9890
2016-10-31,0.9378
2016-11-30,1.0470
2016-12-30,1.0704
2017-01-31,0.9281
2017-02-28,1.0053
2017-03-31,0.9732
2017-04-28,0.9470
2017-05-31,1.0159
2017-06-30,0.9617
2017-07-31,1.0981
2017-08-31,0.9868
2017-09-29,1.0317
2017-10-31,0.9719
2017-11-30,1.0640
2017-12-29,1.0401
2018-01-31,1.0216
2018-02-28,0.8857
2018-03-30,0
2018-04-30,1.0596
2018-05-31,0.9983
2018-06-29,1.0523
2018-07-31,1.0361
2018-08-31,1.0402
2018-09-28,0.9752
2018-10-31,1.0631
2018-11-30,1.0758
2018-12-31,0.9457
2019-01-31,0.9932
2019-02-28,1.0541
2019-03-29,1.0381
2019-04-30,0.9778
2019-05-31,0.9537
2019-06-28,1.0511
2019-07-31,0.9610
2019-08-30,1.0462
2019-09-30,1.0378
2019-10-31,1.0354
2019-11-29,0.9962
2019-12-31,1.0240
2020-01-31,0.9838
2020-02-28,0.9124
2020-03-31,0.9646
2020-04-30,1.0972
2020-05-29,0.9988
2020-06-30,0.9775
2020-07-31,1.0611
2020-08-31,1.0355
2020-09-30,1.0056
2020-10-30,0.9722
2020-11-30,1.0600
2020-12-31,0.9575
2021-01-29,0.9518
2021-02-26,0.9987
2021-03-31,1.0500
2021-04-30,1.0021
2021-05-31,0
2021-06-30,0.9891
2021-07-30,1.0021
2021-08-31,0.9869
2021-09-30,0.9831
2021-10-29,0.9875
2021-11-30,0.9494
2021-12-31,1.0242
2022-01-31,1.0365
2022-02-28,1.0146
2022-03-31,0.9319
