,ROCR_daily_20
2000-01-31,1.0056
2000-02-29,0.9515
2000-03-31,0.9224
2000-04-28,0.9267
2000-05-31,1.0000
2000-06-30,0.9008
2000-07-31,0.9614
2000-08-31,0.9938
2000-09-29,1.1173
2000-10-31,0.9459
2000-11-30,1.0398
2000-12-29,1.0796
2001-01-31,0.9937
2001-02-28,1.0476
2001-03-30,0.9303
2001-04-30,1.1885
2001-05-31,1.0060
2001-06-29,0.9908
2001-07-31,1.0034
2001-08-31,0.9590
2001-09-28,0.9396
2001-10-31,1.0252
2001-11-30,1.1148
2001-12-31,0.9779
2002-01-31,0.9741
2002-02-28,1.1265
2002-03-29,0
2002-04-30,0.9374
2002-05-31,0.9896
2002-06-28,1.1228
2002-07-31,0.8718
2002-08-30,0.9297
2002-09-30,0.8947
2002-10-31,0.9454
2002-11-29,1.0792
2002-12-31,1.1375
2003-01-31,0.7768
2003-02-28,1.0418
2003-03-31,1.0077
2003-04-30,1.1937
2003-05-30,1.0484
2003-06-30,0.9980
2003-07-31,1.0199
2003-08-29,1.0658
2003-09-30,1.0385
2003-10-31,1.0015
2003-11-28,1.0423
2003-12-31,0.9881
2004-01-30,1.0564
2004-02-27,1.0436
2004-03-31,1.0149
2004-04-30,1.0416
2004-05-31,0
2004-06-30,1.1190
2004-07-30,0.8889
2004-08-31,1.0439
2004-09-30,0.5180
2004-10-29,1.0696
2004-11-30,1.0152
2004-12-31,1.0606
2005-01-31,1.0473
2005-02-28,0.9957
2005-03-31,0.9362
2005-04-29,1.1214
2005-05-31,1.0292
2005-06-30,1.0145
2005-07-29,0.9847
2005-08-31,1.0305
2005-09-30,1.0555
2005-10-31,0.8162
2005-11-30,1.0616
2005-12-30,0.9972
2006-01-31,1.2249
2006-02-28,1.0657
2006-03-31,1.0618
2006-04-28,1.0462
2006-05-31,0.9356
2006-06-30,1.0321
2006-07-31,1.0735
2006-08-31,1.0339
2006-09-29,0.9840
2006-10-31,1.1010
2006-11-30,1.2046
2006-12-29,1.0434
2007-01-31,0.9499
2007-02-28,0.9498
2007-03-30,1.0304
2007-04-30,1.0749
2007-05-31,1.0077
2007-06-29,0.9182
2007-07-31,0.9415
2007-08-31,0.9968
2007-09-28,1.0449
2007-10-31,1.0370
2007-11-30,0.9743
2007-12-31,1.0804
2008-01-31,0.9719
2008-02-29,1.0563
2008-03-31,1.0709
2008-04-30,1.0350
2008-05-30,0.9783
2008-06-30,0.9199
2008-07-31,1.0571
2008-08-29,1.0570
2008-09-30,0.9815
2008-10-31,0.8996
2008-11-28,0.9235
2008-12-31,1.1041
2009-01-30,0.8835
2009-02-27,0.9194
2009-03-31,1.1118
2009-04-30,1.0024
2009-05-29,0.9899
2009-06-30,1.0244
2009-07-31,1.0882
2009-08-31,1.0775
2009-09-30,1.0142
2009-10-30,1.0039
2009-11-30,0.9767
2009-12-31,1.0059
2010-01-29,0.9155
2010-02-26,1.0834
2010-03-31,1.0366
2010-04-30,0.9954
2010-05-31,0
2010-06-30,0.9240
2010-07-30,1.0032
2010-08-31,0.9587
2010-09-30,0.9994
2010-10-29,1.0510
2010-11-30,1.0572
2010-12-31,1.0608
2011-01-31,0.9747
2011-02-28,1.0303
2011-03-31,1.0901
2011-04-29,1.0592
2011-05-31,0.9798
2011-06-30,0.9779
2011-07-29,1.0063
2011-08-31,0.9476
2011-09-30,0.9287
2011-10-31,1.0929
2011-11-30,1.0294
2011-12-30,0.9940
2012-01-31,1.0717
2012-02-29,1.0277
2012-03-30,1.0444
2012-04-30,1.0605
2012-05-31,1.0670
2012-06-29,1.0654
2012-07-31,0.9801
2012-08-31,0.9510
2012-09-28,1.1194
2012-10-31,0.9993
2012-11-30,1.0099
2012-12-31,1.0133
2013-01-31,1.0757
2013-02-28,1.0175
2013-03-29,0
2013-04-30,1.0115
2013-05-31,1.0713
2013-06-28,1.0249
2013-07-31,1.0374
2013-08-30,0.9692
2013-09-30,1.1129
2013-10-31,1.1970
2013-11-29,1.0325
2013-12-31,0.9974
2014-01-31,0.9767
2014-02-28,0.9462
2014-03-31,0.9767
2014-04-30,0.9699
2014-05-30,0.9839
2014-06-30,0.9998
2014-07-31,0.9529
2014-08-29,1.0793
2014-09-30,1.0180
2014-10-31,1.1442
2014-11-28,1.0365
2014-12-31,1.0040
2015-01-30,0.9281
2015-02-27,1.0903
2015-03-31,1.1005
2015-04-30,0.9384
2015-05-29,1.0161
2015-06-30,1.0579
2015-07-31,1.0422
2015-08-31,0.9333
2015-09-30,0.9896
2015-10-30,1.1053
2015-11-30,1.0507
2015-12-31,0.9449
2016-01-29,0.9252
2016-02-29,1.0839
2016-03-31,1.0862
2016-04-29,1.0106
2016-05-31,1.0450
2016-06-30,1.0020
2016-07-29,1.0596
2016-08-31,1.0107
2016-09-30,0.9115
2016-10-31,1.0226
2016-11-30,1.0928
2016-12-30,1.0641
2017-01-31,0.9992
2017-02-28,0.9885
2017-03-31,0.9988
2017-04-28,1.1248
2017-05-31,1.0292
2017-06-30,0.9554
2017-07-31,0.9397
2017-08-31,0.9946
2017-09-29,1.1059
2017-10-31,1.0733
2017-11-30,0.9905
2017-12-29,0.9874
2018-01-31,1.0085
2018-02-28,0.8654
2018-03-30,0
2018-04-30,1.0381
2018-05-31,1.0862
2018-06-29,1.0676
2018-07-31,1.1126
2018-08-31,1.0200
2018-09-28,1.0545
2018-10-31,0.8555
2018-11-30,1.0441
2018-12-31,0.9013
2019-01-31,1.1246
2019-02-28,0.9890
2019-03-29,1.0383
2019-04-30,1.1089
2019-05-31,0.9406
2019-06-28,1.0921
2019-07-31,1.1121
2019-08-30,1.0730
2019-09-30,0.9750
2019-10-31,1.0273
2019-11-29,1.0222
2019-12-31,1.0060
2020-01-31,1.0288
2020-02-28,0.9532
2020-03-31,0.9888
2020-04-30,1.2646
2020-05-29,1.1415
2020-06-30,1.0750
2020-07-31,1.1711
2020-08-31,1.0191
2020-09-30,0.9757
2020-10-30,0.9935
2020-11-30,1.0120
2020-12-31,1.0288
2021-01-29,1.0704
2021-02-26,0.9389
2021-03-31,1.0529
2021-04-30,1.1542
2021-05-31,0
2021-06-30,1.0759
2021-07-30,1.1347
2021-08-31,1.0697
2021-09-30,0.9369
2021-10-29,1.0242
2021-11-30,1.0378
2021-12-31,1.0723
2022-01-31,0.8388
2022-02-28,0.9849
2022-03-31,1.0498
