,ROCR_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0.9619
2000-09-29,1.1208
2000-10-31,1.0539
2000-11-30,1.6561
2000-12-29,1.5592
2001-01-31,1.4550
2001-02-28,1.2810
2001-03-30,0.9999
2001-04-30,0.8200
2001-05-31,0.7935
2001-06-29,0.9611
2001-07-31,1.0179
2001-08-31,0.9335
2001-09-28,0.8344
2001-10-31,0.7274
2001-11-30,0.8304
2001-12-31,0.8900
2002-01-31,1.1553
2002-02-28,1.3926
2002-03-29,0
2002-04-30,1.8885
2002-05-31,1.8436
2002-06-28,1.6502
2002-07-31,1.4546
2002-08-30,1.4241
2002-09-30,1.1537
2002-10-31,1.1117
2002-11-29,1.1468
2002-12-31,1.0631
2003-01-31,1.0231
2003-02-28,0.9110
2003-03-31,1.0014
2003-04-30,1.1078
2003-05-30,1.3559
2003-06-30,1.5361
2003-07-31,1.6671
2003-08-29,1.4515
2003-09-30,1.5257
2003-10-31,1.3480
2003-11-28,1.5512
2003-12-31,1.4456
2004-01-30,1.4091
2004-02-27,1.5055
2004-03-31,1.3984
2004-04-30,1.3486
2004-05-31,0
2004-06-30,1.4473
2004-07-30,1.3570
2004-08-31,1.5616
2004-09-30,1.5495
2004-10-29,1.3921
2004-11-30,1.5297
2004-12-31,1.4149
2005-01-31,1.4824
2005-02-28,1.8386
2005-03-31,1.7688
2005-04-29,1.6715
2005-05-31,1.7189
2005-06-30,1.7169
2005-07-29,1.5792
2005-08-31,1.4467
2005-09-30,1.3651
2005-10-31,1.3848
2005-11-30,1.3442
2005-12-30,1.2518
2006-01-31,1.3704
2006-02-28,1.3461
2006-03-31,1.1688
2006-04-28,0.9420
2006-05-31,0.9682
2006-06-30,0.9937
2006-07-31,0.7760
2006-08-31,0.8227
2006-09-29,0.8124
2006-10-31,0.9241
2006-11-30,0.8068
2006-12-29,0.8414
2007-01-31,0.8796
2007-02-28,1.1147
2007-03-30,1.1022
2007-04-30,1.1965
2007-05-31,1.4962
2007-06-29,1.2500
2007-07-31,1.2044
2007-08-31,1.2490
2007-09-28,1.2618
2007-10-31,1.3288
2007-11-30,1.2416
2007-12-31,1.3376
2008-01-31,1.1732
2008-02-29,0.9870
2008-03-31,0.8188
2008-04-30,0.8725
2008-05-30,1.0031
2008-06-30,0.7953
2008-07-31,0.7730
2008-08-29,0.7939
2008-09-30,0.6231
2008-10-31,0.4376
2008-11-28,0.4441
2008-12-31,0.6765
2009-01-30,0.7533
2009-02-27,0.5483
2009-03-31,0.5477
2009-04-30,0.6324
2009-05-29,0.6162
2009-06-30,0.5901
2009-07-31,0.7695
2009-08-31,1.3067
2009-09-30,1.3246
2009-10-30,0.9909
2009-11-30,0.9078
2009-12-31,1.3031
2010-01-29,1.1033
2010-02-26,1.1436
2010-03-31,1.5605
2010-04-30,1.1289
2010-05-31,0
2010-06-30,0.8649
2010-07-30,1.0919
2010-08-31,0.9116
2010-09-30,0.9756
2010-10-29,0.9507
2010-11-30,1.0316
2010-12-31,0.9190
2011-01-31,1.0504
2011-02-28,1.2358
2011-03-31,1.2782
2011-04-29,1.4740
2011-05-31,1.5604
2011-06-30,1.4603
2011-07-29,1.3215
2011-08-31,1.3039
2011-09-30,1.2051
2011-10-31,1.1868
2011-11-30,1.1384
2011-12-30,1.2264
2012-01-31,1.1791
2012-02-29,1.0787
2012-03-30,1.1786
2012-04-30,1.0258
