,ROCR_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,1.4267
2000-09-29,1.2233
2000-10-31,1.0650
2000-11-30,0.6550
2000-12-29,0.8418
2001-01-31,0.9007
2001-02-28,0.6922
2001-03-30,0.4491
2001-04-30,0.5763
2001-05-31,0.5787
2001-06-29,0.5801
2001-07-31,0.4869
2001-08-31,0.3808
2001-09-28,0.3962
2001-10-31,0.2963
2001-11-30,0.2659
2001-12-31,0.3929
2002-01-31,0.3035
2002-02-28,0.1864
2002-03-29,0
2002-04-30,0.2736
2002-05-31,0.2218
2002-06-28,0.3083
2002-07-31,0.1439
2002-08-30,0.3838
2002-09-30,0.2271
2002-10-31,0.2020
2002-11-29,0.8457
2002-12-31,0.6014
2003-01-31,0.9321
2003-02-28,1.1495
2003-03-31,1.6235
2003-04-30,3.0182
2003-05-30,6.2657
2003-06-30,3.8147
2003-07-31,10.7059
2003-08-29,8.4296
2003-09-30,2.6093
2003-10-31,2.2481
2003-11-28,2.4685
2003-12-31,1.9016
2004-01-30,1.6502
2004-02-27,1.4616
2004-03-31,1.3758
2004-04-30,1.2475
2004-05-31,0
2004-06-30,1.4140
2004-07-30,1.3062
2004-08-31,1.3295
2004-09-30,1.4005
2004-10-29,1.4171
2004-11-30,1.5108
2004-12-31,1.5945
2005-01-31,1.4324
2005-02-28,1.3992
2005-03-31,1.2633
2005-04-29,1.1564
2005-05-31,1.2476
2005-06-30,1.4164
2005-07-29,1.4185
2005-08-31,1.3318
2005-09-30,1.3589
2005-10-31,1.2781
2005-11-30,1.5427
2005-12-30,1.4562
2006-01-31,1.8041
2006-02-28,1.8812
2006-03-31,1.6111
2006-04-28,1.5961
2006-05-31,1.3807
2006-06-30,1.2687
2006-07-31,1.4550
2006-08-31,1.3729
2006-09-29,1.3514
2006-10-31,1.2639
2006-11-30,1.2118
2006-12-29,1.2187
2007-01-31,1.2459
2007-02-28,1.1139
2007-03-30,1.3662
2007-04-30,1.2160
2007-05-31,1.2648
2007-06-29,1.1650
2007-07-31,1.1103
2007-08-31,1.0933
2007-09-28,1.1546
2007-10-31,1.1145
2007-11-30,1.1337
2007-12-31,1.1345
2008-01-31,0.9414
2008-02-29,0.9529
2008-03-31,0.9239
2008-04-30,0.9861
2008-05-30,1.1575
2008-06-30,1.0784
2008-07-31,0.9733
2008-08-29,0.9688
2008-09-30,0.8786
2008-10-31,0.8425
2008-11-28,0.7013
2008-12-31,0.7478
2009-01-30,0.7583
2009-02-27,0.6499
2009-03-31,0.7044
2009-04-30,0.7936
2009-05-29,0.7453
2009-06-30,0.8015
2009-07-31,1.0337
2009-08-31,1.2094
2009-09-30,1.3572
2009-10-30,1.2847
2009-11-30,1.4184
2009-12-31,1.3939
2010-01-29,1.3082
2010-02-26,1.4736
2010-03-31,1.4260
2010-04-30,1.2472
2010-05-31,0
2010-06-30,1.2787
2010-07-30,1.2440
2010-08-31,1.1887
2010-09-30,1.2558
2010-10-29,1.1569
2010-11-30,1.1663
2010-12-31,1.1734
2011-01-31,1.2118
2011-02-28,1.2925
2011-03-31,1.1593
2011-04-29,1.1484
2011-05-31,1.2124
2011-06-30,1.0706
2011-07-29,1.0349
2011-08-31,1.0466
2011-09-30,1.0732
2011-10-31,1.1053
2011-11-30,1.0572
2011-12-30,1.1829
2012-01-31,1.2733
2012-02-29,1.1892
2012-03-30,1.2500
2012-04-30,1.2653
