,ROCR_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,1.0017
2000-09-29,1.5215
2000-10-31,1.5586
2000-11-30,1.4896
2000-12-29,1.4351
2001-01-31,1.4938
2001-02-28,1.2650
2001-03-30,1.4773
2001-04-30,1.4317
2001-05-31,1.5514
2001-06-29,1.3678
2001-07-31,1.4818
2001-08-31,1.1776
2001-09-28,1.1776
2001-10-31,1.0953
2001-11-30,1.2829
2001-12-31,1.2612
2002-01-31,1.2502
2002-02-28,1.2491
2002-03-29,0
2002-04-30,1.2734
2002-05-31,1.1506
2002-06-28,1.3469
2002-07-31,1.0816
2002-08-30,1.0345
2002-09-30,1.0274
2002-10-31,1.1207
2002-11-29,0.9886
2002-12-31,1.0612
2003-01-31,0.9552
2003-02-28,0.9163
2003-03-31,0.9988
2003-04-30,1.2254
2003-05-30,1.3833
2003-06-30,1.1588
2003-07-31,1.1977
2003-08-29,1.3074
2003-09-30,1.1479
2003-10-31,1.1820
2003-11-28,1.3325
2003-12-31,1.2253
2004-01-30,1.0371
2004-02-27,0.9942
2004-03-31,0.9746
2004-04-30,0.9657
2004-05-31,0
2004-06-30,0.9466
2004-07-30,0.8674
2004-08-31,0.8725
2004-09-30,0.9202
2004-10-29,1.0384
2004-11-30,0.9651
2004-12-31,1.0202
2005-01-31,1.0291
2005-02-28,1.0260
2005-03-31,0.9677
2005-04-29,1.0538
2005-05-31,1.1762
2005-06-30,1.1018
2005-07-29,1.1721
2005-08-31,0.9296
2005-09-30,0.9963
2005-10-31,0.9862
2005-11-30,1.0834
2005-12-30,0.9891
2006-01-31,0.9855
2006-02-28,0.9680
2006-03-31,0.9145
2006-04-28,0.8738
2006-05-31,0.7934
2006-06-30,0.8270
2006-07-31,0.8981
2006-08-31,0.8021
2006-09-29,0.9075
2006-10-31,1.0857
2006-11-30,1.0666
2006-12-29,1.0270
2007-01-31,1.0888
2007-02-28,1.0533
2007-03-30,1.1613
2007-04-30,1.2648
2007-05-31,1.1704
2007-06-29,0.9847
2007-07-31,0.8846
2007-08-31,0.8750
2007-09-28,0.8599
2007-10-31,0.8079
2007-11-30,0.7314
2007-12-31,0.7520
2008-01-31,0.7780
2008-02-29,0.7094
2008-03-31,0.7833
2008-04-30,0.9030
2008-05-30,0.9395
2008-06-30,0.8446
2008-07-31,0.8123
2008-08-29,0.9443
2008-09-30,1.0346
2008-10-31,0.9594
2008-11-28,0.6784
2008-12-31,0.8187
2009-01-30,0.7606
2009-02-27,0.6445
2009-03-31,0.8242
2009-04-30,1.1118
2009-05-29,0.9484
2009-06-30,0.9591
2009-07-31,1.2952
2009-08-31,1.7804
2009-09-30,1.5285
2009-10-30,1.3621
2009-11-30,1.6974
2009-12-31,1.6319
2010-01-29,1.2697
2010-02-26,1.4708
2010-03-31,1.5468
2010-04-30,1.4462
2010-05-31,0
2010-06-30,1.0054
2010-07-30,1.0316
2010-08-31,0.9727
2010-09-30,1.1188
2010-10-29,1.0594
2010-11-30,1.0671
2010-12-31,1.1155
2011-01-31,1.0589
2011-02-28,1.0550
2011-03-31,1.0698
2011-04-29,1.4841
2011-05-31,1.4533
2011-06-30,1.4008
2011-07-29,1.3449
2011-08-31,1.2961
2011-09-30,1.2068
2011-10-31,1.2490
2011-11-30,1.2264
2011-12-30,1.2652
2012-01-31,1.1048
2012-02-29,1.0735
2012-03-30,1.2431
2012-04-30,1.1969
