,ROCR_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,1.9758
2000-09-29,2.4205
2000-10-31,2.3157
2000-11-30,2.6609
2000-12-29,2.9229
2001-01-31,1.8863
2001-02-28,1.4725
2001-03-30,1.2341
2001-04-30,1.4561
2001-05-31,1.2951
2001-06-29,0.9080
2001-07-31,0.8422
2001-08-31,0.7878
2001-09-28,0.6091
2001-10-31,0.7294
2001-11-30,0.7393
2001-12-31,0.8261
2002-01-31,0.7946
2002-02-28,0.8026
2002-03-29,0
2002-04-30,1.2075
2002-05-31,1.2788
2002-06-28,1.2227
2002-07-31,1.0128
2002-08-30,0.9688
2002-09-30,1.0115
2002-10-31,1.0815
2002-11-29,1.1794
2002-12-31,1.0043
2003-01-31,0.9687
2003-02-28,0.9481
2003-03-31,1.0430
2003-04-30,1.0607
2003-05-30,1.2536
2003-06-30,1.1968
2003-07-31,1.0887
2003-08-29,1.1532
2003-09-30,1.0094
2003-10-31,1.0682
2003-11-28,1.0947
2003-12-31,1.1546
2004-01-30,1.1855
2004-02-27,1.1408
2004-03-31,1.0979
2004-04-30,1.3086
2004-05-31,0
2004-06-30,1.4690
2004-07-30,1.4922
2004-08-31,1.3606
2004-09-30,1.4451
2004-10-29,1.4446
2004-11-30,1.7209
2004-12-31,1.5740
2005-01-31,1.5345
2005-02-28,1.7240
2005-03-31,1.7295
2005-04-29,1.5112
2005-05-31,1.7399
2005-06-30,1.8172
2005-07-29,1.8707
2005-08-31,1.8958
2005-09-30,2.0497
2005-10-31,1.9421
2005-11-30,1.7501
2005-12-30,1.5870
2006-01-31,1.9415
2006-02-28,1.4846
2006-03-31,1.2975
2006-04-28,1.1581
2006-05-31,1.0329
2006-06-30,1.0040
2006-07-31,1.0889
2006-08-31,1.0229
2006-09-29,0.8236
2006-10-31,0.8081
2006-11-30,1.0198
2006-12-29,0.8583
2007-01-31,0.9632
2007-02-28,0.9259
2007-03-30,1.2471
2007-04-30,1.0504
2007-05-31,1.1320
2007-06-29,1.2251
2007-07-31,1.1300
2007-08-31,1.0093
2007-09-28,1.0611
2007-10-31,1.4301
2007-11-30,1.2626
2007-12-31,1.3644
2008-01-31,1.1542
2008-02-29,1.5750
2008-03-31,1.5545
2008-04-30,1.7916
2008-05-30,1.8342
2008-06-30,1.8349
2008-07-31,1.2348
2008-08-29,1.2227
2008-09-30,0.9922
2008-10-31,0.9675
2008-11-28,0.8746
2008-12-31,0.5415
2009-01-30,0.5123
2009-02-27,0.3631
2009-03-31,0.4225
2009-04-30,0.5733
2009-05-29,0.7732
2009-06-30,0.7529
2009-07-31,1.0529
2009-08-31,0.9516
2009-09-30,1.2369
2009-10-30,1.2834
2009-11-30,1.3657
2009-12-31,1.5788
2010-01-29,1.5344
2010-02-26,1.2907
2010-03-31,1.2253
2010-04-30,1.6941
2010-05-31,0
2010-06-30,1.2818
2010-07-30,1.0943
2010-08-31,0.9819
2010-09-30,1.0330
2010-10-29,0.9811
2010-11-30,0.9626
2010-12-31,0.9843
2011-01-31,0.9945
2011-02-28,1.0439
2011-03-31,1.0785
2011-04-29,1.0695
2011-05-31,1.1643
2011-06-30,1.1469
2011-07-29,1.0377
2011-08-31,1.0064
2011-09-30,0.7916
2011-10-31,0.8936
2011-11-30,1.0069
2011-12-30,0.9110
2012-01-31,0.9636
2012-02-29,1.0854
2012-03-30,1.0856
2012-04-30,1.1413
