,ROCR_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0.1083
2001-06-29,0.0856
2001-07-31,0.2697
2001-08-31,0.1103
2001-09-28,0.0936
2001-10-31,0.1417
2001-11-30,0.2666
2001-12-31,1.2185
2002-01-31,2.0631
2002-02-28,0.7716
2002-03-29,0
2002-04-30,0.5429
2002-05-31,0.3710
2002-06-28,0.5000
2002-07-31,0.9057
2002-08-30,0.3483
2002-09-30,0.2194
2002-10-31,0.1029
2002-11-29,0.1707
2002-12-31,0.1403
2003-01-31,0.1608
2003-02-28,0.2396
2003-03-31,0.2195
2003-04-30,0.2604
2003-05-30,0.5652
2003-06-30,1.1151
2003-07-31,2.3813
2003-08-29,2.2284
2003-09-30,2.2404
2003-10-31,2.9984
2003-11-28,6.6775
2003-12-31,6.9827
2004-01-30,10.1262
2004-02-27,6.1935
2004-03-31,4.3080
2004-04-30,2.2787
2004-05-31,0
2004-06-30,1.7631
2004-07-30,1.6258
2004-08-31,1.6113
2004-09-30,1.1218
2004-10-29,1.0528
2004-11-30,1.2960
2004-12-31,1.3796
2005-01-31,1.3281
2005-02-28,1.5079
2005-03-31,1.3424
2005-04-29,1.1898
2005-05-31,1.2802
2005-06-30,1.3999
2005-07-29,1.2634
2005-08-31,0.9718
2005-09-30,1.0674
2005-10-31,0.8896
2005-11-30,0.9137
2005-12-30,0.9983
2006-01-31,1.2269
2006-02-28,1.6590
2006-03-31,1.7268
2006-04-28,1.4799
2006-05-31,1.4886
2006-06-30,1.3137
2006-07-31,1.4510
2006-08-31,1.6131
2006-09-29,1.4262
2006-10-31,1.4751
2006-11-30,1.6972
2006-12-29,1.3916
2007-01-31,1.4659
2007-02-28,1.3219
2007-03-30,1.7390
2007-04-30,1.6473
2007-05-31,1.7459
2007-06-29,1.4799
2007-07-31,1.4036
2007-08-31,1.2646
2007-09-28,1.1178
2007-10-31,1.4297
2007-11-30,1.2103
2007-12-31,1.2392
2008-01-31,0.8513
2008-02-29,0.8867
2008-03-31,0.7722
2008-04-30,0.9838
2008-05-30,1.0738
2008-06-30,1.0892
2008-07-31,0.8262
2008-08-29,0.7413
2008-09-30,0.7082
2008-10-31,0.8159
2008-11-28,0.5886
2008-12-31,0.8327
2009-01-30,0.7244
2009-02-27,0.5255
2009-03-31,0.5880
2009-04-30,0.8043
2009-05-29,0.9601
2009-06-30,0.9455
2009-07-31,1.3919
2009-08-31,1.6150
2009-09-30,1.8290
2009-10-30,1.6217
2009-11-30,1.8765
2009-12-31,1.9545
2010-01-29,1.5885
2010-02-26,1.4240
2010-03-31,1.3922
2010-04-30,1.3735
2010-05-31,0
2010-06-30,0.9128
2010-07-30,0.9724
2010-08-31,0.9664
2010-09-30,0.9687
2010-10-29,0.8091
2010-11-30,0.8104
2010-12-31,0.7823
2011-01-31,0.8876
2011-02-28,0.8501
2011-03-31,1.0586
2011-04-29,1.1701
2011-05-31,1.1288
2011-06-30,1.0553
2011-07-29,1.4064
2011-08-31,1.1304
2011-09-30,1.0672
2011-10-31,1.0946
2011-11-30,1.0935
2011-12-30,1.2026
2012-01-31,1.3039
2012-02-29,1.3961
2012-03-30,1.6386
2012-04-30,1.6711
2012-05-31,1.7520
2012-06-29,1.8920
