,ROCR_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,1.3457
2000-09-29,1.0000
2000-10-31,0.9428
2000-11-30,0.8648
2000-12-29,0.8362
2001-01-31,0.8764
2001-02-28,1.0098
2001-03-30,0.7579
2001-04-30,0.6091
2001-05-31,0.9253
2001-06-29,0.7531
2001-07-31,0.9009
2001-08-31,0.7224
2001-09-28,0.6657
2001-10-31,0.6350
2001-11-30,0.6601
2001-12-31,0.7347
2002-01-31,0.8419
2002-02-28,0.7213
2002-03-29,0
2002-04-30,0.7661
2002-05-31,0.8341
2002-06-28,0.7962
2002-07-31,0.5580
2002-08-30,0.7291
2002-09-30,0.6220
2002-10-31,0.8078
2002-11-29,0.9870
2002-12-31,0.9470
2003-01-31,0.8641
2003-02-28,1.0370
2003-03-31,1.0955
2003-04-30,1.4213
2003-05-30,1.9935
2003-06-30,1.8654
2003-07-31,1.7846
2003-08-29,1.2013
2003-09-30,1.1232
2003-10-31,1.1247
2003-11-28,1.1456
2003-12-31,1.1908
2004-01-30,1.0732
2004-02-27,1.1020
2004-03-31,0.9833
2004-04-30,1.0533
2004-05-31,0
2004-06-30,1.0558
2004-07-30,1.2732
2004-08-31,1.3225
2004-09-30,1.2839
2004-10-29,1.2996
2004-11-30,1.3723
2004-12-31,1.2874
2005-01-31,1.2516
2005-02-28,1.2134
2005-03-31,1.2433
2005-04-29,1.0760
2005-05-31,1.1721
2005-06-30,1.1057
2005-07-29,1.0436
2005-08-31,1.0154
2005-09-30,1.0487
2005-10-31,0.9486
2005-11-30,1.0204
2005-12-30,1.0312
2006-01-31,1.0547
2006-02-28,1.1062
2006-03-31,1.0697
2006-04-28,1.0450
2006-05-31,0.9897
2006-06-30,1.0201
2006-07-31,1.0708
2006-08-31,1.1573
2006-09-29,1.1665
2006-10-31,1.2825
2006-11-30,1.1999
2006-12-29,1.1220
2007-01-31,1.1715
2007-02-28,1.2044
2007-03-30,1.2733
2007-04-30,1.2927
2007-05-31,1.2728
2007-06-29,1.1803
2007-07-31,1.0572
2007-08-31,1.0943
2007-09-28,1.0686
2007-10-31,0.9737
2007-11-30,0.9056
2007-12-31,0.9381
2008-01-31,0.7814
2008-02-29,0.7260
2008-03-31,0.7328
2008-04-30,0.7372
2008-05-30,0.9253
2008-06-30,0.8968
2008-07-31,0.9121
2008-08-29,1.0419
2008-09-30,0.9905
2008-10-31,0.7464
2008-11-28,0.8022
2008-12-31,0.8641
2009-01-30,0.8389
2009-02-27,0.7335
2009-03-31,0.7084
2009-04-30,0.6915
2009-05-29,0.6373
2009-06-30,0.6462
2009-07-31,0.8223
2009-08-31,0.9601
2009-09-30,1.0121
2009-10-30,1.0306
2009-11-30,1.0825
2009-12-31,1.2622
2010-01-29,1.1491
2010-02-26,1.1359
2010-03-31,1.1877
2010-04-30,1.3144
2010-05-31,0
2010-06-30,1.1212
2010-07-30,1.1227
2010-08-31,1.1687
2010-09-30,1.1409
2010-10-29,1.2598
2010-11-30,1.3023
2010-12-31,1.3979
2011-01-31,1.2750
2011-02-28,1.1523
2011-03-31,1.1108
2011-04-29,1.2059
2011-05-31,1.2463
2011-06-30,1.1004
2011-07-29,0.9289
2011-08-31,0.8799
2011-09-30,0.7044
2011-10-31,0.7171
2011-11-30,0.6497
2011-12-30,0.6966
2012-01-31,0.5775
2012-02-29,0.5745
2012-03-30,0.5797
2012-04-30,0.5596
