,ROCR_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,1.3047
2000-09-29,1.2870
2000-10-31,1.3275
2000-11-30,1.3209
2000-12-29,1.4993
2001-01-31,1.4198
2001-02-28,1.3132
2001-03-30,1.1908
2001-04-30,1.2914
2001-05-31,1.3320
2001-06-29,1.3064
2001-07-31,1.5208
2001-08-31,1.2389
2001-09-28,1.2478
2001-10-31,1.2018
2001-11-30,1.2479
2001-12-31,1.3299
2002-01-31,1.5923
2002-02-28,1.5089
2002-03-29,0
2002-04-30,1.6604
2002-05-31,1.5725
2002-06-28,1.7757
2002-07-31,1.6642
2002-08-30,1.5630
2002-09-30,1.3067
2002-10-31,1.3496
2002-11-29,1.2251
2002-12-31,1.1734
2003-01-31,1.0903
2003-02-28,0.9933
2003-03-31,1.0442
2003-04-30,1.3600
2003-05-30,1.4265
2003-06-30,1.5060
2003-07-31,1.4958
2003-08-29,1.5917
2003-09-30,1.6640
2003-10-31,1.8232
2003-11-28,1.9550
2003-12-31,1.9330
2004-01-30,1.8268
2004-02-27,1.6366
2004-03-31,1.4641
2004-04-30,1.2591
2004-05-31,0
2004-06-30,1.1411
2004-07-30,1.0176
2004-08-31,0.9969
2004-09-30,1.0116
2004-10-29,1.0282
2004-11-30,1.0426
2004-12-31,0.9776
2005-01-31,1.0779
2005-02-28,1.1091
2005-03-31,1.0535
2005-04-29,1.0285
2005-05-31,1.0278
2005-06-30,1.0501
2005-07-29,1.0721
2005-08-31,1.0590
2005-09-30,0.9670
2005-10-31,1.0793
2005-11-30,1.1051
2005-12-30,1.0941
2006-01-31,1.2098
2006-02-28,1.2869
2006-03-31,1.2210
2006-04-28,1.1539
2006-05-31,1.1776
2006-06-30,1.1119
2006-07-31,1.1689
2006-08-31,1.1271
2006-09-29,1.1311
2006-10-31,1.1285
2006-11-30,1.0963
2006-12-29,1.0678
2007-01-31,1.0712
2007-02-28,0.9986
2007-03-30,1.0463
2007-04-30,1.0327
2007-05-31,1.0485
2007-06-29,0.9441
2007-07-31,0.9203
2007-08-31,1.0654
2007-09-28,1.1473
2007-10-31,1.1398
2007-11-30,1.1337
2007-12-31,1.1320
2008-01-31,1.2228
2008-02-29,1.2145
2008-03-31,1.3895
2008-04-30,1.6171
2008-05-30,1.3899
2008-06-30,1.1648
2008-07-31,1.2271
2008-08-29,1.2241
2008-09-30,1.2635
2008-10-31,1.3404
2008-11-28,1.0623
2008-12-31,0.9118
2009-01-30,0.6539
2009-02-27,0.5678
2009-03-31,0.7165
2009-04-30,0.8029
2009-05-29,0.7097
2009-06-30,0.7133
2009-07-31,0.9021
2009-08-31,0.7975
2009-09-30,0.9064
2009-10-30,1.0324
2009-11-30,1.1596
2009-12-31,1.1810
2010-01-29,1.0669
2010-02-26,1.0896
2010-03-31,1.1358
2010-04-30,0.9389
2010-05-31,0
2010-06-30,0.9776
2010-07-30,0.9761
2010-08-31,0.8945
2010-09-30,0.9619
2010-10-29,0.8623
2010-11-30,0.8776
2010-12-31,0.9389
2011-01-31,0.7906
2011-02-28,0.9055
2011-03-31,0.7616
2011-04-29,0.7762
2011-05-31,0.8177
2011-06-30,0.6899
2011-07-29,0.7130
2011-08-31,0.5466
2011-09-30,0.4741
2011-10-31,0.4894
2011-11-30,0.5084
2011-12-30,0.6663
2012-01-31,0.7175
2012-02-29,0.7666
2012-03-30,0.9428
2012-04-30,0.8857
