,ROCR_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,1.2747
2000-09-29,1.5293
2000-10-31,1.2546
2000-11-30,1.3738
2000-12-29,1.5802
2001-01-31,1.4302
2001-02-28,1.3369
2001-03-30,1.2965
2001-04-30,1.3318
2001-05-31,1.2252
2001-06-29,1.2167
2001-07-31,1.2975
2001-08-31,1.2606
2001-09-28,0.6544
2001-10-31,0.5638
2001-11-30,0.7115
2001-12-31,0.7953
2002-01-31,0.9072
2002-02-28,0.9042
2002-03-29,0
2002-04-30,0.9989
2002-05-31,0.8841
2002-06-28,0.9586
2002-07-31,1.4063
2002-08-30,1.3084
2002-09-30,1.0131
2002-10-31,0.8632
2002-11-29,0.8798
2002-12-31,0.7363
2003-01-31,0.6936
2003-02-28,0.6044
2003-03-31,0.6076
2003-04-30,0.7473
2003-05-30,0.9184
2003-06-30,0.9289
2003-07-31,1.2877
2003-08-29,1.1373
2003-09-30,1.2056
2003-10-31,1.2067
2003-11-28,1.5379
2003-12-31,1.8498
2004-01-30,1.7122
2004-02-27,1.4615
2004-03-31,1.4672
2004-04-30,1.2377
2004-05-31,0
2004-06-30,1.2996
2004-07-30,1.1509
2004-08-31,1.2866
2004-09-30,1.2985
2004-10-29,1.1987
2004-11-30,1.3119
2004-12-31,1.4527
2005-01-31,1.3354
2005-02-28,1.4100
2005-03-31,1.3574
2005-04-29,1.3238
2005-05-31,1.3808
2005-06-30,1.3144
2005-07-29,1.3006
2005-08-31,1.1084
2005-09-30,1.0453
2005-10-31,1.0205
2005-11-30,1.1383
2005-12-30,1.1626
2006-01-31,1.2410
2006-02-28,1.1855
2006-03-31,1.2585
2006-04-28,1.1823
2006-05-31,1.1358
2006-06-30,1.3138
2006-07-31,1.3060
2006-08-31,1.3822
2006-09-29,1.2664
2006-10-31,1.1998
2006-11-30,1.2977
2006-12-29,1.2047
2007-01-31,1.3481
2007-02-28,1.2954
2007-03-30,1.3429
2007-04-30,1.1682
2007-05-31,1.2667
2007-06-29,1.0490
2007-07-31,0.9630
2007-08-31,0.9650
2007-09-28,0.9424
2007-10-31,0.9022
2007-11-30,0.7031
2007-12-31,0.6723
2008-01-31,0.6371
2008-02-29,0.6830
2008-03-31,0.6902
2008-04-30,0.7251
2008-05-30,0.8410
2008-06-30,0.6618
2008-07-31,0.6056
2008-08-29,0.7666
2008-09-30,0.7662
2008-10-31,0.6799
2008-11-28,0.4635
2008-12-31,0.4870
2009-01-30,0.3273
2009-02-27,0.2104
2009-03-31,0.2613
2009-04-30,0.6774
2009-05-29,0.6774
2009-06-30,0.5552
2009-07-31,0.9538
2009-08-31,1.3518
2009-09-30,1.6354
2009-10-30,1.5946
2009-11-30,2.4628
2009-12-31,2.3981
2010-01-29,1.8548
2010-02-26,1.4210
2010-03-31,1.7917
2010-04-30,1.9652
2010-05-31,0
2010-06-30,1.2687
2010-07-30,1.3054
2010-08-31,1.2383
2010-09-30,1.3227
2010-10-29,1.2831
2010-11-30,1.4212
2010-12-31,1.3097
2011-01-31,1.2694
2011-02-28,1.1465
2011-03-31,1.1508
2011-04-29,1.2576
2011-05-31,1.2882
2011-06-30,1.1587
2011-07-29,0.9972
2011-08-31,0.7562
2011-09-30,0.6586
2011-10-31,0.7769
2011-11-30,0.7548
2011-12-30,0.8639
2012-01-31,0.9867
2012-02-29,0.9382
2012-03-30,1.0524
2012-04-30,1.0108
