,ROCR_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0.8738
2000-09-29,1.1409
2000-10-31,1.2845
2000-11-30,1.4625
2000-12-29,1.3717
2001-01-31,1.2847
2001-02-28,1.3245
2001-03-30,1.3219
2001-04-30,1.3614
2001-05-31,1.3359
2001-06-29,1.3827
2001-07-31,1.1726
2001-08-31,1.1133
2001-09-28,1.0921
2001-10-31,1.1046
2001-11-30,1.0412
2001-12-31,1.0529
2002-01-31,1.0651
2002-02-28,1.1694
2002-03-29,0
2002-04-30,1.1250
2002-05-31,1.1536
2002-06-28,0.9633
2002-07-31,1.3028
2002-08-30,1.1604
2002-09-30,0.9679
2002-10-31,0.9606
2002-11-29,0.9343
2002-12-31,1.0134
2003-01-31,0.9606
2003-02-28,0.9602
2003-03-31,0.9819
2003-04-30,1.0591
2003-05-30,0.9729
2003-06-30,0.9712
2003-07-31,1.1784
2003-08-29,1.1119
2003-09-30,1.1143
2003-10-31,1.1484
2003-11-28,1.2340
2003-12-31,1.2155
2004-01-30,1.1849
2004-02-27,1.2378
2004-03-31,1.1554
2004-04-30,1.2572
2004-05-31,0
2004-06-30,1.2955
2004-07-30,1.3056
2004-08-31,1.2632
2004-09-30,1.2330
2004-10-29,1.3422
2004-11-30,1.3370
2004-12-31,1.3445
2005-01-31,1.4049
2005-02-28,1.4456
2005-03-31,1.3303
2005-04-29,1.3898
2005-05-31,1.3672
2005-06-30,1.3037
2005-07-29,1.3986
2005-08-31,1.1549
2005-09-30,1.0063
2005-10-31,1.0478
2005-11-30,0.8836
2005-12-30,0.8958
2006-01-31,0.8457
2006-02-28,0.7835
2006-03-31,0.8198
2006-04-28,0.8894
2006-05-31,0.9411
2006-06-30,0.9690
2006-07-31,0.9974
2006-08-31,1.0134
2006-09-29,0.9221
2006-10-31,0.9743
2006-11-30,1.0324
2006-12-29,0.9623
2007-01-31,1.0219
2007-02-28,0.9983
2007-03-30,1.0260
2007-04-30,0.9831
2007-05-31,1.0241
2007-06-29,1.0059
2007-07-31,0.8806
2007-08-31,0.9007
2007-09-28,0.9441
2007-10-31,0.8633
2007-11-30,0.7848
2007-12-31,0.7510
2008-01-31,0.6761
2008-02-29,0.7317
2008-03-31,0.7523
2008-04-30,0.7560
2008-05-30,0.8705
2008-06-30,0.7375
2008-07-31,0.8319
2008-08-29,0.8856
2008-09-30,1.0478
2008-10-31,1.0239
2008-11-28,1.0440
2008-12-31,0.9782
2009-01-30,1.0617
2009-02-27,0.9354
2009-03-31,0.9298
2009-04-30,1.1084
2009-05-29,0.8917
2009-06-30,0.8990
2009-07-31,1.1820
2009-08-31,1.1627
2009-09-30,1.1170
2009-10-30,1.1244
2009-11-30,0.9913
2009-12-31,1.0415
2010-01-29,1.0398
2010-02-26,1.1498
2010-03-31,1.2714
2010-04-30,1.2692
2010-05-31,0
2010-06-30,1.2337
2010-07-30,1.2208
2010-08-31,1.2672
2010-09-30,1.3461
2010-10-29,1.3684
2010-11-30,1.2547
2010-12-31,1.1196
2011-01-31,1.0862
2011-02-28,1.1304
2011-03-31,1.1118
2011-04-29,1.1412
2011-05-31,1.2348
2011-06-30,1.2692
2011-07-29,1.1342
2011-08-31,1.2806
2011-09-30,1.2660
2011-10-31,1.1772
2011-11-30,1.1899
2011-12-30,1.1868
2012-01-31,1.0962
2012-02-29,1.0850
2012-03-30,1.1416
2012-04-30,1.1970
