,ROCR_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0.9997
2000-09-29,0.9813
2000-10-31,0.9512
2000-11-30,1.1814
2000-12-29,1.4283
2001-01-31,1.3900
2001-02-28,1.3234
2001-03-30,1.1916
2001-04-30,1.3552
2001-05-31,1.4904
2001-06-29,1.2878
2001-07-31,1.4201
2001-08-31,1.4015
2001-09-28,1.2638
2001-10-31,1.2955
2001-11-30,1.2053
2001-12-31,1.2301
2002-01-31,1.2779
2002-02-28,1.3424
2002-03-29,0
2002-04-30,1.5607
2002-05-31,1.5674
2002-06-28,1.5899
2002-07-31,1.2940
2002-08-30,1.3724
2002-09-30,1.2613
2002-10-31,1.3847
2002-11-29,1.1266
2002-12-31,0.9707
2003-01-31,0.8508
2003-02-28,0.8186
2003-03-31,0.7925
2003-04-30,0.9347
2003-05-30,0.9649
2003-06-30,0.9499
2003-07-31,1.0960
2003-08-29,1.0232
2003-09-30,1.0024
2003-10-31,1.1469
2003-11-28,1.2154
2003-12-31,1.3496
2004-01-30,1.2940
2004-02-27,1.2409
2004-03-31,1.1690
2004-04-30,1.2546
2004-05-31,0
2004-06-30,1.3288
2004-07-30,1.3198
2004-08-31,1.1744
2004-09-30,1.1679
2004-10-29,1.1276
2004-11-30,1.1160
2004-12-31,1.1385
2005-01-31,1.1091
2005-02-28,1.1472
2005-03-31,1.0690
2005-04-29,1.1135
2005-05-31,1.2630
2005-06-30,1.2312
2005-07-29,1.3626
2005-08-31,1.2953
2005-09-30,1.3734
2005-10-31,1.2410
2005-11-30,1.2321
2005-12-30,1.1406
2006-01-31,1.1924
2006-02-28,1.1537
2006-03-31,1.1925
2006-04-28,1.1189
2006-05-31,0.9752
2006-06-30,0.8832
2006-07-31,0.9359
2006-08-31,0.9883
2006-09-29,1.0460
2006-10-31,1.0615
2006-11-30,1.0310
2006-12-29,1.0445
2007-01-31,1.1062
2007-02-28,1.0538
2007-03-30,1.2664
2007-04-30,1.3185
2007-05-31,1.4033
2007-06-29,1.4405
2007-07-31,1.1978
2007-08-31,1.2713
2007-09-28,1.2898
2007-10-31,1.1342
2007-11-30,1.0716
2007-12-31,1.1177
2008-01-31,0.9780
2008-02-29,0.8557
2008-03-31,0.7665
2008-04-30,0.9071
2008-05-30,1.0782
2008-06-30,0.9865
2008-07-31,1.0034
2008-08-29,1.0099
2008-09-30,0.8751
2008-10-31,0.7979
2008-11-28,0.7280
2008-12-31,0.8468
2009-01-30,0.7945
2009-02-27,0.5660
2009-03-31,0.6118
2009-04-30,0.6993
2009-05-29,0.6281
2009-06-30,0.7381
2009-07-31,1.0858
2009-08-31,1.3100
2009-09-30,1.2469
2009-10-30,1.1015
2009-11-30,1.2198
2009-12-31,1.2901
2010-01-29,1.2218
2010-02-26,1.2595
2010-03-31,1.1959
2010-04-30,1.2768
2010-05-31,0
2010-06-30,0.8910
2010-07-30,0.9004
2010-08-31,0.8243
2010-09-30,0.9060
2010-10-29,0.9327
2010-11-30,0.9494
2010-12-31,0.9916
2011-01-31,1.0716
2011-02-28,1.1272
2011-03-31,1.2630
2011-04-29,1.2462
2011-05-31,1.3203
2011-06-30,1.3056
2011-07-29,1.1294
2011-08-31,1.0193
2011-09-30,0.8497
2011-10-31,0.7779
2011-11-30,0.3462
2011-12-30,0.3480
2012-01-31,0.3807
2012-02-29,0.4406
2012-03-30,0.4167
2012-04-30,0.4019
