,ROCR_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,3.9050
2000-09-29,4.1380
2000-10-31,3.2828
2000-11-30,1.1302
2000-12-29,1.0641
2001-01-31,1.3397
2001-02-28,0.7902
2001-03-30,0.3350
2001-04-30,0.3483
2001-05-31,0.2502
2001-06-29,0.1566
2001-07-31,0.1287
2001-08-31,0.0761
2001-09-28,0.0691
2001-10-31,0.1860
2001-11-30,0.2930
2001-12-31,0.3814
2002-01-31,0.3786
2002-02-28,0.1582
2002-03-29,0
2002-04-30,0.3604
2002-05-31,0.3950
2002-06-28,0.4449
2002-07-31,0.3799
2002-08-30,0.3044
2002-09-30,0.2006
2002-10-31,0.3437
2002-11-29,0.8919
2002-12-31,0.5996
2003-01-31,0.7073
2003-02-28,0.9072
2003-03-31,1.1331
2003-04-30,1.2706
2003-05-30,1.9153
2003-06-30,1.7840
2003-07-31,3.0572
2003-08-29,2.6933
2003-09-30,1.8315
2003-10-31,1.9502
2003-11-28,2.2464
2003-12-31,2.0195
2004-01-30,2.8888
2004-02-27,2.0679
2004-03-31,1.9760
2004-04-30,1.4966
2004-05-31,0
2004-06-30,1.4302
2004-07-30,1.3045
2004-08-31,1.2306
2004-09-30,1.3486
2004-10-29,1.1728
2004-11-30,1.0341
2004-12-31,1.0696
2005-01-31,0.9658
2005-02-28,0.9685
2005-03-31,1.0621
2005-04-29,0.9308
2005-05-31,1.2642
2005-06-30,1.0418
2005-07-29,0.9720
2005-08-31,0.7899
2005-09-30,0.8623
2005-10-31,0.8771
2005-11-30,0.9707
2005-12-30,1.0206
2006-01-31,0.9180
2006-02-28,0.7776
2006-03-31,0.7510
2006-04-28,0.7064
2006-05-31,0.6756
2006-06-30,0.6801
2006-07-31,0.6288
2006-08-31,0.6222
2006-09-29,0.7763
2006-10-31,0.7932
2006-11-30,1.1129
2006-12-29,0.9683
2007-01-31,0.9389
2007-02-28,1.1007
2007-03-30,1.2231
2007-04-30,1.5474
2007-05-31,2.0008
2007-06-29,1.7323
2007-07-31,1.7844
2007-08-31,1.7048
2007-09-28,1.7999
2007-10-31,1.7910
2007-11-30,1.4965
2007-12-31,1.8434
2008-01-31,1.3003
2008-02-29,1.1393
2008-03-31,0.9846
2008-04-30,1.0245
2008-05-30,0.8706
2008-06-30,0.6149
2008-07-31,0.7098
2008-08-29,0.8235
2008-09-30,0.6356
2008-10-31,0.7045
2008-11-28,0.6483
2008-12-31,0.6872
2009-01-30,0.5997
2009-02-27,0.5207
2009-03-31,0.6222
2009-04-30,0.9872
2009-05-29,0.9548
2009-06-30,0.9144
2009-07-31,1.4672
2009-08-31,1.5228
2009-09-30,1.5475
2009-10-30,1.5602
2009-11-30,1.6957
2009-12-31,1.7151
2010-01-29,1.3517
2010-02-26,1.2876
2010-03-31,1.2956
2010-04-30,1.1278
2010-05-31,0
2010-06-30,0.8631
2010-07-30,1.0161
2010-08-31,1.1012
2010-09-30,1.1354
2010-10-29,1.2297
2010-11-30,1.3367
2010-12-31,1.2205
2011-01-31,1.1894
2011-02-28,1.5697
2011-03-31,1.6725
2011-04-29,1.4270
2011-05-31,1.4284
2011-06-30,1.0678
2011-07-29,0.7393
2011-08-31,0.6095
2011-09-30,0.4804
2011-10-31,0.6318
2011-11-30,0.5116
2011-12-30,0.4993
2012-01-31,0.5438
2012-02-29,0.5743
2012-03-30,0.7790
2012-04-30,0.7059
