,ROCR_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,1.1201
2000-09-29,0.9966
2000-10-31,0.5180
2000-11-30,0.2419
2000-12-29,0.2923
2001-01-31,0.5545
2001-02-28,0.3330
2001-03-30,0.2149
2001-04-30,0.1564
2001-05-31,0.1808
2001-06-29,0.0705
2001-07-31,0.0815
2001-08-31,0.1107
2001-09-28,0.1217
2001-10-31,0.0771
2001-11-30,0.1638
2001-12-31,0.2547
2002-01-31,0.2230
2002-02-28,0.1911
2002-03-29,0
2002-04-30,0.8831
2002-05-31,1.0490
2002-06-28,0.9395
2002-07-31,2.4014
2002-08-30,0.9435
2002-09-30,0.5704
2002-10-31,1.1780
2002-11-29,2.4898
2002-12-31,1.3425
2003-01-31,1.1348
2003-02-28,1.1126
2003-03-31,1.2900
2003-04-30,1.0459
2003-05-30,1.2301
2003-06-30,1.4889
2003-07-31,0.9785
2003-08-29,0.9940
2003-09-30,1.0927
2003-10-31,1.0286
2003-11-28,1.0960
2003-12-31,1.1515
2004-01-30,0.9868
2004-02-27,0.7003
2004-03-31,0.6061
2004-04-30,0.5228
2004-05-31,0
2004-06-30,0.7222
2004-07-30,0.5717
2004-08-31,0.4654
2004-09-30,0.4744
2004-10-29,0.4974
2004-11-30,0.7188
2004-12-31,0.8454
2005-01-31,0.7098
2005-02-28,0.7741
2005-03-31,0.5754
2005-04-29,0.5934
2005-05-31,0.8189
2005-06-30,0.7199
2005-07-29,0.6426
2005-08-31,0.6156
2005-09-30,0.6784
2005-10-31,1.0397
2005-11-30,1.6505
2005-12-30,1.2756
2006-01-31,1.8293
2006-02-28,2.0732
2006-03-31,2.1949
2006-04-28,2.3894
2006-05-31,2.5357
2006-06-30,2.1659
2006-07-31,1.8756
2006-08-31,1.1973
2006-09-29,1.7166
2006-10-31,1.5886
2006-11-30,1.5988
2006-12-29,1.6568
2007-01-31,1.2836
2007-02-28,1.2635
2007-03-30,1.4878
2007-04-30,1.3333
2007-05-31,1.5577
2007-06-29,1.2885
2007-07-31,1.0235
2007-08-31,0.9579
2007-09-28,0.7815
2007-10-31,0.4856
2007-11-30,0.5275
2007-12-31,0.4919
2008-01-31,0.5714
2008-02-29,0.4176
2008-03-31,0.3933
2008-04-30,0.4821
2008-05-30,0.6765
2008-06-30,0.6441
2008-07-31,0.7798
2008-08-29,1.1246
2008-09-30,0.8182
2008-10-31,0.3431
2008-11-28,0.3548
2008-12-31,0.3571
2009-01-30,0.4695
2009-02-27,0.2556
2009-03-31,0.2415
2009-04-30,0.4043
2009-05-29,0.3156
2009-06-30,0.4390
2009-07-31,0.7885
2009-08-31,1.5385
2009-09-30,1.8533
2009-10-30,1.0351
2009-11-30,1.3889
2009-12-31,2.2839
2010-01-29,1.3627
2010-02-26,1.3826
2010-03-31,1.0872
2010-04-30,1.0199
2010-05-31,0
2010-06-30,0.7842
2010-07-30,0.8014
2010-08-31,0.8240
2010-09-30,0.6464
2010-10-29,0.6674
2010-11-30,0.7614
2010-12-31,0.5600
2011-01-31,0.7365
2011-02-28,1.0687
2011-03-31,1.1395
2011-04-29,1.4182
2011-05-31,2.0446
2011-06-30,2.3575
2011-07-29,2.4563
2011-08-31,1.5755
2011-09-30,1.5851
2011-10-31,1.4010
2011-11-30,1.0529
2011-12-30,0.8919
2012-01-31,0.7148
2012-02-29,0.8575
2012-03-30,0.7850
2012-04-30,0.6626
