,ROCR_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0.7497
2000-09-29,0.9391
2000-10-31,1.0458
2000-11-30,1.1712
2000-12-29,1.4047
2001-01-31,1.3560
2001-02-28,1.6023
2001-03-30,1.2590
2001-04-30,1.2178
2001-05-31,1.6416
2001-06-29,1.7917
2001-07-31,1.5827
2001-08-31,1.3084
2001-09-28,1.1414
2001-10-31,1.2413
2001-11-30,1.1359
2001-12-31,0.9362
2002-01-31,1.0769
2002-02-28,1.1586
2002-03-29,0
2002-04-30,1.1427
2002-05-31,1.2169
2002-06-28,1.1431
2002-07-31,1.0710
2002-08-30,1.0032
2002-09-30,1.0233
2002-10-31,1.0200
2002-11-29,1.1421
2002-12-31,0.9580
2003-01-31,1.0075
2003-02-28,1.0767
2003-03-31,1.0741
2003-04-30,1.1495
2003-05-30,1.1612
2003-06-30,0.9436
2003-07-31,1.2174
2003-08-29,1.0413
2003-09-30,0.9442
2003-10-31,0.9584
2003-11-28,0.9873
2003-12-31,0.8938
2004-01-30,0.8557
2004-02-27,0.8485
2004-03-31,0.8917
2004-04-30,0.8538
2004-05-31,0
2004-06-30,0.9405
2004-07-30,0.8687
2004-08-31,0.8267
2004-09-30,0.9404
2004-10-29,0.9139
2004-11-30,1.0096
2004-12-31,1.0790
2005-01-31,1.0705
2005-02-28,1.2494
2005-03-31,1.2251
2005-04-29,1.0850
2005-05-31,1.0826
2005-06-30,1.0419
2005-07-29,1.0672
2005-08-31,0.9740
2005-09-30,0.8751
2005-10-31,0.7706
2005-11-30,0.8253
2005-12-30,0.7984
2006-01-31,0.9103
2006-02-28,0.9616
2006-03-31,1.0133
2006-04-28,0.8893
2006-05-31,0.9722
2006-06-30,0.9375
2006-07-31,1.1484
2006-08-31,1.2717
2006-09-29,1.1768
2006-10-31,1.5087
2006-11-30,1.3011
2006-12-29,1.3660
2007-01-31,1.4582
2007-02-28,1.6686
2007-03-30,1.7173
2007-04-30,1.8110
2007-05-31,1.5934
2007-06-29,1.3492
2007-07-31,1.1529
2007-08-31,0.9620
2007-09-28,1.0678
2007-10-31,0.8954
2007-11-30,0.7761
2007-12-31,0.7129
2008-01-31,0.7702
2008-02-29,0.6924
2008-03-31,0.7965
2008-04-30,0.7152
2008-05-30,0.9085
2008-06-30,0.7922
2008-07-31,0.9361
2008-08-29,0.9464
2008-09-30,0.8887
2008-10-31,0.8631
2008-11-28,0.6479
2008-12-31,0.8417
2009-01-30,0.7199
2009-02-27,0.6304
2009-03-31,0.5985
2009-04-30,0.9149
2009-05-29,0.7684
2009-06-30,0.8748
2009-07-31,1.2570
2009-08-31,1.3580
2009-09-30,1.2644
2009-10-30,1.2166
2009-11-30,1.6538
2009-12-31,1.7720
2010-01-29,1.6240
2010-02-26,1.5376
2010-03-31,1.4935
2010-04-30,1.4673
2010-05-31,0
2010-06-30,1.1998
2010-07-30,1.1636
2010-08-31,1.0666
2010-09-30,1.1748
2010-10-29,1.1392
2010-11-30,1.2160
2010-12-31,1.1346
2011-01-31,1.0255
2011-02-28,1.1798
2011-03-31,1.1498
2011-04-29,1.2104
2011-05-31,1.2760
2011-06-30,1.3049
2011-07-29,1.1535
2011-08-31,1.2095
2011-09-30,1.0517
2011-10-31,1.2108
2011-11-30,1.1785
2011-12-30,1.1615
2012-01-31,1.2356
2012-02-29,1.2657
2012-03-30,1.3486
2012-04-30,1.2879
