,ROCR_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0.8957
2000-09-29,1.0270
2000-10-31,1.2411
2000-11-30,1.3792
2000-12-29,1.1960
2001-01-31,1.0970
2001-02-28,1.1696
2001-03-30,1.2793
2001-04-30,1.1950
2001-05-31,1.3780
2001-06-29,1.4931
2001-07-31,1.4066
2001-08-31,1.4655
2001-09-28,1.3158
2001-10-31,1.2097
2001-11-30,1.1498
2001-12-31,1.0601
2002-01-31,1.0574
2002-02-28,1.2744
2002-03-29,0
2002-04-30,1.1932
2002-05-31,1.2532
2002-06-28,1.1385
2002-07-31,1.0198
2002-08-30,1.0846
2002-09-30,1.1199
2002-10-31,1.0540
2002-11-29,1.0451
2002-12-31,0.9605
2003-01-31,0.8646
2003-02-28,0.8979
2003-03-31,0.9679
2003-04-30,1.0594
2003-05-30,1.2350
2003-06-30,1.2426
2003-07-31,1.0735
2003-08-29,1.1724
2003-09-30,1.1656
2003-10-31,1.3083
2003-11-28,1.3021
2003-12-31,1.2479
2004-01-30,1.2097
2004-02-27,1.2154
2004-03-31,1.2400
2004-04-30,1.3574
2004-05-31,0
2004-06-30,1.2812
2004-07-30,1.2255
2004-08-31,1.1588
2004-09-30,1.1721
2004-10-29,1.2175
2004-11-30,1.2032
2004-12-31,1.2449
2005-01-31,1.1473
2005-02-28,1.1100
2005-03-31,1.0005
2005-04-29,0.9833
2005-05-31,1.0628
2005-06-30,0.9575
2005-07-29,1.0174
2005-08-31,0.9242
2005-09-30,0.8683
2005-10-31,0.8081
2005-11-30,0.8286
2005-12-30,0.8520
2006-01-31,0.8950
2006-02-28,0.9850
2006-03-31,1.0372
2006-04-28,1.0791
2006-05-31,1.0361
2006-06-30,1.1252
2006-07-31,1.1484
2006-08-31,1.1960
2006-09-29,1.2854
2006-10-31,1.2380
2006-11-30,1.2238
2006-12-29,1.1485
2007-01-31,1.1811
2007-02-28,1.1200
2007-03-30,1.1913
2007-04-30,1.0860
2007-05-31,1.0619
2007-06-29,1.0544
2007-07-31,0.9432
2007-08-31,0.9618
2007-09-28,0.9321
2007-10-31,0.9362
2007-11-30,0.9922
2007-12-31,1.0294
2008-01-31,0.8879
2008-02-29,0.9411
2008-03-31,0.9981
2008-04-30,1.0422
2008-05-30,1.0725
2008-06-30,1.0197
2008-07-31,1.1550
2008-08-29,1.1507
2008-09-30,1.0291
2008-10-31,0.9570
2008-11-28,0.8786
2008-12-31,0.9162
2009-01-30,0.8712
2009-02-27,0.8566
2009-03-31,0.7937
2009-04-30,0.7929
2009-05-29,0.7485
2009-06-30,0.7995
2009-07-31,0.9230
2009-08-31,1.1069
2009-09-30,1.1885
2009-10-30,1.1879
2009-11-30,1.1413
2009-12-31,1.1521
2010-01-29,1.2998
2010-02-26,1.2039
2010-03-31,1.2480
2010-04-30,1.2145
2010-05-31,0
2010-06-30,1.1527
2010-07-30,1.1905
2010-08-31,1.1371
2010-09-30,1.1847
2010-10-29,1.1972
2010-11-30,1.2273
2010-12-31,1.2290
2011-01-31,1.1659
2011-02-28,1.2289
2011-03-31,1.2121
2011-04-29,1.2828
2011-05-31,1.2857
2011-06-30,1.2326
2011-07-29,1.1649
2011-08-31,1.1101
2011-09-30,1.0035
2011-10-31,1.0755
2011-11-30,1.0850
2011-12-30,1.0774
2012-01-31,1.0777
2012-02-29,1.0335
2012-03-30,1.1317
2012-04-30,1.1546
