,ROCR_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0.6854
2000-09-29,0.6502
2000-10-31,1.2739
2000-11-30,1.4461
2000-12-29,1.7977
2001-01-31,1.7388
2001-02-28,1.3775
2001-03-30,1.4770
2001-04-30,1.6310
2001-05-31,1.5697
2001-06-29,1.9712
2001-07-31,2.4169
2001-08-31,1.7450
2001-09-28,1.6371
2001-10-31,1.1192
2001-11-30,1.6770
2001-12-31,1.9778
2002-01-31,1.6063
2002-02-28,1.4470
2002-03-29,0
2002-04-30,1.1510
2002-05-31,0.9988
2002-06-28,0.8825
2002-07-31,0.9536
2002-08-30,0.9591
2002-09-30,0.8281
2002-10-31,0.9006
2002-11-29,0.7936
2002-12-31,0.7940
2003-01-31,0.8769
2003-02-28,0.7951
2003-03-31,0.8775
2003-04-30,1.0930
2003-05-30,1.1184
2003-06-30,1.0818
2003-07-31,1.3551
2003-08-29,1.4922
2003-09-30,1.3992
2003-10-31,1.7050
2003-11-28,1.8480
2003-12-31,1.4022
2004-01-30,1.3642
2004-02-27,1.3217
2004-03-31,1.1397
2004-04-30,1.2188
2004-05-31,0
2004-06-30,1.2102
2004-07-30,1.0251
2004-08-31,0.9121
2004-09-30,0.9480
2004-10-29,1.1278
2004-11-30,1.1068
2004-12-31,1.1262
2005-01-31,1.1476
2005-02-28,1.2033
2005-03-31,1.1026
2005-04-29,1.2456
2005-05-31,1.4992
2005-06-30,1.4753
2005-07-29,1.6961
2005-08-31,1.2281
2005-09-30,1.2971
2005-10-31,1.2237
2005-11-30,1.2952
2005-12-30,1.2894
2006-01-31,1.4011
2006-02-28,1.2216
2006-03-31,1.2395
2006-04-28,1.1388
2006-05-31,1.0613
2006-06-30,1.0748
2006-07-31,1.0771
2006-08-31,0.9703
2006-09-29,1.0349
2006-10-31,1.0225
2006-11-30,0.9296
2006-12-29,0.8970
2007-01-31,0.9892
2007-02-28,1.0217
2007-03-30,1.0733
2007-04-30,1.2289
2007-05-31,1.3335
2007-06-29,1.1655
2007-07-31,0.9890
2007-08-31,1.0859
2007-09-28,1.0385
2007-10-31,1.0123
2007-11-30,0.9467
2007-12-31,1.0166
2008-01-31,0.8723
2008-02-29,0.7663
2008-03-31,0.7777
2008-04-30,0.8223
2008-05-30,0.7827
2008-06-30,0.6607
2008-07-31,0.7527
2008-08-29,0.9032
2008-09-30,0.8545
2008-10-31,1.0857
2008-11-28,0.9084
2008-12-31,1.0828
2009-01-30,1.0506
2009-02-27,1.1660
2009-03-31,1.3665
2009-04-30,1.7259
2009-05-29,1.2483
2009-06-30,1.3282
2009-07-31,1.7571
2009-08-31,1.6658
2009-09-30,1.2658
2009-10-30,1.3173
2009-11-30,1.3555
2009-12-31,1.0891
2010-01-29,1.0311
2010-02-26,1.0889
2010-03-31,1.1693
2010-04-30,1.1955
2010-05-31,0
2010-06-30,1.2966
2010-07-30,1.4251
2010-08-31,1.2025
2010-09-30,1.4030
2010-10-29,1.5081
2010-11-30,1.5102
2010-12-31,1.4417
2011-01-31,1.3040
2011-02-28,1.1562
2011-03-31,1.1351
2011-04-29,1.2223
2011-05-31,1.2833
2011-06-30,1.2715
2011-07-29,1.1260
2011-08-31,1.0937
2011-09-30,1.0745
2011-10-31,1.3270
2011-11-30,1.3386
2011-12-30,1.4416
2012-01-31,1.4597
2012-02-29,1.4204
2012-03-30,1.5233
2012-04-30,1.6565
