,ROCR_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0.9189
2000-09-29,1.0757
2000-10-31,1.8491
2000-11-30,1.8014
2000-12-29,1.6475
2001-01-31,1.8120
2001-02-28,1.3696
2001-03-30,1.2625
2001-04-30,1.4653
2001-05-31,1.0586
2001-06-29,1.0572
2001-07-31,0.9323
2001-08-31,0.7907
2001-09-28,1.1847
2001-10-31,1.0043
2001-11-30,1.0003
2001-12-31,1.1104
2002-01-31,1.2647
2002-02-28,1.3550
2002-03-29,0
2002-04-30,1.6639
2002-05-31,1.5933
2002-06-28,1.5962
2002-07-31,0.9816
2002-08-30,1.1388
2002-09-30,0.9281
2002-10-31,0.9378
2002-11-29,0.7836
2002-12-31,0.7675
2003-01-31,0.8057
2003-02-28,0.6131
2003-03-31,0.6683
2003-04-30,0.8936
2003-05-30,0.9801
2003-06-30,0.9395
2003-07-31,1.0893
2003-08-29,1.1162
2003-09-30,0.9887
2003-10-31,0.8957
2003-11-28,0.9933
2003-12-31,1.0956
2004-01-30,1.1098
2004-02-27,0.9791
2004-03-31,0.9958
2004-04-30,1.0020
2004-05-31,0
2004-06-30,1.1804
2004-07-30,1.2737
2004-08-31,1.3432
2004-09-30,1.3821
2004-10-29,1.2354
2004-11-30,1.3338
2004-12-31,1.3634
2005-01-31,1.2315
2005-02-28,1.2061
2005-03-31,1.1461
2005-04-29,1.1466
2005-05-31,1.1700
2005-06-30,1.0982
2005-07-29,1.1130
2005-08-31,1.0304
2005-09-30,0.9947
2005-10-31,1.0225
2005-11-30,1.0258
2005-12-30,1.0645
2006-01-31,1.1314
2006-02-28,1.1318
2006-03-31,1.1918
2006-04-28,1.1338
2006-05-31,1.1796
2006-06-30,1.1816
2006-07-31,1.2591
2006-08-31,1.2757
2006-09-29,1.2306
2006-10-31,1.2590
2006-11-30,1.1976
2006-12-29,1.1833
2007-01-31,1.2057
2007-02-28,1.1592
2007-03-30,1.2458
2007-04-30,1.2374
2007-05-31,1.2531
2007-06-29,1.1634
2007-07-31,1.1320
2007-08-31,1.2634
2007-09-28,1.2406
2007-10-31,1.2476
2007-11-30,1.1339
2007-12-31,1.1649
2008-01-31,1.2002
2008-02-29,1.2161
2008-03-31,1.1700
2008-04-30,1.2013
2008-05-30,1.1653
2008-06-30,0.9142
2008-07-31,0.8882
2008-08-29,0.9844
2008-09-30,0.8644
2008-10-31,0.8391
2008-11-28,0.7468
2008-12-31,0.8068
2009-01-30,0.7832
2009-02-27,0.6294
2009-03-31,0.6815
2009-04-30,0.8136
2009-05-29,0.7450
2009-06-30,0.7446
2009-07-31,0.9729
2009-08-31,1.0020
2009-09-30,0.9640
2009-10-30,0.8906
2009-11-30,1.1269
2009-12-31,1.4581
2010-01-29,1.2670
2010-02-26,1.1984
2010-03-31,1.3022
2010-04-30,1.3347
2010-05-31,0
2010-06-30,1.0693
2010-07-30,1.0272
2010-08-31,0.9230
2010-09-30,0.8729
2010-10-29,0.8667
2010-11-30,0.8682
2010-12-31,0.8340
2011-01-31,0.8783
2011-02-28,0.9229
2011-03-31,0.9862
2011-04-29,1.0154
2011-05-31,1.1545
2011-06-30,1.1150
2011-07-29,0.9997
2011-08-31,0.9525
2011-09-30,0.9342
2011-10-31,0.9041
2011-11-30,0.9226
2011-12-30,1.0052
2012-01-31,1.0235
2012-02-29,1.0564
2012-03-30,1.1226
2012-04-30,1.1982
