,ROCR_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,1.5112
2000-09-29,1.8384
2000-10-31,1.6376
2000-11-30,1.6341
2000-12-29,1.4563
2001-01-31,1.3015
2001-02-28,0.9160
2001-03-30,0.8737
2001-04-30,0.9906
2001-05-31,0.9777
2001-06-29,0.8103
2001-07-31,1.0098
2001-08-31,0.7758
2001-09-28,0.7072
2001-10-31,0.8113
2001-11-30,0.9756
2001-12-31,1.1292
2002-01-31,1.1616
2002-02-28,0.9833
2002-03-29,0
2002-04-30,1.0138
2002-05-31,0.8905
2002-06-28,1.0024
2002-07-31,0.9705
2002-08-30,0.8585
2002-09-30,0.7380
2002-10-31,0.7611
2002-11-29,0.8762
2002-12-31,0.6953
2003-01-31,0.7277
2003-02-28,0.7980
2003-03-31,0.7386
2003-04-30,0.8503
2003-05-30,0.9193
2003-06-30,1.0002
2003-07-31,1.2427
2003-08-29,1.0635
2003-09-30,1.1050
2003-10-31,1.3113
2003-11-28,1.4178
2003-12-31,1.4233
2004-01-30,1.6141
2004-02-27,1.4527
2004-03-31,1.2952
2004-04-30,1.0899
2004-05-31,0
2004-06-30,1.1124
2004-07-30,0.8676
2004-08-31,0.9046
2004-09-30,0.8638
2004-10-29,0.8158
2004-11-30,0.8284
2004-12-31,0.9312
2005-01-31,0.9176
2005-02-28,0.9469
2005-03-31,0.9277
2005-04-29,1.0661
2005-05-31,1.1330
2005-06-30,1.0873
2005-07-29,1.2069
2005-08-31,1.0683
2005-09-30,1.0302
2005-10-31,1.1965
2005-11-30,1.2862
2005-12-30,1.2538
2006-01-31,1.5023
2006-02-28,1.3696
2006-03-31,1.2412
2006-04-28,1.3104
2006-05-31,1.3044
2006-06-30,1.2050
2006-07-31,1.2418
2006-08-31,1.0955
2006-09-29,1.0689
2006-10-31,1.1425
2006-11-30,1.0326
2006-12-29,1.0943
2007-01-31,1.2119
2007-02-28,1.0320
2007-03-30,1.1395
2007-04-30,1.2396
2007-05-31,1.1317
2007-06-29,1.1070
2007-07-31,1.0565
2007-08-31,0.9746
2007-09-28,1.0653
2007-10-31,1.1177
2007-11-30,1.1427
2007-12-31,1.2997
2008-01-31,1.2063
2008-02-29,1.1838
2008-03-31,1.1633
2008-04-30,1.0341
2008-05-30,1.1139
2008-06-30,1.0211
2008-07-31,1.0492
2008-08-29,0.8711
2008-09-30,0.7284
2008-10-31,0.5850
2008-11-28,0.5200
2008-12-31,0.4930
2009-01-30,0.3415
2009-02-27,0.3623
2009-03-31,0.4477
2009-04-30,0.5792
2009-05-29,0.6878
2009-06-30,0.6665
2009-07-31,0.8935
2009-08-31,1.3402
2009-09-30,1.4226
2009-10-30,1.1056
2009-11-30,1.5308
2009-12-31,1.5003
2010-01-29,1.2022
2010-02-26,1.1703
2010-03-31,0.9764
2010-04-30,0.9158
2010-05-31,0
2010-06-30,0.6351
2010-07-30,0.7280
2010-08-31,0.8634
2010-09-30,0.9441
2010-10-29,0.9544
2010-11-30,0.9508
2010-12-31,1.0032
2011-01-31,1.0055
2011-02-28,1.0679
2011-03-31,1.1836
2011-04-29,1.2357
2011-05-31,1.2332
2011-06-30,1.1705
2011-07-29,1.0411
2011-08-31,0.8163
2011-09-30,0.7187
2011-10-31,0.8189
2011-11-30,0.8793
2011-12-30,0.9455
2012-01-31,0.8798
2012-02-29,0.9400
2012-03-30,1.0869
2012-04-30,1.0617
