,ROCR_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0.9320
2000-09-29,1.1585
2000-10-31,0.9330
2000-11-30,0.9412
2000-12-29,1.1823
2001-01-31,1.3671
2001-02-28,1.1961
2001-03-30,1.3349
2001-04-30,1.2699
2001-05-31,1.6874
2001-06-29,1.5029
2001-07-31,1.7348
2001-08-31,1.6485
2001-09-28,1.7070
2001-10-31,1.4000
2001-11-30,1.1816
2001-12-31,1.2395
2002-01-31,1.3490
2002-02-28,1.5901
2002-03-29,0
2002-04-30,1.4398
2002-05-31,1.3574
2002-06-28,1.6516
2002-07-31,1.3318
2002-08-30,1.4396
2002-09-30,1.1623
2002-10-31,1.0783
2002-11-29,0.9679
2002-12-31,0.8829
2003-01-31,0.8874
2003-02-28,0.8573
2003-03-31,0.7990
2003-04-30,0.9749
2003-05-30,0.9147
2003-06-30,1.0998
2003-07-31,1.1795
2003-08-29,1.2360
2003-09-30,1.2892
2003-10-31,1.2665
2003-11-28,1.4149
2003-12-31,1.4194
2004-01-30,1.3025
2004-02-27,1.1771
2004-03-31,1.0372
2004-04-30,1.1428
2004-05-31,0
2004-06-30,1.2364
2004-07-30,1.2522
2004-08-31,1.1585
2004-09-30,1.2033
2004-10-29,1.2015
2004-11-30,1.2567
2004-12-31,1.4107
2005-01-31,1.5995
2005-02-28,1.5777
2005-03-31,1.4133
2005-04-29,1.3358
2005-05-31,1.5238
2005-06-30,1.6164
2005-07-29,1.4451
2005-08-31,1.2703
2005-09-30,1.1111
2005-10-31,0.9519
2005-11-30,0.8368
2005-12-30,1.0137
2006-01-31,0.9609
2006-02-28,0.9819
2006-03-31,0.9043
2006-04-28,0.8500
2006-05-31,0.9001
2006-06-30,0.8925
2006-07-31,1.0756
2006-08-31,1.1371
2006-09-29,1.1512
2006-10-31,1.0508
2006-11-30,1.0363
2006-12-29,1.0857
2007-01-31,1.0465
2007-02-28,0.9654
2007-03-30,0.8716
2007-04-30,0.8939
2007-05-31,0.9586
2007-06-29,0.8712
2007-07-31,0.7946
2007-08-31,0.8623
2007-09-28,0.8591
2007-10-31,1.0129
2007-11-30,0.9612
2007-12-31,1.2268
2008-01-31,0.9627
2008-02-29,0.8058
2008-03-31,0.7384
2008-04-30,0.7934
2008-05-30,0.9174
2008-06-30,0.8306
2008-07-31,0.8482
2008-08-29,0.9150
2008-09-30,0.8824
2008-10-31,0.5952
2008-11-28,0.6227
2008-12-31,0.8393
2009-01-30,0.7798
2009-02-27,0.6208
2009-03-31,0.5965
2009-04-30,0.5459
2009-05-29,0.5189
2009-06-30,0.5579
2009-07-31,0.8522
2009-08-31,1.3694
2009-09-30,1.0427
2009-10-30,1.0582
2009-11-30,1.1399
2009-12-31,1.1933
2010-01-29,1.4118
2010-02-26,1.2409
2010-03-31,1.2636
2010-04-30,1.4000
2010-05-31,0
2010-06-30,1.0303
2010-07-30,1.0209
2010-08-31,1.0091
2010-09-30,1.1001
2010-10-29,1.2082
2010-11-30,1.3203
2010-12-31,1.3681
2011-01-31,1.1293
2011-02-28,1.1264
2011-03-31,1.2188
2011-04-29,1.3594
2011-05-31,1.3150
2011-06-30,1.1763
2011-07-29,1.0687
2011-08-31,0.9734
2011-09-30,0.8204
2011-10-31,1.0466
2011-11-30,0.9553
2011-12-30,1.1314
2012-01-31,0.9570
2012-02-29,0.9617
2012-03-30,1.1201
2012-04-30,1.0485
