,ROCR_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,1.5930
2000-09-29,1.6786
2000-10-31,1.1707
2000-11-30,0.7222
2000-12-29,0.3197
2001-01-31,0.8800
2001-02-28,0.7165
2001-03-30,1.1200
2001-04-30,0.9458
2001-05-31,1.1493
2001-06-29,0.7802
2001-07-31,0.6686
2001-08-31,0.5916
2001-09-28,0.8901
2001-10-31,0.8786
2001-11-30,1.1214
2001-12-31,1.5293
2002-01-31,1.3383
2002-02-28,1.1088
2002-03-29,0
2002-04-30,1.8478
2002-05-31,1.2366
2002-06-28,1.0156
2002-07-31,1.7077
2002-08-30,0.9485
2002-09-30,0.7655
2002-10-31,0.8830
2002-11-29,1.3785
2002-12-31,1.0579
2003-01-31,1.0890
2003-02-28,1.5486
2003-03-31,2.2537
2003-04-30,2.2109
2003-05-30,2.6083
2003-06-30,2.2788
2003-07-31,2.0121
2003-08-29,1.5548
2003-09-30,1.7928
2003-10-31,1.7605
2003-11-28,1.7721
2003-12-31,1.4812
2004-01-30,1.1036
2004-02-27,1.0206
2004-03-31,0.9445
2004-04-30,0.6495
2004-05-31,0
2004-06-30,0.7739
2004-07-30,0.4923
2004-08-31,0.5506
2004-09-30,0.7684
2004-10-29,0.6493
2004-11-30,0.8731
2004-12-31,0.9972
2005-01-31,0.9836
2005-02-28,1.3599
2005-03-31,1.3844
2005-04-29,1.5784
2005-05-31,2.3021
2005-06-30,1.6072
2005-07-29,1.6473
2005-08-31,1.4973
2005-09-30,1.2256
2005-10-31,1.1579
2005-11-30,1.3274
2005-12-30,1.6099
2006-01-31,1.8232
2006-02-28,1.6729
2006-03-31,1.3437
2006-04-28,1.4411
2006-05-31,1.3938
2006-06-30,1.4642
2006-07-31,1.4928
2006-08-31,1.4951
2006-09-29,1.1822
2006-10-31,0.8659
2006-11-30,0.8550
2006-12-29,1.0514
2007-01-31,0.9924
2007-02-28,0.9523
2007-03-30,0.9497
2007-04-30,0.9399
2007-05-31,1.1698
2007-06-29,1.1382
2007-07-31,1.2559
2007-08-31,1.2041
2007-09-28,1.2034
2007-10-31,1.2273
2007-11-30,1.4619
2007-12-31,1.7126
2008-01-31,1.5351
2008-02-29,1.7084
2008-03-31,1.3459
2008-04-30,1.3662
2008-05-30,1.9080
2008-06-30,1.5145
2008-07-31,1.1452
2008-08-29,1.0283
2008-09-30,0.7306
2008-10-31,0.6967
2008-11-28,0.4293
2008-12-31,0.3638
2009-01-30,0.5215
2009-02-27,0.4371
2009-03-31,0.5164
2009-04-30,0.6942
2009-05-29,0.8455
2009-06-30,1.1010
2009-07-31,1.9231
2009-08-31,2.6029
2009-09-30,2.9177
2009-10-30,2.5928
2009-11-30,2.2086
2009-12-31,2.5057
2010-01-29,1.7869
2010-02-26,1.7276
2010-03-31,1.5678
2010-04-30,1.4839
2010-05-31,0
2010-06-30,0.8563
2010-07-30,0.6980
2010-08-31,0.6286
2010-09-30,0.7137
2010-10-29,0.6994
2010-11-30,0.7868
2010-12-31,0.8690
2011-01-31,0.8412
2011-02-28,0.7707
2011-03-31,1.0591
2011-04-29,1.2160
2011-05-31,1.4984
2011-06-30,1.3336
2011-07-29,1.1614
2011-08-31,0.9216
2011-09-30,0.7745
2011-10-31,0.7967
2011-11-30,0.8510
2011-12-30,0.9200
2012-01-31,0.9471
2012-02-29,1.0469
2012-03-30,1.2117
2012-04-30,1.0472
