,ROCR_daily_60
2000-01-31,1.4324
2000-02-29,1.4341
2000-03-31,1.1240
2000-04-28,1.1340
2000-05-31,1.0721
2000-06-30,1.2078
2000-07-31,1.2555
2000-08-31,1.3760
2000-09-29,1.4834
2000-10-31,1.0329
2000-11-30,0.8402
2000-12-29,0.8235
2001-01-31,0.9466
2001-02-28,1.0403
2001-03-30,1.0004
2001-04-30,0.8400
2001-05-31,0.7964
2001-06-29,0.9773
2001-07-31,0.7897
2001-08-31,0.8208
2001-09-28,0.2920
2001-10-31,0.3562
2001-11-30,0.5060
2001-12-31,1.2111
2002-01-31,1.0007
2002-02-28,0.3123
2002-03-29,0
2002-04-30,0.6030
2002-05-31,1.0234
2002-06-28,0.5982
2002-07-31,0.2563
2002-08-30,0.6726
2002-09-30,0.6063
2002-10-31,0.9833
2002-11-29,0.7881
2002-12-31,1.5253
2003-01-31,1.8757
2003-02-28,1.3175
2003-03-31,1.1173
2003-04-30,1.7676
2003-05-30,2.4000
2003-06-30,1.5875
2003-07-31,1.0194
2003-08-29,0.7742
2003-09-30,1.0192
2003-10-31,1.4805
2003-11-28,1.2726
2003-12-31,1.2041
2004-01-30,1.1041
2004-02-27,1.0011
2004-03-31,0.8821
2004-04-30,0.9666
2004-05-31,0
2004-06-30,1.1453
2004-07-30,1.0663
2004-08-31,1.0885
2004-09-30,1.0000
2004-10-29,1.1797
2004-11-30,1.2314
2004-12-31,1.2957
2005-01-31,1.2658
2005-02-28,1.3588
2005-03-31,1.2089
2005-04-29,1.1105
2005-05-31,0.8499
2005-06-30,0.9630
2005-07-29,0.9981
2005-08-31,1.0535
2005-09-30,1.0366
2005-10-31,1.0121
2005-11-30,1.0300
2005-12-30,0.9508
2006-01-31,1.1029
2006-02-28,1.0970
2006-03-31,1.0101
2006-04-28,0.9895
2006-05-31,1.0817
2006-06-30,1.0853
2006-07-31,1.1971
2006-08-31,1.1395
2006-09-29,1.0737
2006-10-31,1.0957
2006-11-30,1.1257
2006-12-29,1.0668
2007-01-31,0.9424
2007-02-28,0.9194
2007-03-30,0.9809
2007-04-30,1.0649
2007-05-31,1.1542
2007-06-29,1.0097
2007-07-31,0.8764
2007-08-31,0.8498
2007-09-28,0.8995
2007-10-31,1.1680
2007-11-30,1.1561
2007-12-31,1.0419
2008-01-31,0.8809
2008-02-29,0.8274
2008-03-31,0.7897
2008-04-30,0.8839
2008-05-30,1.0462
2008-06-30,1.1260
2008-07-31,0.9002
2008-08-29,0.7672
2008-09-30,0.6451
2008-10-31,0.4966
2008-11-28,0.5314
2008-12-31,0.9332
2009-01-30,0.9987
2009-02-27,0.9117
2009-03-31,0.6725
2009-04-30,0.9782
2009-05-29,2.0357
2009-06-30,2.0828
2009-07-31,1.5541
2009-08-31,1.3259
2009-09-30,1.3596
2009-10-30,0.9947
