,ROCR_daily_60
2000-01-31,1.1361
2000-02-29,1.1723
2000-03-31,1.6384
2000-04-28,1.8510
2000-05-31,1.1152
2000-06-30,1.2710
2000-07-31,0.9578
2000-08-31,1.2767
2000-09-29,0.8676
2000-10-31,1.1396
2000-11-30,0.8205
2000-12-29,0.6845
2001-01-31,0.7453
2001-02-28,0.6688
2001-03-30,0.8013
2001-04-30,0.8583
2001-05-31,1.3073
2001-06-29,1.3377
2001-07-31,0.8826
2001-08-31,0.7907
2001-09-28,0.8876
2001-10-31,1.0602
2001-11-30,1.2086
2001-12-31,1.3230
2002-01-31,0.9715
2002-02-28,0.8899
2002-03-29,0
2002-04-30,0.9618
2002-05-31,0.9447
2002-06-28,0.7931
2002-07-31,0.8746
2002-08-30,0.8821
2002-09-30,0.8819
2002-10-31,1.0212
2002-11-29,1.1922
2002-12-31,1.3081
2003-01-31,0.9927
2003-02-28,0.9164
2003-03-31,1.0119
2003-04-30,1.0922
2003-05-30,1.1468
2003-06-30,1.1069
2003-07-31,1.1811
2003-08-29,1.1283
2003-09-30,1.0779
2003-10-31,1.1441
2003-11-28,1.0891
2003-12-31,1.1584
2004-01-30,1.0897
2004-02-27,0.9947
2004-03-31,0.9310
2004-04-30,0.9827
2004-05-31,0
2004-06-30,1.0752
2004-07-30,0.9574
2004-08-31,0.9441
2004-09-30,1.1196
2004-10-29,1.1146
2004-11-30,1.1649
2004-12-31,1.0512
2005-01-31,1.1269
2005-02-28,1.1114
2005-03-31,1.0181
2005-04-29,0.9892
2005-05-31,1.0629
2005-06-30,1.0789
2005-07-29,1.1313
2005-08-31,0.9939
2005-09-30,0.9248
2005-10-31,0.9161
2005-11-30,0.9792
2005-12-30,1.1380
2006-01-31,1.2729
2006-02-28,1.2034
2006-03-31,1.1370
2006-04-28,1.1228
2006-05-31,1.1159
2006-06-30,1.0712
2006-07-31,0.9199
2006-08-31,1.0740
2006-09-29,1.1295
2006-10-31,1.2003
2006-11-30,1.1845
2006-12-29,0.9821
2007-01-31,1.0372
2007-02-28,0.9459
2007-03-30,1.0133
2007-04-30,1.0365
2007-05-31,1.1333
2007-06-29,1.0447
2007-07-31,0.9432
2007-08-31,1.0387
2007-09-28,1.1092
2007-10-31,1.2811
2007-11-30,1.1317
2007-12-31,1.1652
2008-01-31,0.9197
2008-02-29,0.8463
2008-03-31,0.8431
2008-04-30,1.1573
2008-05-30,1.2554
2008-06-30,1.0915
2008-07-31,0.9968
2008-08-29,0.9725
2008-09-30,0.9046
2008-10-31,0.5925
2008-11-28,0.5233
2008-12-31,0.7031
2009-01-30,0.8974
2009-02-27,1.2360
2009-03-31,1.1189
2009-04-30,1.2744
2009-05-29,1.3206
2009-06-30,1.0126
2009-07-31,0.9842
2009-08-31,1.0469
2009-09-30,1.2047
2009-10-30,1.2129
2009-11-30,1.1776
2009-12-31,1.2485
2010-01-29,0.9699
2010-02-26,1.0113
2010-03-31,0.9187
2010-04-30,1.1434
2010-05-31,0
2010-06-30,0.9145
2010-07-30,1.0160
2010-08-31,1.0235
2010-09-30,1.2164
2010-10-29,1.1084
2010-11-30,1.0925
2010-12-31,1.0679
2011-01-31,1.0749
2011-02-28,1.1119
2011-03-31,1.0392
2011-04-29,0.9786
2011-05-31,0.9248
2011-06-30,1.0342
2011-07-29,0.8911
2011-08-31,0.9037
2011-09-30,0.7342
2011-10-31,1.0951
2011-11-30,1.0460
2011-12-30,1.0865
2012-01-31,1.1497
2012-02-29,1.2374
2012-03-30,1.3069
2012-04-30,1.0739
2012-05-31,0.9673
2012-06-29,0.9226
2012-07-31,1.0658
2012-08-31,1.1180
2012-09-28,1.0698
2012-10-31,1.0074
2012-11-30,1.0108
2012-12-31,1.1180
2013-01-31,1.1127
2013-02-28,1.1463
2013-03-29,0
2013-04-30,1.1045
2013-05-31,1.0717
2013-06-28,1.0658
2013-07-31,1.0195
2013-08-30,0.9819
2013-09-30,0.9668
2013-10-31,1.0394
2013-11-29,1.1268
2013-12-31,1.1686
2014-01-31,1.0846
2014-02-28,1.0373
2014-03-31,1.0469
2014-04-30,1.1285
2014-05-30,1.0752
2014-06-30,1.0298
2014-07-31,1.0110
2014-08-29,1.0655
2014-09-30,1.0232
2014-10-31,1.0407
2014-11-28,1.0345
2014-12-31,1.0896
2015-01-30,1.0682
2015-02-27,1.0690
2015-03-31,1.1010
2015-04-30,1.0167
2015-05-29,0.9817
2015-06-30,0.9852
2015-07-31,1.0150
