,ROCR_daily_60
2000-01-31,0.9918
2000-02-29,1.1442
2000-03-31,1.0273
2000-04-28,0.9772
2000-05-31,0.9402
2000-06-30,1.0586
2000-07-31,0.9743
2000-08-31,1.0672
2000-09-29,0.8992
2000-10-31,1.3016
2000-11-30,1.1905
2000-12-29,1.2862
2001-01-31,1.0388
2001-02-28,1.0612
2001-03-30,1.0713
2001-04-30,0.9310
2001-05-31,0.9872
2001-06-29,1.0605
2001-07-31,1.1001
2001-08-31,1.0178
2001-09-28,1.0429
2001-10-31,1.0486
2001-11-30,0.9371
2001-12-31,0.9135
2002-01-31,0.9756
2002-02-28,1.0866
2002-03-29,0
2002-04-30,1.0225
2002-05-31,1.0204
2002-06-28,0.9414
2002-07-31,0.7854
2002-08-30,0.8455
2002-09-30,0.8851
2002-10-31,1.0209
2002-11-29,0.9897
2002-12-31,1.0566
2003-01-31,1.0835
2003-02-28,1.1500
2003-03-31,1.0952
2003-04-30,1.0931
2003-05-30,1.1869
2003-06-30,1.1253
2003-07-31,1.0149
2003-08-29,0.9038
2003-09-30,0.9112
2003-10-31,0.9769
2003-11-28,1.0893
2003-12-31,1.1200
2004-01-30,1.2365
2004-02-27,1.2154
2004-03-31,1.1675
2004-04-30,1.0948
2004-05-31,0
2004-06-30,1.0424
2004-07-30,0.9361
2004-08-31,0.9579
2004-09-30,1.0398
2004-10-29,1.1088
2004-11-30,1.1106
2004-12-31,1.0827
2005-01-31,1.0992
2005-02-28,1.0829
2005-03-31,1.0462
2005-04-29,0.9879
2005-05-31,0.9701
2005-06-30,0.9001
2005-07-29,0.9312
2005-08-31,0.9281
2005-09-30,1.0068
2005-10-31,0.9419
2005-11-30,1.0832
2005-12-30,1.1668
2006-01-31,1.2568
2006-02-28,1.1006
2006-03-31,1.0072
2006-04-28,0.9907
2006-05-31,0.9555
2006-06-30,0.9679
2006-07-31,1.0631
2006-08-31,1.1586
2006-09-29,1.1641
2006-10-31,1.0696
2006-11-30,1.0455
2006-12-29,0.9893
2007-01-31,1.1219
2007-02-28,1.0584
2007-03-30,1.0953
2007-04-30,1.0199
2007-05-31,1.0301
2007-06-29,0.9473
2007-07-31,0.9603
2007-08-31,1.0332
2007-09-28,1.0990
2007-10-31,1.0790
2007-11-30,1.0736
2007-12-31,1.0191
2008-01-31,1.0477
2008-02-29,1.1163
2008-03-31,0.9925
2008-04-30,1.0169
2008-05-30,0.9485
2008-06-30,0.9478
2008-07-31,0.9604
2008-08-29,1.0337
2008-09-30,0.9916
2008-10-31,0.8158
2008-11-28,0.7431
2008-12-31,0.8814
2009-01-30,1.0527
2009-02-27,1.0029
2009-03-31,0.9674
2009-04-30,0.8237
2009-05-29,1.0464
2009-06-30,1.0862
2009-07-31,1.0652
2009-08-31,1.0342
2009-09-30,1.0096
2009-10-30,1.0773
2009-11-30,1.0944
2009-12-31,1.1728
2010-01-29,1.0983
2010-02-26,1.0460
2010-03-31,1.0064
2010-04-30,1.0012
2010-05-31,0
2010-06-30,0.8668
2010-07-30,0.9148
2010-08-31,0.9841
2010-09-30,1.0599
2010-10-29,1.0602
2010-11-30,1.1094
2010-12-31,1.1307
2011-01-31,1.1036
2011-02-28,1.0073
2011-03-31,0.9601
2011-04-29,1.0318
2011-05-31,1.0971
2011-06-30,1.0771
2011-07-29,0.9722
2011-08-31,0.9577
2011-09-30,0.8212
2011-10-31,0.9924
2011-11-30,0.9455
2011-12-30,1.0310
2012-01-31,1.0867
2012-02-29,1.0344
2012-03-30,1.0674
2012-04-30,0.9942
2012-05-31,0.9752
2012-06-29,0.9672
2012-07-31,0.9933
2012-08-31,1.0422
2012-09-28,1.0489
2012-10-31,1.0239
2012-11-30,1.0071
2012-12-31,0.9936
2013-01-31,1.1177
2013-02-28,1.1559
2013-03-29,0
2013-04-30,1.1137
2013-05-31,1.1192
2013-06-28,1.0287
2013-07-31,1.0757
2013-08-30,0.9962
2013-09-30,1.0188
2013-10-31,1.0566
2013-11-29,1.0989
2013-12-31,1.1058
2014-01-31,1.0197
2014-02-28,1.0710
2014-03-31,1.0778
2014-04-30,1.0775
2014-05-30,1.0170
2014-06-30,1.0122
2014-07-31,1.0213
2014-08-29,0.9865
2014-09-30,0.9512
2014-10-31,1.1265
2014-11-28,1.2110
2014-12-31,1.1182
2015-01-30,1.0883
2015-02-27,1.0439
2015-03-31,1.0309
2015-04-30,1.0016
2015-05-29,0.9510
2015-06-30,1.0056
2015-07-31,1.0831
2015-08-31,1.0071
2015-09-30,0.9303
2015-10-30,0.9532
2015-11-30,1.1054
2015-12-31,1.1498
2016-01-29,1.0081
2016-02-29,0.9699
2016-03-31,1.0308
2016-04-29,1.1482
2016-05-31,1.1210
2016-06-30,1.0954
2016-07-29,1.0934
2016-08-31,1.0509
2016-09-30,1.0417
2016-10-31,0.9701
2016-11-30,0.9542
2016-12-30,0.9413
2017-01-31,1.0672
2017-02-28,1.0873
2017-03-31,1.1166
2017-04-28,1.0488
2017-05-31,1.0298
2017-06-30,1.0684
2017-07-31,1.0936
2017-08-31,1.0356
2017-09-29,1.0068
2017-10-31,1.0586
2017-11-30,1.1496
2017-12-29,1.1015
2018-01-31,1.0882
2018-02-28,0.9762
2018-03-30,0
2018-04-30,0.9633
2018-05-31,1.0248
2018-06-29,1.0918
2018-07-31,1.1181
2018-08-31,1.1396
2018-09-28,1.0809
2018-10-31,0.9322
2018-11-30,0.9886
2018-12-31,0.8738
2019-01-31,1.0688
2019-02-28,0.9980
2019-03-29,1.1383
2019-04-30,0.9760
2019-05-31,0.9420
2019-06-28,1.0138
2019-07-31,1.0633
2019-08-30,1.0731
2019-09-30,0.9980
2019-10-31,1.0493
2019-11-29,1.0030
2019-12-31,1.0778
2020-01-31,1.0588
2020-02-28,0.9209
2020-03-31,0.8552
2020-04-30,0.8908
2020-05-29,1.0027
2020-06-30,1.0587
2020-07-31,1.0892
2020-08-31,1.0063
2020-09-30,0.9287
2020-10-30,0.8933
2020-11-30,1.0024
2020-12-31,1.0664
2021-01-29,1.1189
2021-02-26,1.0304
2021-03-31,0.9732
2021-04-30,0.9568
2021-05-31,0
2021-06-30,0.9976
2021-07-30,1.0275
2021-08-31,1.0543
2021-09-30,0.9786
2021-10-29,0.9888
2021-11-30,0.9227
2021-12-31,1.0290
2022-01-31,1.0324
2022-02-28,1.1265
2022-03-31,1.0599
