,ROCR_daily_60
2000-01-31,0.8738
2000-02-29,0.8011
2000-03-31,0.9693
2000-04-28,0.8122
2000-05-31,1.2133
2000-06-30,0.9039
2000-07-31,0.9959
2000-08-31,1.0129
2000-09-29,0.9871
2000-10-31,1.1746
2000-11-30,1.3666
2000-12-29,1.3323
2001-01-31,0.9787
2001-02-28,0.9186
2001-03-30,0.8891
2001-04-30,0.8915
2001-05-31,0.8791
2001-06-29,0.9240
2001-07-31,1.0649
2001-08-31,0.9955
2001-09-28,1.0597
2001-10-31,0.9262
2001-11-30,0.9385
2001-12-31,0.9091
2002-01-31,0.8601
2002-02-28,0.8791
2002-03-29,0
2002-04-30,0.6520
2002-05-31,0.6243
2002-06-28,0.7994
2002-07-31,0.8217
2002-08-30,0.9632
2002-09-30,0.9333
2002-10-31,1.0713
2002-11-29,1.0681
2002-12-31,1.0767
2003-01-31,0.9415
2003-02-28,0.8922
2003-03-31,0.8793
2003-04-30,1.0868
2003-05-30,1.1199
2003-06-30,1.2186
2003-07-31,1.0272
2003-08-29,0.9528
2003-09-30,0.9321
2003-10-31,0.9829
2003-11-28,1.0331
2003-12-31,1.1083
2004-01-30,1.1170
2004-02-27,1.0479
2004-03-31,0.8377
2004-04-30,0.8924
2004-05-31,0
2004-06-30,1.0172
2004-07-30,0.8984
2004-08-31,0.9423
2004-09-30,1.0024
2004-10-29,1.0307
2004-11-30,1.0028
2004-12-31,1.0596
2005-01-31,0.9977
2005-02-28,1.0667
2005-03-31,1.0236
2005-04-29,1.0952
2005-05-31,1.0255
2005-06-30,0.9991
2005-07-29,0.9538
2005-08-31,0.9810
2005-09-30,0.9780
2005-10-31,0.8622
2005-11-30,0.8758
2005-12-30,0.9918
2006-01-31,1.0971
2006-02-28,1.0832
2006-03-31,1.0875
2006-04-28,1.1151
2006-05-31,1.0886
2006-06-30,1.0538
2006-07-31,0.9683
2006-08-31,0.8832
2006-09-29,0.9815
2006-10-31,1.0993
2006-11-30,1.1097
2006-12-29,1.0690
2007-01-31,1.1818
2007-02-28,1.0754
2007-03-30,1.0523
2007-04-30,1.0123
2007-05-31,1.1336
2007-06-29,1.1361
2007-07-31,0.9547
2007-08-31,1.0081
2007-09-28,0.9032
2007-10-31,1.0468
2007-11-30,1.0432
2007-12-31,0.8917
2008-01-31,0.8065
2008-02-29,0.7750
2008-03-31,0.8152
2008-04-30,0.9274
2008-05-30,1.0417
2008-06-30,0.9252
2008-07-31,0.9248
2008-08-29,0.9996
2008-09-30,1.0121
2008-10-31,0.9625
2008-11-28,0.9771
2008-12-31,1.2197
2009-01-30,1.0560
2009-02-27,0.9638
2009-03-31,0.9179
2009-04-30,0.8503
2009-05-29,1.0925
2009-06-30,1.0069
2009-07-31,1.1142
2009-08-31,1.1274
2009-09-30,1.1601
2009-10-30,1.0170
2009-11-30,1.1786
2009-12-31,1.1383
2010-01-29,1.1330
2010-02-26,0.9805
2010-03-31,1.0542
2010-04-30,1.0454
2010-05-31,0
2010-06-30,0.9575
2010-07-30,1.0072
2010-08-31,1.1071
2010-09-30,1.0631
2010-10-29,1.0293
2010-11-30,0.9607
2010-12-31,0.9739
2011-01-31,0.9568
2011-02-28,1.0226
2011-03-31,1.0226
2011-04-29,1.1254
2011-05-31,1.1017
2011-06-30,1.0902
2011-07-29,1.0098
2011-08-31,1.0752
2011-09-30,1.0684
2011-10-31,1.1634
2011-11-30,1.1304
2011-12-30,1.0876
2012-01-31,1.0446
2012-02-29,0.9875
2012-03-30,0.9828
2012-04-30,1.0432
2012-05-31,1.0416
2012-06-29,1.0668
2012-07-31,1.0772
2012-08-31,0.9732
2012-09-28,0.9707
2012-10-31,1.0290
2012-11-30,0.9946
2012-12-31,0.9697
2013-01-31,1.1009
2013-02-28,1.1451
2013-03-29,0
2013-04-30,1.0853
2013-05-31,1.2289
2013-06-28,1.0959
2013-07-31,1.0891
2013-08-30,0.8941
2013-09-30,1.0475
2013-10-31,1.2097
2013-11-29,1.2407
2013-12-31,1.1261
2014-01-31,0.9485
2014-02-28,1.0516
2014-03-31,0.9939
2014-04-30,1.0370
2014-05-30,0.8848
2014-06-30,0.9536
2014-07-31,1.0013
2014-08-29,1.0809
2014-09-30,1.0660
2014-10-31,1.2046
2014-11-28,1.1765
2014-12-31,1.1622
2015-01-30,1.0492
2015-02-27,1.0381
2015-03-31,1.0839
2015-04-30,1.0708
2015-05-29,0.9894
2015-06-30,1.0562
2015-07-31,1.0205
2015-08-31,0.9033
2015-09-30,0.8731
2015-10-30,1.0444
2015-11-30,1.1477
2015-12-31,1.1551
2016-01-29,0.9506
2016-02-29,0.9122
2016-03-31,0.9587
2016-04-29,1.2078
2016-05-31,1.1147
2016-06-30,1.1111
2016-07-29,1.0624
2016-08-31,0.7805
2016-09-30,0.7279
2016-10-31,0.8101
2016-11-30,0.9977
2016-12-30,1.0666
2017-01-31,0.9785
2017-02-28,1.0114
2017-03-31,0.9195
2017-04-28,1.1455
2017-05-31,0.9539
2017-06-30,1.0497
2017-07-31,1.0381
2017-08-31,1.1584
2017-09-29,1.1530
2017-10-31,1.1019
2017-11-30,1.0619
2017-12-29,0.9523
2018-01-31,1.0125
2018-02-28,1.0544
2018-03-30,0
2018-04-30,0.8354
2018-05-31,0.8089
2018-06-29,0.8881
2018-07-31,1.1527
2018-08-31,1.1589
2018-09-28,1.1096
2018-10-31,0.8624
2018-11-30,0.8829
2018-12-31,0.8350
2019-01-31,0.9557
2019-02-28,1.0060
2019-03-29,0.9182
2019-04-30,0.9388
2019-05-31,0.8654
2019-06-28,0.9759
2019-07-31,0.9314
2019-08-30,1.0508
