,ROCR_daily_60
2000-01-31,1.3036
2000-02-29,1.8468
2000-03-31,1.3581
2000-04-28,0.9857
2000-05-31,0.6191
2000-06-30,1.0926
2000-07-31,1.4433
2000-08-31,1.4362
2000-09-29,1.6509
2000-10-31,1.6088
2000-11-30,1.2297
2000-12-29,0.9788
2001-01-31,0.8258
2001-02-28,1.0473
2001-03-30,0.6336
2001-04-30,0.8744
2001-05-31,0.9309
2001-06-29,1.3575
2001-07-31,1.2934
2001-08-31,1.1076
2001-09-28,1.1590
2001-10-31,0.9944
2001-11-30,1.0798
2001-12-31,0.9695
2002-01-31,0.9038
2002-02-28,0.8210
2002-03-29,0
2002-04-30,1.1221
2002-05-31,1.1883
2002-06-28,1.0266
2002-07-31,0.8240
2002-08-30,0.7264
2002-09-30,0.7732
2002-10-31,0.8925
2002-11-29,0.8899
2002-12-31,1.0633
2003-01-31,0.9962
2003-02-28,1.0247
2003-03-31,1.0103
2003-04-30,0.5415
2003-05-30,0.6657
2003-06-30,1.2933
2003-07-31,1.4354
2003-08-29,1.6317
2003-09-30,1.4527
2003-10-31,1.4277
2003-11-28,1.2370
2003-12-31,1.0833
2004-01-30,0.9097
2004-02-27,0.9818
2004-03-31,1.1745
2004-04-30,1.1137
2004-05-31,0
2004-06-30,0.9949
2004-07-30,1.0482
2004-08-31,1.0401
2004-09-30,1.0349
2004-10-29,0.9882
2004-11-30,1.2001
2004-12-31,1.1531
2005-01-31,1.0745
2005-02-28,0.9843
2005-03-31,1.0019
2005-04-29,1.1409
2005-05-31,1.2330
2005-06-30,1.1906
2005-07-29,1.2307
2005-08-31,1.2468
2005-09-30,1.2495
2005-10-31,1.0939
2005-11-30,1.1651
2005-12-30,1.0978
2006-01-31,1.0378
2006-02-28,0.8637
2006-03-31,1.0220
2006-04-28,0.8384
2006-05-31,0.8556
2006-06-30,0.7902
2006-07-31,1.0032
2006-08-31,1.2619
2006-09-29,1.1689
2006-10-31,1.1535
2006-11-30,1.0430
2006-12-29,1.0004
2007-01-31,0.9360
2007-02-28,1.0938
2007-03-30,1.2046
2007-04-30,1.1624
2007-05-31,1.0900
2007-06-29,0.9853
2007-07-31,0.9831
2007-08-31,1.0331
2007-09-28,1.0500
2007-10-31,1.0143
2007-11-30,1.0424
2007-12-31,0.9163
2008-01-31,0.8913
2008-02-29,0.7402
2008-03-31,0.6573
2008-04-30,0.9495
2008-05-30,1.0253
2008-06-30,1.1766
2008-07-31,0.9494
2008-08-29,0.9560
2008-09-30,1.0331
2008-10-31,0.8374
2008-11-28,0.7759
2008-12-31,0.9729
2009-01-30,0.9052
2009-02-27,1.1182
2009-03-31,1.1223
2009-04-30,1.5104
2009-05-29,1.6550
2009-06-30,1.4389
2009-07-31,1.1745
2009-08-31,1.0732
2009-09-30,1.3169
2009-10-30,1.2095
2009-11-30,1.1955
2009-12-31,1.0944
2010-01-29,0.9937
2010-02-26,1.1017
2010-03-31,1.0078
2010-04-30,1.0986
2010-05-31,0
2010-06-30,0.8819
2010-07-30,0.9195
2010-08-31,0.9171
2010-09-30,1.0562
2010-10-29,1.1312
2010-11-30,1.1340
2010-12-31,1.1024
2011-01-31,1.1275
2011-02-28,1.0969
2011-03-31,1.1785
2011-04-29,1.2182
2011-05-31,1.1516
2011-06-30,1.0681
2011-07-29,1.1196
2011-08-31,1.1305
2011-09-30,1.0658
2011-10-31,1.0582
2011-11-30,0.9462
2011-12-30,0.9019
2012-01-31,0.9764
2012-02-29,1.1883
2012-03-30,1.2341
2012-04-30,1.3154
2012-05-31,1.0457
2012-06-29,1.0960
2012-07-31,0.9185
2012-08-31,0.9334
2012-09-28,0.9327
2012-10-31,1.0341
2012-11-30,1.0506
2012-12-31,0.9893
2013-01-31,1.0620
2013-02-28,1.1326
2013-03-29,0
2013-04-30,1.1504
2013-05-31,1.0797
2013-06-28,1.0425
2013-07-31,1.0252
2013-08-30,0.9281
2013-09-30,1.0544
2013-10-31,1.1518
2013-11-29,1.2330
2013-12-31,1.0188
2014-01-31,1.0071
2014-02-28,1.0640
2014-03-31,1.0214
2014-04-30,0.9217
2014-05-30,0.8836
2014-06-30,0.9302
2014-07-31,1.1007
2014-08-29,1.0717
2014-09-30,1.1462
2014-10-31,1.1516
2014-11-28,1.0918
2014-12-31,1.0915
2015-01-30,1.0488
2015-02-27,1.1205
2015-03-31,1.1266
2015-04-30,1.0675
2015-05-29,0.9359
2015-06-30,0.9409
2015-07-31,1.0123
2015-08-31,0.9324
2015-09-30,0.8737
2015-10-30,1.0152
2015-11-30,0.9801
2015-12-31,0.9787
2016-01-29,0.8768
2016-02-29,0.8487
2016-03-31,0.9106
2016-04-29,0.9813
2016-05-31,1.0769
2016-06-30,1.0610
2016-07-29,1.1197
2016-08-31,1.1329
2016-09-30,1.0359
2016-10-31,0.8760
2016-11-30,0.7663
2016-12-30,0.7734
2017-01-31,1.0105
2017-02-28,1.1057
2017-03-31,1.2278
2017-04-28,1.2022
2017-05-31,1.1865
2017-06-30,1.1255
2017-07-31,1.0039
2017-08-31,0.9943
2017-09-29,1.0967
2017-10-31,1.0653
2017-11-30,1.0452
2017-12-29,0.9387
2018-01-31,1.0559
2018-02-28,0.9076
2018-03-30,0
2018-04-30,0.8530
2018-05-31,0.9184
2018-06-29,1.0287
2018-07-31,1.0846
2018-08-31,1.0807
2018-09-28,1.0273
2018-10-31,0.8685
2018-11-30,0.8924
2018-12-31,0.8103
2019-01-31,0.9560
2019-02-28,0.9756
2019-03-29,1.1029
2019-04-30,1.2113
2019-05-31,1.2621
2019-06-28,1.2865
2019-07-31,1.0463
2019-08-30,0.9562
2019-09-30,0.9174
2019-10-31,0.9601
