,ROCR_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0.8981
2005-05-31,0.9376
2005-06-30,0.9212
2005-07-29,1.2373
2005-08-31,1.1674
2005-09-30,1.0737
2005-10-31,0.9589
2005-11-30,0.9293
2005-12-30,1.1368
2006-01-31,1.1258
2006-02-28,1.2396
2006-03-31,1.0613
2006-04-28,1.0899
2006-05-31,0.9414
2006-06-30,0.9962
2006-07-31,0.8578
2006-08-31,0.9685
2006-09-29,0.8796
2006-10-31,1.1546
2006-11-30,1.2346
2006-12-29,1.4588
2007-01-31,1.2616
2007-02-28,1.3077
2007-03-30,1.2205
2007-04-30,1.2542
2007-05-31,1.2101
2007-06-29,1.2481
2007-07-31,1.0786
2007-08-31,0.9673
2007-09-28,0.9651
2007-10-31,1.1929
2007-11-30,1.1033
2007-12-31,1.0622
2008-01-31,0.8922
2008-02-29,0.9750
2008-03-31,0.9087
2008-04-30,1.1626
2008-05-30,1.2148
2008-06-30,1.0945
2008-07-31,0.8444
2008-08-29,0.7848
2008-09-30,0.6489
2008-10-31,0.3842
2008-11-28,0.3358
2008-12-31,0.6180
2009-01-30,0.7554
2009-02-27,0.8514
2009-03-31,1.0244
2009-04-30,2.1986
2009-05-29,2.2295
2009-06-30,1.4365
2009-07-31,1.1667
2009-08-31,1.2032
2009-09-30,1.1678
2009-10-30,1.0454
2009-11-30,1.1923
2009-12-31,1.2845
2010-01-29,1.0668
2010-02-26,1.0493
2010-03-31,0.9588
2010-04-30,1.0223
2010-05-31,0
2010-06-30,0.7523
2010-07-30,0.9694
2010-08-31,1.0229
2010-09-30,1.2751
2010-10-29,1.2164
2010-11-30,1.2777
2010-12-31,1.2326
2011-01-31,1.1303
2011-02-28,1.0798
2011-03-31,1.0653
2011-04-29,1.1369
2011-05-31,1.2497
2011-06-30,1.1485
2011-07-29,1.1713
2011-08-31,0.9815
2011-09-30,0.5865
2011-10-31,0.9956
2011-11-30,1.1174
2011-12-30,1.3149
2012-01-31,1.1541
2012-02-29,1.0323
2012-03-30,0.9948
2012-04-30,0.9608
2012-05-31,0.8890
2012-06-29,0.7676
2012-07-31,0.8225
2012-08-31,0.9772
2012-09-28,1.1078
2012-10-31,0.9941
2012-11-30,1.1024
2012-12-31,1.1745
2013-01-31,1.1971
2013-02-28,1.1433
2013-03-29,0
2013-04-30,1.0446
2013-05-31,1.0651
