,ROCR_daily_60
2000-01-31,1.2038
2000-02-29,1.0380
2000-03-31,1.2286
2000-04-28,1.0011
2000-05-31,0.6371
2000-06-30,0.6168
2000-07-31,0.6653
2000-08-31,1.0516
2000-09-29,1.0627
2000-10-31,0.9984
2000-11-30,0.8925
2000-12-29,1.1584
2001-01-31,1.2780
2001-02-28,1.2795
2001-03-30,0.9194
2001-04-30,0.7552
2001-05-31,1.0291
2001-06-29,1.1737
2001-07-31,1.2002
2001-08-31,0.9124
2001-09-28,0.8445
2001-10-31,0.8954
2001-11-30,1.0789
2001-12-31,1.2601
2002-01-31,1.1443
2002-02-28,1.0093
2002-03-29,0
2002-04-30,0.8882
2002-05-31,1.0090
2002-06-28,0.9785
2002-07-31,0.8672
2002-08-30,0.8488
2002-09-30,0.8237
2002-10-31,0.9809
2002-11-29,0.9773
2002-12-31,0.8971
2003-01-31,0.8529
2003-02-28,0.9362
2003-03-31,1.0352
2003-04-30,1.1853
2003-05-30,1.2957
2003-06-30,1.1626
2003-07-31,1.0608
2003-08-29,0.8733
2003-09-30,0.8419
2003-10-31,1.2212
2003-11-28,1.0914
2003-12-31,1.1253
2004-01-30,1.0500
2004-02-27,1.0617
2004-03-31,1.0404
2004-04-30,1.0054
2004-05-31,0
2004-06-30,1.0953
2004-07-30,1.0921
2004-08-31,1.0569
2004-09-30,1.0056
2004-10-29,1.1811
2004-11-30,1.1995
2004-12-31,1.1300
2005-01-31,0.9738
2005-02-28,0.9409
2005-03-31,0.9243
2005-04-29,0.8632
2005-05-31,1.0166
2005-06-30,0.9691
2005-07-29,1.0726
2005-08-31,0.9494
2005-09-30,0.9581
2005-10-31,1.1076
2005-11-30,1.1590
2005-12-30,1.1556
2006-01-31,1.0309
2006-02-28,1.0272
2006-03-31,1.0840
2006-04-28,1.1022
2006-05-31,0.9868
2006-06-30,1.0385
2006-07-31,0.9547
2006-08-31,0.8971
2006-09-29,0.8918
2006-10-31,1.0371
2006-11-30,1.0991
2006-12-29,1.0533
2007-01-31,1.0640
2007-02-28,1.0510
2007-03-30,1.0213
2007-04-30,0.9547
2007-05-31,1.0162
2007-06-29,1.0776
2007-07-31,1.1144
2007-08-31,1.1201
2007-09-28,1.0232
2007-10-31,1.0446
2007-11-30,1.1588
2007-12-31,1.1260
2008-01-31,1.0382
2008-02-29,0.9270
2008-03-31,0.9556
2008-04-30,1.0661
2008-05-30,1.1750
2008-06-30,1.0578
2008-07-31,0.8646
2008-08-29,0.9146
2008-09-30,0.8932
2008-10-31,0.8662
2008-11-28,0.7666
2008-12-31,0.8710
2009-01-30,0.8449
2009-02-27,0.8870
