,ROCR_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0.9583
2004-10-29,1.8642
2004-11-30,1.2698
2004-12-31,0.9820
2005-01-31,0.6322
2005-02-28,0.9481
2005-03-31,0.9030
2005-04-29,1.0850
2005-05-31,1.2193
2005-06-30,1.3412
2005-07-29,1.5721
2005-08-31,0.9782
2005-09-30,1.1887
2005-10-31,1.0553
2005-11-30,1.5636
2005-12-30,1.3726
2006-01-31,1.5255
2006-02-28,1.0942
2006-03-31,1.0100
2006-04-28,0.8741
2006-05-31,0.8114
2006-06-30,0.7169
2006-07-31,0.7355
2006-08-31,1.2766
2006-09-29,1.4049
2006-10-31,1.5207
2006-11-30,1.1726
2006-12-29,0.9817
2007-01-31,1.1534
2007-02-28,1.1045
2007-03-30,1.1871
2007-04-30,0.9249
2007-05-31,1.0950
2007-06-29,0.9476
2007-07-31,0.9027
2007-08-31,0.8982
2007-09-28,1.1656
2007-10-31,1.3642
2007-11-30,1.3304
2007-12-31,1.2159
2008-01-31,0.9542
2008-02-29,1.0706
2008-03-31,0.9600
2008-04-30,1.2890
2008-05-30,1.2254
2008-06-30,1.0478
2008-07-31,0.9091
2008-08-29,0.7578
2008-09-30,0.7209
2008-10-31,0.4579
2008-11-28,0.5310
2008-12-31,0.7923
2009-01-30,0.8699
2009-02-27,1.0390
2009-03-31,0.9621
2009-04-30,1.4270
2009-05-29,1.2642
2009-06-30,1.0241
2009-07-31,0.9879
2009-08-31,1.3256
2009-09-30,1.6005
2009-10-30,1.2508
2009-11-30,1.1973
2009-12-31,1.2595
2010-01-29,1.0993
2010-02-26,1.0841
2010-03-31,0.9951
2010-04-30,1.3045
2010-05-31,0
2010-06-30,1.0887
2010-07-30,1.1611
2010-08-31,1.2501
2010-09-30,1.2235
2010-10-29,1.1303
2010-11-30,1.1638
2010-12-31,1.2577
2011-01-31,1.1090
2011-02-28,0.9183
2011-03-31,0.9844
2011-04-29,1.0261
2011-05-31,1.1715
2011-06-30,1.1150
2011-07-29,1.0990
2011-08-31,0.9064
2011-09-30,0.7227
2011-10-31,0.9814
2011-11-30,0.9792
2011-12-30,0.8653
2012-01-31,0.8996
2012-02-29,1.2093
2012-03-30,1.5850
2012-04-30,1.3166
2012-05-31,0.9853
2012-06-29,0.8881
2012-07-31,0.8150
2012-08-31,1.0710
2012-09-28,1.0721
2012-10-31,1.1381
2012-11-30,1.0886
2012-12-31,1.0991
2013-01-31,1.1741
2013-02-28,1.0733
2013-03-29,0
2013-04-30,0.9393
