,ROCR_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0.8494
2007-08-31,0.9134
2007-09-28,0.8748
2007-10-31,1.1274
2007-11-30,1.0935
2007-12-31,0.8001
2008-01-31,0.8440
2008-02-29,0.6818
2008-03-31,0.6236
2008-04-30,0.4933
2008-05-30,0.4292
2008-06-30,0.6514
2008-07-31,0.9581
2008-08-29,1.1886
2008-09-30,1.5266
2008-10-31,1.2491
2008-11-28,0.9833
2008-12-31,1.5829
2009-01-30,0.5990
2009-02-27,0.6319
2009-03-31,0.4641
2009-04-30,0.8942
2009-05-29,1.3027
2009-06-30,0.8720
2009-07-31,0.9453
2009-08-31,1.0285
2009-09-30,1.5692
2009-10-30,0.9794
2009-11-30,1.1439
2009-12-31,1.3467
2010-01-29,1.7597
2010-02-26,1.5775
2010-03-31,1.3004
2010-04-30,0.9726
2010-05-31,0
2010-06-30,0.8015
2010-07-30,0.9635
2010-08-31,0.7966
2010-09-30,0.9940
2010-10-29,1.1767
2010-11-30,1.2380
2010-12-31,1.0696
2011-01-31,0.8224
2011-02-28,0.8098
2011-03-31,0.7821
2011-04-29,0.9145
2011-05-31,1.0172
2011-06-30,0.9454
2011-07-29,0.7536
2011-08-31,0.8132
2011-09-30,0.7970
2011-10-31,1.2224
2011-11-30,1.1388
2011-12-30,1.0888
2012-01-31,1.2788
2012-02-29,1.1514
2012-03-30,1.2378
2012-04-30,0.9874
2012-05-31,1.2927
2012-06-29,1.0448
2012-07-31,0.8773
2012-08-31,0.8414
2012-09-28,0.8617
2012-10-31,1.0366
2012-11-30,1.1682
2012-12-31,1.2149
2013-01-31,1.4320
2013-02-28,1.4270
2013-03-29,0
2013-04-30,1.2402
2013-05-31,1.1493
2013-06-28,1.2685
2013-07-31,1.1755
2013-08-30,1.1313
2013-09-30,1.2451
2013-10-31,1.2574
2013-11-29,1.4342
2013-12-31,1.0929
