,ROCR_daily_60
2000-01-31,0.9429
2000-02-29,1.0163
2000-03-31,0.9697
2000-04-28,1.0163
2000-05-31,1.4062
2000-06-30,1.3125
2000-07-31,1.1383
2000-08-31,1.2472
2000-09-29,1.3023
2000-10-31,1.2087
2000-11-30,0.8702
2000-12-29,1.4308
2001-01-31,1.2682
2001-02-28,1.4218
2001-03-30,0.8254
2001-04-30,0.9444
2001-05-31,1.0485
2001-06-29,1.2067
2001-07-31,0.9812
2001-08-31,0.7541
2001-09-28,1.0134
2001-10-31,0.9399
2001-11-30,0.8110
2001-12-31,0.9253
2002-01-31,0.8344
2002-02-28,1.0941
2002-03-29,0
2002-04-30,1.3676
2002-05-31,1.1928
2002-06-28,1.2323
2002-07-31,1.0425
2002-08-30,1.0336
2002-09-30,1.0262
2002-10-31,1.1803
2002-11-29,1.0760
2002-12-31,1.0992
2003-01-31,0.9599
2003-02-28,1.1200
2003-03-31,0.9576
2003-04-30,0.9779
2003-05-30,1.0565
2003-06-30,1.2401
2003-07-31,1.1946
2003-08-29,1.0420
2003-09-30,0.9399
2003-10-31,1.0056
2003-11-28,0.9922
2003-12-31,1.0618
2004-01-30,1.1867
2004-02-27,1.1823
2004-03-31,1.2325
2004-04-30,1.3175
2004-05-31,0
2004-06-30,1.2324
2004-07-30,1.1798
2004-08-31,1.1774
2004-09-30,1.1803
2004-10-29,1.2139
2004-11-30,1.2527
2004-12-31,1.0197
2005-01-31,1.1393
2005-02-28,1.2176
2005-03-31,1.3571
2005-04-29,1.0028
2005-05-31,0.9088
2005-06-30,1.1149
2005-07-29,1.5415
2005-08-31,1.3394
2005-09-30,1.1953
2005-10-31,0.9440
2005-11-30,1.0187
2005-12-30,1.0261
2006-01-31,1.2915
2006-02-28,1.2522
2006-03-31,1.2905
2006-04-28,1.1043
2006-05-31,1.1449
2006-06-30,0.9676
2006-07-31,1.0678
2006-08-31,1.0326
2006-09-29,0.9088
2006-10-31,0.8318
2006-11-30,0.9297
2006-12-29,1.0293
2007-01-31,0.9858
2007-02-28,1.0000
2007-03-30,1.1141
2007-04-30,1.1911
2007-05-31,1.3253
2007-06-29,1.2405
2007-07-31,1.1834
2007-08-31,1.1130
2007-09-28,1.1527
2007-10-31,1.3758
2007-11-30,1.2564
2007-12-31,1.2755
2008-01-31,0.9036
2008-02-29,1.1731
2008-03-31,0.8992
2008-04-30,1.1298
2008-05-30,1.0455
