,ROCR_daily_60
2000-01-31,1.0139
2000-02-29,1.0164
2000-03-31,1.0294
2000-04-28,1.1026
2000-05-31,1.1988
2000-06-30,1.1873
2000-07-31,1.1338
2000-08-31,1.0982
2000-09-29,1.0415
2000-10-31,0.9737
2000-11-30,0.9632
2000-12-29,1.1117
2001-01-31,1.0774
2001-02-28,1.0066
2001-03-30,0.9238
2001-04-30,0.9313
2001-05-31,0.9933
2001-06-29,1.0936
2001-07-31,1.0828
2001-08-31,1.0744
2001-09-28,0.9747
2001-10-31,0.9577
2001-11-30,1.0008
2001-12-31,1.0331
2002-01-31,1.0302
2002-02-28,0.9877
2002-03-29,0
2002-04-30,1.1480
2002-05-31,1.0903
2002-06-28,1.1424
2002-07-31,0.9889
2002-08-30,0.9799
2002-09-30,0.9181
2002-10-31,0.9975
2002-11-29,0.9818
2002-12-31,1.0844
2003-01-31,1.0286
2003-02-28,1.0425
2003-03-31,1.0691
2003-04-30,1.1130
2003-05-30,1.1135
2003-06-30,1.0144
2003-07-31,1.0408
2003-08-29,1.0021
2003-09-30,1.0387
2003-10-31,1.0477
2003-11-28,1.0895
2003-12-31,1.0490
2004-01-30,1.1142
2004-02-27,1.0510
2004-03-31,1.1419
2004-04-30,0.8998
2004-05-31,0
2004-06-30,0.9280
2004-07-30,1.0326
2004-08-31,1.0762
2004-09-30,1.0215
2004-10-29,1.0926
2004-11-30,1.0167
2004-12-31,1.0362
2005-01-31,0.9279
2005-02-28,0.9161
2005-03-31,0.9012
2005-04-29,0.9795
2005-05-31,0.9707
2005-06-30,1.0857
2005-07-29,1.0988
2005-08-31,1.0650
2005-09-30,1.0593
2005-10-31,1.0751
2005-11-30,1.0543
2005-12-30,1.0577
2006-01-31,1.1158
2006-02-28,1.0466
2006-03-31,1.1139
2006-04-28,1.0041
2006-05-31,0.9530
2006-06-30,0.9544
2006-07-31,1.0606
2006-08-31,1.1029
2006-09-29,1.0645
2006-10-31,1.0809
2006-11-30,1.1819
2006-12-29,1.0831
2007-01-31,1.1139
2007-02-28,1.0281
2007-03-30,1.0791
2007-04-30,0.9660
2007-05-31,0.9285
2007-06-29,0.8238
2007-07-31,0.7728
2007-08-31,0.9061
2007-09-28,0.9332
2007-10-31,1.0215
2007-11-30,0.7985
2007-12-31,0.7766
2008-01-31,0.8003
2008-02-29,0.8797
2008-03-31,0.9086
2008-04-30,1.0454
2008-05-30,1.1600
2008-06-30,0.9247
2008-07-31,0.9563
2008-08-29,0.9842
2008-09-30,1.1572
2008-10-31,0.5732
2008-11-28,0.3393
2008-12-31,0.5941
2009-01-30,0.7021
2009-02-27,1.2613
2009-03-31,0.5251
2009-04-30,1.0444
2009-05-29,1.5156
2009-06-30,1.2962
2009-07-31,0.9841
2009-08-31,1.1814
2009-09-30,1.5069
2009-10-30,0.9959
2009-11-30,1.0797
2009-12-31,1.0356
2010-01-29,1.0116
2010-02-26,1.0063
2010-03-31,1.0406
2010-04-30,1.2019
2010-05-31,0
2010-06-30,0.8690
2010-07-30,0.9068
2010-08-31,1.0143
2010-09-30,1.0946
2010-10-29,1.0371
2010-11-30,0.9394
2010-12-31,1.0569
2011-01-31,1.1263
2011-02-28,1.2474
2011-03-31,1.1284
2011-04-29,1.1420
2011-05-31,1.1239
2011-06-30,1.0191
2011-07-29,0.9528
2011-08-31,0.8475
2011-09-30,0.7242
2011-10-31,1.0805
2011-11-30,1.0535
2011-12-30,1.2316
2012-01-31,1.1315
2012-02-29,1.2250
2012-03-30,1.2077
2012-04-30,1.0895
2012-05-31,1.0133
2012-06-29,1.0381
2012-07-31,0.9886
2012-08-31,1.0712
2012-09-28,1.0094
2012-10-31,0.9949
2012-11-30,0.9268
2012-12-31,0.9554
2013-01-31,1.0981
2013-02-28,1.2099
2013-03-29,0
2013-04-30,1.1466
2013-05-31,1.0172
2013-06-28,0.8945
2013-07-31,0.9118
2013-08-30,0.9067
2013-09-30,0.9906
2013-10-31,1.0550
2013-11-29,1.0671
2013-12-31,0.9841
