,ROCR_daily_60
2000-01-31,0.5974
2000-02-29,0.4286
2000-03-31,0.5057
2000-04-28,0.6119
2000-05-31,1.1257
2000-06-30,1.9608
2000-07-31,2.7153
2000-08-31,1.6018
2000-09-29,1.1111
2000-10-31,1.5647
2000-11-30,1.6398
2000-12-29,2.0614
2001-01-31,1.7773
2001-02-28,1.6648
2001-03-30,0.9631
2001-04-30,0.9044
2001-05-31,1.0982
2001-06-29,1.2565
2001-07-31,1.2175
2001-08-31,1.0984
2001-09-28,1.0351
2001-10-31,0.8273
2001-11-30,1.0837
2001-12-31,1.2875
2002-01-31,1.3481
2002-02-28,0.9868
2002-03-29,0
2002-04-30,1.0755
2002-05-31,1.0423
2002-06-28,0.9400
2002-07-31,0.9190
2002-08-30,0.9429
2002-09-30,1.0151
2002-10-31,1.1414
2002-11-29,1.1575
2002-12-31,1.0453
2003-01-31,0.9861
2003-02-28,0.8234
2003-03-31,0.8262
2003-04-30,0.8646
2003-05-30,1.1659
2003-06-30,1.2856
2003-07-31,1.1711
2003-08-29,1.2063
2003-09-30,1.1558
2003-10-31,1.2590
2003-11-28,1.2316
2003-12-31,1.1559
2004-01-30,1.0451
2004-02-27,1.1586
2004-03-31,1.1952
2004-04-30,1.2445
2004-05-31,0
2004-06-30,0.9636
2004-07-30,0.9181
2004-08-31,0.9620
2004-09-30,1.0380
2004-10-29,1.0594
2004-11-30,1.1051
2004-12-31,1.2431
2005-01-31,1.3325
2005-02-28,1.2708
2005-03-31,1.0633
2005-04-29,0.9671
2005-05-31,1.0456
2005-06-30,1.0654
2005-07-29,1.1463
2005-08-31,0.9920
2005-09-30,0.9987
2005-10-31,1.0592
2005-11-30,1.0993
2005-12-30,1.0110
2006-01-31,1.0735
2006-02-28,1.1124
2006-03-31,1.1619
2006-04-28,1.0382
2006-05-31,0.9106
2006-06-30,0.8522
2006-07-31,0.9817
2006-08-31,1.1632
2006-09-29,1.1530
2006-10-31,1.0016
2006-11-30,0.9500
2006-12-29,0.9736
2007-01-31,0.9868
2007-02-28,1.0429
2007-03-30,0.9619
2007-04-30,0.9949
