,ROCR_daily_60
2000-01-31,1.0471
2000-02-29,1.0979
2000-03-31,1.1161
2000-04-28,1.1368
2000-05-31,1.1262
2000-06-30,1.1614
2000-07-31,1.2523
2000-08-31,1.2393
2000-09-29,1.3116
2000-10-31,1.0309
2000-11-30,1.0872
2000-12-29,1.0005
2001-01-31,1.0107
2001-02-28,0.9644
2001-03-30,0.8716
2001-04-30,0.9138
2001-05-31,0.9229
2001-06-29,1.1054
2001-07-31,1.0981
2001-08-31,1.0994
2001-09-28,0.9889
2001-10-31,0.9294
2001-11-30,0.9161
2001-12-31,1.0605
2002-01-31,1.0014
2002-02-28,1.0081
2002-03-29,0
2002-04-30,1.1340
2002-05-31,1.0640
2002-06-28,1.0592
2002-07-31,0.9863
2002-08-30,1.0027
2002-09-30,0.9400
2002-10-31,0.9504
2002-11-29,0.9886
2002-12-31,1.0653
2003-01-31,1.0476
2003-02-28,1.0025
2003-03-31,1.0319
2003-04-30,1.1189
2003-05-30,1.1350
2003-06-30,1.0748
2003-07-31,1.0667
2003-08-29,1.0891
2003-09-30,1.0765
2003-10-31,0.9956
2003-11-28,1.0040
2003-12-31,1.0316
2004-01-30,1.0257
2004-02-27,0.9849
2004-03-31,1.0465
2004-04-30,1.0095
2004-05-31,0
2004-06-30,1.0406
2004-07-30,1.0631
2004-08-31,1.1363
2004-09-30,1.0476
2004-10-29,1.1794
2004-11-30,1.1004
2004-12-31,1.1235
2005-01-31,0.9091
2005-02-28,0.9005
2005-03-31,0.8446
2005-04-29,1.0426
2005-05-31,1.0800
2005-06-30,1.1952
2005-07-29,1.2409
2005-08-31,1.0883
2005-09-30,1.0639
2005-10-31,1.0451
2005-11-30,1.0172
2005-12-30,1.0617
2006-01-31,1.1126
2006-02-28,1.0962
2006-03-31,1.1515
2006-04-28,1.1002
2006-05-31,1.0583
2006-06-30,1.0534
2006-07-31,1.0923
2006-08-31,1.1853
2006-09-29,1.0638
2006-10-31,1.1219
2006-11-30,1.0682
2006-12-29,1.0457
2007-01-31,1.1012
2007-02-28,1.0740
2007-03-30,1.0091
2007-04-30,0.8947
2007-05-31,0.9928
2007-06-29,0.8967
2007-07-31,0.8517
2007-08-31,1.0025
2007-09-28,0.9866
2007-10-31,1.1383
2007-11-30,0.9111
2007-12-31,0.7855
2008-01-31,0.9363
2008-02-29,1.0429
2008-03-31,1.2004
2008-04-30,1.1251
2008-05-30,1.1231
2008-06-30,0.9231
2008-07-31,1.0174
2008-08-29,0.9528
2008-09-30,1.1175
2008-10-31,0.8477
2008-11-28,0.7544
2008-12-31,0.7358
2009-01-30,0.7646
2009-02-27,0.7945
2009-03-31,0.7784
2009-04-30,1.0245
2009-05-29,1.2268
2009-06-30,0.9234
2009-07-31,0.9769
2009-08-31,1.1146
2009-09-30,1.3455
2009-10-30,1.0496
2009-11-30,1.1396
2009-12-31,1.1167
2010-01-29,1.0632
2010-02-26,1.0902
2010-03-31,1.1014
2010-04-30,1.3378
2010-05-31,0
2010-06-30,1.0261
2010-07-30,0.9650
2010-08-31,1.0948
2010-09-30,1.1134
2010-10-29,1.0721
2010-11-30,1.0112
2010-12-31,1.0528
2011-01-31,1.0325
2011-02-28,1.1033
2011-03-31,1.0847
2011-04-29,1.1829
2011-05-31,1.1760
2011-06-30,1.0838
2011-07-29,1.0603
2011-08-31,1.0547
2011-09-30,0.8478
2011-10-31,1.1310
2011-11-30,0.9624
2011-12-30,1.1783
2012-01-31,1.0479
2012-02-29,1.0529
2012-03-30,1.1060
2012-04-30,1.0818
2012-05-31,1.0694
2012-06-29,1.0288
2012-07-31,1.0157
2012-08-31,1.0110
2012-09-28,0.9583
2012-10-31,0.9690
2012-11-30,0.9235
2012-12-31,0.9961
2013-01-31,1.0445
2013-02-28,1.0685
2013-03-29,0
2013-04-30,1.0262
2013-05-31,1.0505
2013-06-28,1.0284
2013-07-31,1.0493
2013-08-30,0.9248
2013-09-30,0.9391
2013-10-31,1.0309
2013-11-29,1.0769
2013-12-31,0.9705
2014-01-31,0.9738
2014-02-28,1.1075
2014-03-31,1.1708
2014-04-30,1.1146
2014-05-30,1.0688
2014-06-30,1.1029
2014-07-31,1.0818
2014-08-29,1.0517
2014-09-30,0.9690
2014-10-31,1.0822
2014-11-28,1.0514
2014-12-31,1.1531
2015-01-30,1.1172
2015-02-27,1.1105
2015-03-31,1.0997
2015-04-30,0.9778
2015-05-29,1.0125
2015-06-30,0.9264
2015-07-31,1.0298
2015-08-31,1.0075
2015-09-30,1.0116
2015-10-30,0.9816
2015-11-30,1.0951
2015-12-31,1.0622
2016-01-29,0.9485
2016-02-29,0.8945
2016-03-31,0.9922
2016-04-29,1.0550
2016-05-31,1.0283
2016-06-30,0.9885
2016-07-29,1.0427
2016-08-31,1.0933
2016-09-30,0.9804
2016-10-31,0.9349
2016-11-30,0.9454
2016-12-30,1.0976
2017-01-31,1.0485
2017-02-28,1.0946
2017-03-31,1.0097
2017-04-28,1.1109
2017-05-31,1.1186
2017-06-30,1.1194
2017-07-31,1.0518
2017-08-31,1.0159
2017-09-29,1.0069
2017-10-31,1.0105
2017-11-30,0.9464
2017-12-29,0.9439
2018-01-31,0.9245
2018-02-28,0.9128
2018-03-30,0
2018-04-30,1.0633
2018-05-31,1.0471
2018-06-29,0.9978
2018-07-31,1.0049
2018-08-31,1.0311
2018-09-28,1.0415
2018-10-31,1.0386
2018-11-30,1.0740
2018-12-31,1.0116
2019-01-31,1.0816
2019-02-28,1.0872
2019-03-29,1.2308
2019-04-30,1.0530
2019-05-31,1.0438
2019-06-28,1.0132
2019-07-31,1.0719
2019-08-30,1.0908
2019-09-30,1.0913
2019-10-31,1.0945
2019-11-29,0.9671
2019-12-31,0.9165
2020-01-31,0.9679
2020-02-28,0.9359
2020-03-31,0.7379
2020-04-30,0.7906
2020-05-29,0.8089
2020-06-30,1.2117
2020-07-31,0.9228
2020-08-31,0.8323
2020-09-30,0.8894
