,ROCR_daily_60
2000-01-31,1.0110
2000-02-29,0.8626
2000-03-31,0.5829
2000-04-28,0.5519
2000-05-31,0.7185
2000-06-30,0.7551
2000-07-31,0.7270
2000-08-31,1.0701
2000-09-29,0.9401
2000-10-31,0.9137
2000-11-30,0.8113
2000-12-29,0.9580
2001-01-31,1.5344
2001-02-28,1.7425
2001-03-30,1.4808
2001-04-30,1.1292
2001-05-31,1.0981
2001-06-29,0.8191
2001-07-31,0.7686
2001-08-31,0.8044
2001-09-28,0.9016
2001-10-31,1.0091
2001-11-30,1.0916
2001-12-31,1.3025
2002-01-31,1.4022
2002-02-28,1.0974
2002-03-29,0
2002-04-30,1.1205
2002-05-31,1.2636
2002-06-28,1.0342
2002-07-31,0.8632
2002-08-30,0.8261
2002-09-30,0.7871
2002-10-31,0.8106
2002-11-29,1.0764
2002-12-31,1.3995
2003-01-31,1.4007
2003-02-28,1.1272
2003-03-31,0.9771
2003-04-30,0.9490
2003-05-30,1.2937
2003-06-30,1.4190
2003-07-31,1.4773
2003-08-29,1.2989
2003-09-30,1.3554
2003-10-31,1.4827
2003-11-28,1.4182
2003-12-31,1.2064
2004-01-30,0.9565
2004-02-27,0.9578
2004-03-31,0.8939
2004-04-30,0.8539
2004-05-31,0
2004-06-30,0.8397
2004-07-30,1.1322
2004-08-31,1.1857
2004-09-30,1.1726
2004-10-29,1.1221
2004-11-30,1.0546
2004-12-31,0.9451
2005-01-31,1.0314
2005-02-28,1.0932
2005-03-31,1.0851
2005-04-29,0.9380
2005-05-31,0.8227
2005-06-30,0.9676
2005-07-29,1.1251
2005-08-31,1.1914
2005-09-30,1.2945
2005-10-31,1.2256
2005-11-30,1.2334
2005-12-30,1.2108
2006-01-31,1.2792
2006-02-28,0.9856
2006-03-31,1.0157
2006-04-28,1.0193
2006-05-31,1.0955
2006-06-30,0.8836
2006-07-31,0.8432
2006-08-31,1.1621
2006-09-29,0.9438
2006-10-31,1.1014
2006-11-30,1.0624
2006-12-29,1.1717
2007-01-31,0.9935
2007-02-28,0.9604
2007-03-30,1.3186
2007-04-30,1.1883
2007-05-31,1.4259
2007-06-29,1.2306
2007-07-31,1.3164
2007-08-31,1.1767
2007-09-28,1.2285
2007-10-31,1.3443
2007-11-30,1.0818
2007-12-31,0.9488
2008-01-31,0.7911
2008-02-29,1.0462
2008-03-31,0.9359
2008-04-30,1.2527
2008-05-30,1.1163
2008-06-30,1.0927
2008-07-31,0.8280
2008-08-29,0.7661
2008-09-30,0.5209
2008-10-31,0.3376
2008-11-28,0.3246
2008-12-31,0.5668
2009-01-30,0.8717
2009-02-27,1.4548
2009-03-31,1.4252
2009-04-30,1.6945
2009-05-29,1.6898
2009-06-30,1.1744
2009-07-31,1.1630
2009-08-31,1.1018
2009-09-30,1.5247
2009-10-30,1.1464
2009-11-30,1.2841
2009-12-31,1.1534
2010-01-29,0.8954
2010-02-26,0.9093
2010-03-31,1.0027
2010-04-30,1.0739
2010-05-31,0
2010-06-30,0.6783
2010-07-30,1.0204
2010-08-31,1.2330
2010-09-30,1.3626
2010-10-29,1.2837
2010-11-30,1.2938
2010-12-31,1.2982
2011-01-31,1.1348
2011-02-28,1.0171
2011-03-31,0.9394
2011-04-29,0.9826
2011-05-31,1.0138
2011-06-30,0.9487
2011-07-29,1.0511
2011-08-31,0.9511
2011-09-30,0.5512
2011-10-31,0.8815
2011-11-30,0.8989
2011-12-30,1.0763
2012-01-31,1.1686
2012-02-29,1.0900
2012-03-30,0.9608
2012-04-30,0.8489
2012-05-31,0.8195
2012-06-29,0.9037
2012-07-31,0.9339
2012-08-31,1.0851
2012-09-28,1.1266
2012-10-31,1.1695
2012-11-30,1.1036
2012-12-31,0.8685
2013-01-31,0.9059
2013-02-28,0.8256
2013-03-29,0
2013-04-30,0.8598
2013-05-31,0.9545
2013-06-28,0.9090
2013-07-31,0.9404
2013-08-30,1.0178
2013-09-30,1.2232
2013-10-31,1.2608
2013-11-29,1.1384
2013-12-31,1.1277
2014-01-31,0.8742
2014-02-28,0.9605
2014-03-31,0.8865
2014-04-30,1.1165
2014-05-30,1.0138
2014-06-30,1.1030
2014-07-31,1.1088
2014-08-29,1.0545
2014-09-30,0.8511
2014-10-31,0.7964
2014-11-28,0.7701
2014-12-31,0.7263
2015-01-30,0.6139
2015-02-27,0.8378
2015-03-31,0.8166
2015-04-30,1.2294
2015-05-29,0.9441
2015-06-30,0.9750
2015-07-31,0.5100
2015-08-31,0.5466
2015-09-30,0.5671
2015-10-30,1.0541
2015-11-30,0.8107
2015-12-31,0.5745
2016-01-29,0.3892
2016-02-29,0.9160
2016-03-31,1.5786
2016-04-29,2.8866
2016-05-31,1.1376
2016-06-30,1.1592
2016-07-29,1.0983
2016-08-31,0.9155
2016-09-30,1.0178
2016-10-31,0.9141
2016-11-30,1.4319
2016-12-30,1.2362
2017-01-31,1.5678
2017-02-28,0.8730
2017-03-31,0.9009
2017-04-28,0.7571
2017-05-31,0.8907
2017-06-30,0.8936
2017-07-31,1.2517
2017-08-31,1.2611
2017-09-29,1.1808
2017-10-31,0.9510
2017-11-30,0.9243
2017-12-29,1.3049
2018-01-31,1.3703
2018-02-28,1.3362
2018-03-30,0
2018-04-30,0.7842
2018-05-31,0.9063
2018-06-29,0.9557
2018-07-31,1.0731
2018-08-31,0.7859
2018-09-28,0.8226
2018-10-31,0.7614
2018-11-30,0.8833
2018-12-31,0.7420
2019-01-31,0.9520
2019-02-28,1.0961
2019-03-29,1.2496
2019-04-30,1.0734
2019-05-31,0.7771
2019-06-28,0.8854
2019-07-31,0.9480
2019-08-30,0.9060
2019-09-30,0.8515
2019-10-31,0.9793
2019-11-29,1.2004
2019-12-31,1.4936
2020-01-31,1.0317
2020-02-28,0.8732
2020-03-31,0.5293
2020-04-30,0.7334
2020-05-29,0.8679
2020-06-30,1.8307
2020-07-31,1.5041
2020-08-31,1.4374
2020-09-30,1.2286
2020-10-30,1.1909
2020-11-30,1.5032
2020-12-31,1.6552
2021-01-29,1.4753
2021-02-26,1.4498
2021-03-31,1.2133
2021-04-30,1.2941
2021-05-31,0
2021-06-30,1.0622
2021-07-30,0.9192
2021-08-31,0.8839
2021-09-30,0.9003
2021-10-29,1.0543
2021-11-30,1.0281
2021-12-31,1.3186
2022-01-31,0.9752
2022-02-28,1.2981
2022-03-31,1.1821
