,ROCR_daily_60
2000-01-31,0.9506
2000-02-29,0.7611
2000-03-31,0.9519
2000-04-28,1.0140
2000-05-31,1.4601
2000-06-30,1.0042
2000-07-31,1.0592
2000-08-31,0.9808
2000-09-29,1.1892
2000-10-31,1.1487
2000-11-30,1.1418
2000-12-29,1.0514
2001-01-31,1.1428
2001-02-28,1.0063
2001-03-30,0.8985
2001-04-30,0.9234
2001-05-31,1.0881
2001-06-29,1.1916
2001-07-31,1.1682
2001-08-31,0.9713
2001-09-28,1.0013
2001-10-31,0.8978
2001-11-30,1.0376
2001-12-31,1.0273
2002-01-31,1.1091
2002-02-28,1.0650
2002-03-29,0
2002-04-30,1.0847
2002-05-31,0.9666
2002-06-28,1.0093
2002-07-31,0.9801
2002-08-30,1.0580
2002-09-30,0.9140
2002-10-31,0.9941
2002-11-29,0.8412
2002-12-31,1.0233
2003-01-31,0.8426
2003-02-28,0.9231
2003-03-31,0.8350
2003-04-30,0.9473
2003-05-30,1.0981
2003-06-30,1.1765
2003-07-31,1.0697
2003-08-29,0.9955
2003-09-30,0.9509
2003-10-31,1.0854
2003-11-28,0.9949
2003-12-31,1.0128
2004-01-30,0.9960
2004-02-27,0.9622
2004-03-31,0.9327
2004-04-30,0.9238
2004-05-31,0
2004-06-30,0.9927
2004-07-30,0.9281
2004-08-31,0.9236
2004-09-30,0.9354
2004-10-29,1.0240
2004-11-30,1.0201
2004-12-31,0.9506
2005-01-31,0.9363
2005-02-28,0.8749
2005-03-31,0.9114
2005-04-29,0.9255
2005-05-31,0.9377
2005-06-30,0.9619
2005-07-29,0.9902
2005-08-31,0.9976
2005-09-30,0.8984
2005-10-31,0.9460
2005-11-30,0.9771
2005-12-30,1.0672
2006-01-31,0.9432
2006-02-28,0.9694
2006-03-31,1.0365
2006-04-28,1.0888
2006-05-31,1.0104
2006-06-30,0.9412
2006-07-31,0.9728
2006-08-31,1.0355
2006-09-29,1.0365
2006-10-31,1.0269
2006-11-30,1.0168
2006-12-29,1.0687
2007-01-31,1.0178
2007-02-28,1.0317
2007-03-30,0.9544
2007-04-30,1.0196
2007-05-31,1.0665
2007-06-29,1.0396
2007-07-31,0.9064
2007-08-31,0.8681
2007-09-28,0.8514
2007-10-31,0.8010
2007-11-30,0.8589
2007-12-31,0.7328
2008-01-31,0.9240
2008-02-29,0.7772
2008-03-31,0.8747
2008-04-30,0.8074
2008-05-30,0.8536
2008-06-30,0.4548
2008-07-31,0.6310
2008-08-29,0.9117
2008-09-30,1.1649
2008-10-31,0.7300
2008-11-28,0.6352
2008-12-31,0.6802
2009-01-30,0.2081
2009-02-27,0.2608
2009-03-31,0.3414
2009-04-30,2.3002
2009-05-29,4.0287
2009-06-30,2.1677
2009-07-31,1.8025
2009-08-31,1.5366
2009-09-30,1.4890
2009-10-30,0.9510
2009-11-30,0.9721
2009-12-31,0.9888
2010-01-29,1.3506
2010-02-26,1.2125
2010-03-31,1.3409
2010-04-30,1.2439
2010-05-31,0
2010-06-30,0.8571
2010-07-30,0.8718
2010-08-31,0.8968
2010-09-30,0.9319
2010-10-29,0.9625
2010-11-30,1.0025
2010-12-31,1.1962
2011-01-31,1.1402
2011-02-28,1.1912
2011-03-31,0.9467
2011-04-29,0.8624
2011-05-31,0.9437
2011-06-30,0.9223
2011-07-29,0.9665
2011-08-31,0.8675
2011-09-30,0.7892
2011-10-31,1.0751
2011-11-30,1.2498
2011-12-30,1.2048
2012-01-31,1.1063
2012-02-29,1.1462
2012-03-30,1.0790
2012-04-30,1.0813
2012-05-31,1.0379
2012-06-29,0.9314
2012-07-31,0.9939
2012-08-31,1.1957
2012-09-28,1.1629
2012-10-31,1.0391
2012-11-30,0.9791
2012-12-31,0.9897
2013-01-31,1.1403
2013-02-28,1.0891
2013-03-29,0
2013-04-30,1.0397
2013-05-31,1.1430
2013-06-28,1.1392
2013-07-31,1.1196
2013-08-30,1.0190
2013-09-30,0.9732
2013-10-31,0.9969
2013-11-29,1.1039
2013-12-31,1.1628
2014-01-31,1.1222
2014-02-28,1.0802
2014-03-31,1.1058
2014-04-30,1.0107
2014-05-30,0.9369
2014-06-30,0.9263
2014-07-31,1.0160
2014-08-29,0.9688
2014-09-30,0.9341
2014-10-31,1.0306
2014-11-28,0.9916
2014-12-31,1.0293
2015-01-30,0.8722
2015-02-27,0.9864
2015-03-31,0.9391
2015-04-30,1.1034
2015-05-29,1.0570
2015-06-30,1.1036
2015-07-31,1.0541
2015-08-31,0.9617
2015-09-30,0.9195
2015-10-30,0.9036
2015-11-30,1.0674
2015-12-31,1.0674
2016-01-29,0.8133
2016-02-29,0.7306
2016-03-31,0.8604
2016-04-29,1.2013
2016-05-31,1.1102
2016-06-30,1.0750
2016-07-29,1.0906
2016-08-31,1.0693
2016-09-30,1.2147
2016-10-31,1.1189
2016-11-30,1.3178
2016-12-30,1.3071
2017-01-31,1.2134
2017-02-28,1.0600
2017-03-31,0.9315
