,ROCR_daily_60
2000-01-31,1.0439
2000-02-29,1.0873
2000-03-31,1.0470
2000-04-28,1.1048
2000-05-31,1.1602
2000-06-30,1.0358
2000-07-31,0.9903
2000-08-31,0.9315
2000-09-29,0.9059
2000-10-31,0.9530
2000-11-30,0.9830
2000-12-29,1.0143
2001-01-31,1.0632
2001-02-28,1.0537
2001-03-30,1.0273
2001-04-30,1.0060
2001-05-31,1.0655
2001-06-29,1.1021
2001-07-31,1.1147
2001-08-31,1.0874
2001-09-28,1.0602
2001-10-31,1.0215
2001-11-30,0.9923
2001-12-31,1.0945
2002-01-31,1.1107
2002-02-28,1.1480
2002-03-29,0
2002-04-30,1.1337
2002-05-31,1.0651
2002-06-28,1.0764
2002-07-31,1.0359
2002-08-30,1.0047
2002-09-30,0.9937
2002-10-31,0.9938
2002-11-29,1.0365
2002-12-31,1.0898
2003-01-31,1.0569
2003-02-28,1.0842
2003-03-31,1.0884
2003-04-30,1.1203
2003-05-30,1.1431
2003-06-30,1.0515
2003-07-31,1.1244
2003-08-29,1.0763
2003-09-30,1.0857
2003-10-31,1.1069
2003-11-28,1.1095
2003-12-31,1.0221
2004-01-30,1.0828
2004-02-27,1.0774
2004-03-31,1.2101
2004-04-30,0.9001
2004-05-31,0
2004-06-30,0.9142
2004-07-30,1.1417
2004-08-31,1.1471
2004-09-30,1.0529
2004-10-29,1.1267
2004-11-30,1.1137
2004-12-31,1.1532
2005-01-31,0.9852
2005-02-28,0.9888
2005-03-31,0.9552
2005-04-29,1.1247
2005-05-31,1.0764
2005-06-30,1.2349
2005-07-29,1.2333
2005-08-31,1.0884
2005-09-30,1.0201
2005-10-31,0.9951
2005-11-30,1.0139
2005-12-30,1.0323
2006-01-31,1.1183
2006-02-28,1.1166
2006-03-31,1.2157
2006-04-28,1.0275
2006-05-31,0.9664
2006-06-30,0.9814
2006-07-31,1.0857
2006-08-31,1.0748
2006-09-29,1.0477
2006-10-31,1.1007
2006-11-30,1.1512
2006-12-29,1.1361
2007-01-31,1.1737
2007-02-28,1.0826
2007-03-30,1.0797
2007-04-30,0.9606
2007-05-31,0.9965
2007-06-29,0.8517
2007-07-31,0.8398
2007-08-31,1.0167
2007-09-28,1.1083
2007-10-31,1.1035
2007-11-30,0.9930
2007-12-31,0.8835
2008-01-31,0.8947
2008-02-29,0.8754
2008-03-31,0.9597
2008-04-30,1.0686
2008-05-30,1.1541
2008-06-30,0.8521
2008-07-31,0.8707
2008-08-29,0.9318
2008-09-30,1.3016
2008-10-31,0.8353
2008-11-28,0.7721
2008-12-31,0.8861
2009-01-30,0.8721
2009-02-27,0.9267
2009-03-31,0.7853
2009-04-30,1.0997
2009-05-29,1.3174
2009-06-30,1.0274
2009-07-31,1.0067
2009-08-31,1.1492
2009-09-30,1.2565
2009-10-30,1.0421
2009-11-30,1.0940
2009-12-31,1.1294
2010-01-29,1.0861
2010-02-26,1.0825
2010-03-31,1.0962
2010-04-30,1.1701
2010-05-31,0
2010-06-30,0.9322
2010-07-30,1.0269
2010-08-31,1.1379
2010-09-30,1.1392
2010-10-29,1.0425
2010-11-30,0.9438
2010-12-31,0.9452
2011-01-31,0.9839
2011-02-28,1.0872
2011-03-31,1.0491
2011-04-29,1.0987
2011-05-31,1.0784
2011-06-30,1.0529
2011-07-29,1.0051
2011-08-31,1.0772
2011-09-30,0.9290
2011-10-31,1.1110
2011-11-30,1.0229
2011-12-30,1.1192
2012-01-31,1.0847
2012-02-29,1.0990
2012-03-30,1.0925
2012-04-30,1.0658
2012-05-31,1.0302
2012-06-29,1.0825
2012-07-31,1.0814
2012-08-31,1.0963
2012-09-28,0.9994
2012-10-31,1.0032
2012-11-30,0.9567
2012-12-31,0.9946
2013-01-31,1.0138
2013-02-28,1.0357
2013-03-29,0
2013-04-30,1.1087
2013-05-31,1.0072
2013-06-28,0.9517
2013-07-31,0.9045
2013-08-30,0.9110
2013-09-30,1.0013
2013-10-31,1.0083
2013-11-29,1.0731
2013-12-31,0.9956
2014-01-31,1.0169
2014-02-28,1.0875
2014-03-31,1.1451
2014-04-30,1.1144
2014-05-30,1.0821
2014-06-30,1.0692
2014-07-31,1.0384
2014-08-29,1.0201
2014-09-30,0.9819
2014-10-31,1.0934
2014-11-28,1.0674
2014-12-31,1.1213
2015-01-30,1.0693
2015-02-27,1.0833
2015-03-31,1.0909
2015-04-30,0.9240
2015-05-29,0.9600
2015-06-30,0.8640
2015-07-31,1.0437
2015-08-31,0.9963
2015-09-30,1.0232
2015-10-30,1.0643
2015-11-30,1.1499
2015-12-31,1.0607
2016-01-29,1.0298
2016-02-29,1.0091
2016-03-31,1.0838
2016-04-29,1.0044
2016-05-31,1.0299
2016-06-30,1.0598
2016-07-29,1.0888
2016-08-31,1.0308
2016-09-30,0.9315
2016-10-31,0.8888
2016-11-30,0.8823
2016-12-30,0.9887
2017-01-31,1.0064
2017-02-28,1.0092
2017-03-31,0.9328
2017-04-28,0.9593
2017-05-31,0.9210
2017-06-30,0.9570
2017-07-31,1.0173
2017-08-31,1.0236
2017-09-29,0.9987
2017-10-31,0.9107
2017-11-30,1.0306
2017-12-29,1.0694
2018-01-31,0.9501
2018-02-28,0.8683
2018-03-30,0
2018-04-30,0.9922
2018-05-31,1.0251
2018-06-29,1.0786
2018-07-31,1.0656
2018-08-31,1.0897
2018-09-28,1.0095
2018-10-31,0.9991
2018-11-30,1.0145
2018-12-31,0.9714
2019-01-31,1.0758
2019-02-28,1.0294
2019-03-29,1.1994
2019-04-30,1.0204
2019-05-31,0.9921
2019-06-28,0.9444
2019-07-31,1.0014
2019-08-30,0.9847
2019-09-30,1.0479
2019-10-31,1.0616
2019-11-29,0.9977
2019-12-31,0.9548
2020-01-31,0.9416
2020-02-28,0.9039
2020-03-31,0.5974
2020-04-30,0.6608
2020-05-29,0.6611
2020-06-30,1.3108
2020-07-31,1.0537
2020-08-31,0.8025
2020-09-30,0.9050
2020-10-30,0.9130
2020-11-30,1.0745
2020-12-31,1.0992
2021-01-29,1.2407
2021-02-26,1.1744
2021-03-31,1.2451
2021-04-30,1.2964
2021-05-31,0
2021-06-30,1.1248
2021-07-30,1.0789
2021-08-31,1.0261
2021-09-30,1.0395
2021-10-29,1.0028
2021-11-30,1.0076
2021-12-31,1.1318
2022-01-31,1.0002
2022-02-28,0.9782
2022-03-31,0.8839
