,ROCR_daily_60
2000-01-31,0.7628
2000-02-29,0.6699
2000-03-31,1.2397
2000-04-28,1.3262
2000-05-31,1.9126
2000-06-30,1.1475
2000-07-31,1.2586
2000-08-31,1.1997
2000-09-29,1.2748
2000-10-31,1.0837
2000-11-30,1.0517
2000-12-29,0.9394
2001-01-31,0.8346
2001-02-28,0.9025
2001-03-30,0.8848
2001-04-30,1.0198
2001-05-31,1.0518
2001-06-29,1.1897
2001-07-31,1.0554
2001-08-31,0.9604
2001-09-28,0.8369
2001-10-31,0.8176
2001-11-30,0.9214
2001-12-31,1.0615
2002-01-31,1.1920
2002-02-28,1.1361
2002-03-29,0
2002-04-30,1.0597
2002-05-31,0.9665
2002-06-28,0.8716
2002-07-31,0.7487
2002-08-30,0.7965
2002-09-30,0.7069
2002-10-31,0.8280
2002-11-29,1.0696
2002-12-31,1.1824
2003-01-31,0.9751
2003-02-28,0.7264
2003-03-31,0.7575
2003-04-30,0.9927
2003-05-30,1.3087
2003-06-30,1.3538
2003-07-31,1.1641
2003-08-29,1.1275
2003-09-30,1.0097
2003-10-31,1.0333
2003-11-28,1.0167
2003-12-31,1.0876
2004-01-30,1.1639
2004-02-27,1.1686
2004-03-31,1.0710
2004-04-30,0.9568
2004-05-31,0
2004-06-30,1.0505
2004-07-30,1.0611
2004-08-31,0.9357
2004-09-30,0.9291
2004-10-29,0.9298
2004-11-30,1.0499
2004-12-31,1.0924
2005-01-31,1.1341
2005-02-28,1.0970
2005-03-31,1.0005
2005-04-29,1.0558
2005-05-31,1.0295
2005-06-30,1.0854
2005-07-29,1.0711
2005-08-31,0.9846
2005-09-30,1.0102
2005-10-31,1.0378
2005-11-30,1.1616
2005-12-30,1.1325
2006-01-31,1.0153
2006-02-28,0.9474
2006-03-31,0.9131
2006-04-28,1.1217
2006-05-31,1.0802
2006-06-30,1.0220
2006-07-31,0.9401
2006-08-31,0.9809
2006-09-29,1.0351
2006-10-31,1.0707
2006-11-30,1.0164
2006-12-29,1.0480
2007-01-31,1.0973
2007-02-28,1.1110
2007-03-30,1.0235
2007-04-30,1.0563
2007-05-31,1.0840
2007-06-29,1.0192
2007-07-31,0.8899
2007-08-31,0.9115
2007-09-28,0.9412
2007-10-31,1.0609
2007-11-30,1.0850
2007-12-31,0.9135
2008-01-31,0.8595
2008-02-29,0.7431
2008-03-31,0.8987
2008-04-30,0.8898
2008-05-30,1.0435
2008-06-30,0.8349
2008-07-31,0.8800
2008-08-29,0.8681
2008-09-30,0.6497
2008-10-31,0.1638
2008-11-28,0.1426
2008-12-31,0.5537
2009-01-30,0.8423
2009-02-27,0.9293
2009-03-31,0.4625
2009-04-30,0.7906
2009-05-29,2.7996
2009-06-30,1.3629
2009-07-31,1.0980
2009-08-31,1.5953
2009-09-30,2.4612
2009-10-30,1.3804
2009-11-30,1.1249
2009-12-31,0.8231
2010-01-29,0.9690
2010-02-26,0.9984
2010-03-31,1.1936
2010-04-30,1.1647
2010-05-31,0
2010-06-30,0.7638
2010-07-30,0.8598
2010-08-31,0.9071
2010-09-30,1.0267
2010-10-29,1.0587
2010-11-30,0.9911
2010-12-31,1.1183
2011-01-31,1.0888
2011-02-28,1.2769
2011-03-31,0.9671
2011-04-29,1.0408
2011-05-31,0.9350
2011-06-30,0.9710
2011-07-29,0.8381
2011-08-31,0.7770
2011-09-30,0.6002
2011-10-31,0.9407
2011-11-30,1.0693
2011-12-30,0.9646
2012-01-31,0.9282
2012-02-29,1.1589
2012-03-30,1.2791
2012-04-30,1.1150
2012-05-31,0.8744
2012-06-29,0.8365
2012-07-31,0.8417
2012-08-31,1.0429
2012-09-28,1.1326
2012-10-31,1.2911
2012-11-30,1.2023
2012-12-31,1.1451
2013-01-31,1.1720
2013-02-28,1.1147
2013-03-29,0
2013-04-30,1.1188
2013-05-31,1.2718
2013-06-28,1.1999
2013-07-31,1.0664
2013-08-30,1.0088
2013-09-30,0.9973
2013-10-31,1.0800
2013-11-29,1.1639
2013-12-31,1.1524
2014-01-31,0.9823
2014-02-28,0.9843
2014-03-31,1.0005
2014-04-30,1.1193
2014-05-30,0.9688
2014-06-30,0.9982
2014-07-31,0.9810
2014-08-29,1.0371
2014-09-30,1.0172
2014-10-31,1.1750
2014-11-28,1.1278
2014-12-31,1.1326
2015-01-30,0.9856
2015-02-27,0.9988
2015-03-31,1.0051
2015-04-30,1.0333
2015-05-29,1.0189
2015-06-30,0.9863
2015-07-31,1.1685
2015-08-31,1.1112
2015-09-30,1.0421
2015-10-30,0.9744
2015-11-30,1.0011
2015-12-31,0.9381
2016-01-29,0.8632
2016-02-29,0.9117
2016-03-31,1.0846
2016-04-29,1.1452
2016-05-31,1.0370
2016-06-30,0.9670
2016-07-29,0.9080
2016-08-31,0.9266
2016-09-30,1.0075
2016-10-31,1.0907
2016-11-30,1.1623
2016-12-30,1.0851
2017-01-31,1.1099
2017-02-28,1.0376
2017-03-31,0.9948
2017-04-28,1.0030
2017-05-31,1.0170
2017-06-30,1.1059
2017-07-31,1.1195
2017-08-31,1.0923
2017-09-29,1.0591
2017-10-31,0.9877
2017-11-30,1.0932
2017-12-29,1.0152
2018-01-31,1.0593
2018-02-28,0.9201
2018-03-30,0
2018-04-30,0.9205
2018-05-31,0.9662
2018-06-29,0.9842
2018-07-31,1.0042
2018-08-31,0.9604
2018-09-28,0.9721
2018-10-31,0.8644
2018-11-30,0.8919
2018-12-31,0.9096
2019-01-31,1.0314
2019-02-28,1.1223
2019-03-29,1.1520
2019-04-30,1.1193
2019-05-31,1.0924
2019-06-28,1.1271
2019-07-31,1.1029
2019-08-30,1.0653
2019-09-30,1.0697
2019-10-31,0.9890
2019-11-29,1.0362
2019-12-31,1.0261
2020-01-31,1.0354
2020-02-28,0.8181
2020-03-31,0.5849
2020-04-30,0.6625
2020-05-29,0.7164
2020-06-30,1.2092
2020-07-31,1.2729
2020-08-31,0.8737
2020-09-30,0.9994
2020-10-30,0.9339
2020-11-30,1.0852
2020-12-31,1.3015
2021-01-29,1.2296
2021-02-26,1.1548
2021-03-31,1.3927
2021-04-30,1.3436
2021-05-31,0
2021-06-30,0.9189
2021-07-30,0.9589
2021-08-31,1.0368
2021-09-30,1.1415
2021-10-29,1.1208
2021-11-30,0.9764
2021-12-31,0.9587
2022-01-31,0.9759
2022-02-28,1.0753
2022-03-31,1.0195
