,ROCR_daily_60
2000-01-31,0.8267
2000-02-29,0.7993
2000-03-31,1.1335
2000-04-28,1.0910
2000-05-31,1.1565
2000-06-30,0.9918
2000-07-31,1.1119
2000-08-31,1.0564
2000-09-29,1.1359
2000-10-31,1.0210
2000-11-30,1.1248
2000-12-29,1.3177
2001-01-31,1.3142
2001-02-28,1.2556
2001-03-30,1.0711
2001-04-30,1.0578
2001-05-31,1.1025
2001-06-29,1.1323
2001-07-31,1.1207
2001-08-31,0.9591
2001-09-28,0.9538
2001-10-31,0.8098
2001-11-30,0.9684
2001-12-31,1.0259
2002-01-31,1.1406
2002-02-28,1.0887
2002-03-29,0
2002-04-30,1.1298
2002-05-31,1.0969
2002-06-28,1.0677
2002-07-31,0.9661
2002-08-30,1.0411
2002-09-30,0.9423
2002-10-31,1.0016
2002-11-29,0.9749
2002-12-31,1.1006
2003-01-31,0.9767
2003-02-28,0.9673
2003-03-31,0.9658
2003-04-30,1.0679
2003-05-30,1.1336
2003-06-30,1.0313
2003-07-31,1.0242
2003-08-29,0.9400
2003-09-30,1.0223
2003-10-31,1.0963
2003-11-28,1.0926
2003-12-31,1.0891
2004-01-30,0.9459
2004-02-27,1.0179
2004-03-31,0.9263
2004-04-30,0.9506
2004-05-31,0
2004-06-30,0.9832
2004-07-30,1.0828
2004-08-31,1.0405
2004-09-30,1.0913
2004-10-29,1.1054
2004-11-30,1.1022
2004-12-31,1.0972
2005-01-31,0.9918
2005-02-28,0.9248
2005-03-31,0.9678
2005-04-29,1.0089
2005-05-31,0.9800
2005-06-30,1.0226
2005-07-29,1.0419
2005-08-31,1.0439
2005-09-30,1.0040
2005-10-31,1.0065
2005-11-30,1.0017
2005-12-30,1.0652
2006-01-31,1.0161
2006-02-28,1.0427
2006-03-31,1.0299
2006-04-28,1.1076
2006-05-31,1.0382
2006-06-30,1.0355
2006-07-31,1.0487
2006-08-31,1.0559
2006-09-29,1.0340
2006-10-31,0.9896
2006-11-30,0.9880
2006-12-29,1.0226
2007-01-31,1.0075
2007-02-28,1.0105
2007-03-30,0.9488
2007-04-30,0.9198
2007-05-31,0.9384
2007-06-29,1.0275
2007-07-31,0.9406
2007-08-31,0.9935
2007-09-28,0.9640
2007-10-31,0.9424
2007-11-30,0.8655
2007-12-31,0.7677
2008-01-31,1.0061
2008-02-29,0.9194
2008-03-31,1.0143
2008-04-30,1.0435
2008-05-30,1.1112
2008-06-30,0.8566
2008-07-31,0.7500
2008-08-29,0.8501
2008-09-30,1.2973
2008-10-31,1.1244
2008-11-28,0.8945
2008-12-31,0.6810
2009-01-30,0.4797
2009-02-27,0.6628
2009-03-31,0.8036
2009-04-30,1.4345
2009-05-29,1.5222
2009-06-30,1.0920
2009-07-31,1.0379
2009-08-31,1.2895
2009-09-30,1.1951
2009-10-30,1.0766
2009-11-30,1.1356
2009-12-31,1.0853
2010-01-29,1.1782
2010-02-26,1.1913
2010-03-31,1.1952
2010-04-30,1.2212
2010-05-31,0
2010-06-30,1.0144
2010-07-30,1.0078
2010-08-31,1.1631
2010-09-30,0.9244
2010-10-29,0.8597
2010-11-30,0.8733
2010-12-31,1.1132
2011-01-31,1.0815
2011-02-28,1.1306
2011-03-31,1.0250
2011-04-29,1.0272
2011-05-31,1.0113
2011-06-30,0.9996
2011-07-29,0.9995
2011-08-31,0.8988
2011-09-30,0.7905
2011-10-31,0.9767
2011-11-30,1.0296
2011-12-30,1.1006
2012-01-31,1.1016
2012-02-29,1.1195
2012-03-30,1.1230
2012-04-30,1.0802
2012-05-31,1.0420
2012-06-29,0.9647
2012-07-31,1.0120
2012-08-31,1.1074
2012-09-28,1.1443
2012-10-31,1.2004
2012-11-30,1.1257
2012-12-31,1.0371
2013-01-31,0.9988
2013-02-28,1.0518
2013-03-29,0
2013-04-30,0.9708
2013-05-31,1.0170
2013-06-28,1.1071
2013-07-31,1.1620
2013-08-30,1.1106
2013-09-30,0.9674
2013-10-31,0.9647
2013-11-29,1.0013
2013-12-31,1.0380
2014-01-31,1.0049
2014-02-28,1.0229
2014-03-31,1.0606
2014-04-30,1.1230
2014-05-30,1.0402
2014-06-30,1.0240
2014-07-31,1.0234
2014-08-29,1.0089
2014-09-30,0.9947
2014-10-31,1.0341
2014-11-28,1.0212
2014-12-31,1.0280
2015-01-30,0.9350
2015-02-27,0.9799
2015-03-31,1.0187
2015-04-30,1.0175
2015-05-29,0.9929
2015-06-30,1.0153
2015-07-31,1.0917
2015-08-31,0.9602
2015-09-30,0.9811
2015-10-30,0.9210
2015-11-30,1.0657
2015-12-31,1.0377
2016-01-29,0.9161
2016-02-29,0.8183
2016-03-31,0.9511
2016-04-29,1.1218
2016-05-31,1.0905
2016-06-30,1.0726
2016-07-29,1.0097
2016-08-31,1.0046
2016-09-30,1.0227
2016-10-31,1.0534
2016-11-30,1.2491
2016-12-30,1.3314
2017-01-31,1.3411
2017-02-28,1.1600
2017-03-31,0.9856
2017-04-28,0.9594
2017-05-31,0.9416
2017-06-30,1.0678
2017-07-31,1.0304
2017-08-31,0.9482
2017-09-29,0.9894
2017-10-31,1.0244
2017-11-30,1.1691
2017-12-29,1.0688
2018-01-31,1.1337
2018-02-28,1.1236
2018-03-30,0
2018-04-30,0.9489
2018-05-31,0.8850
2018-06-29,0.9163
2018-07-31,0.9651
2018-08-31,1.0027
2018-09-28,0.9786
2018-10-31,0.9474
2018-11-30,0.9517
2018-12-31,0.8613
2019-01-31,1.0092
2019-02-28,1.0320
2019-03-29,1.0900
2019-04-30,1.0430
2019-05-31,0.9453
2019-06-28,1.0572
2019-07-31,0.9735
2019-08-30,0.8821
2019-09-30,0.9140
2019-10-31,1.0465
2019-11-29,1.1274
2019-12-31,1.1093
2020-01-31,1.0341
2020-02-28,0.8595
2020-03-31,0.6156
2020-04-30,0.6624
2020-05-29,0.7461
2020-06-30,1.1460
2020-07-31,1.0692
2020-08-31,0.8464
2020-09-30,0.9445
2020-10-30,1.0108
2020-11-30,1.1336
2020-12-31,1.3053
2021-01-29,1.2610
2021-02-26,1.3052
2021-03-31,1.2042
2021-04-30,1.1562
2021-05-31,0
2021-06-30,0.9561
2021-07-30,0.8384
2021-08-31,0.8835
2021-09-30,1.0637
2021-10-29,1.1034
2021-11-30,1.0634
2021-12-31,1.0168
2022-01-31,1.0715
2022-02-28,1.2734
2022-03-31,1.0403
