,ROCR_daily_60
2000-01-31,0.8591
2000-02-29,0.8898
2000-03-31,1.0793
2000-04-28,1.1034
2000-05-31,1.3176
2000-06-30,1.0866
2000-07-31,1.0649
2000-08-31,1.1186
2000-09-29,1.3218
2000-10-31,1.2396
2000-11-30,1.1874
2000-12-29,1.1323
2001-01-31,0.9065
2001-02-28,0.9904
2001-03-30,0.9210
2001-04-30,1.0527
2001-05-31,0.9055
2001-06-29,0.9999
2001-07-31,0.9833
2001-08-31,0.9268
2001-09-28,0.9023
2001-10-31,0.9933
2001-11-30,1.0204
2001-12-31,1.0484
2002-01-31,1.0099
2002-02-28,0.9692
2002-03-29,0
2002-04-30,1.2054
2002-05-31,1.1208
2002-06-28,1.0080
2002-07-31,0.9175
2002-08-30,1.0186
2002-09-30,0.9366
2002-10-31,1.0757
2002-11-29,1.0679
2002-12-31,1.1311
2003-01-31,0.9649
2003-02-28,0.9827
2003-03-31,0.9711
2003-04-30,1.0517
2003-05-30,1.1606
2003-06-30,1.1634
2003-07-31,1.0359
2003-08-29,0.9366
2003-09-30,0.9730
2003-10-31,1.0459
2003-11-28,1.0389
2003-12-31,1.0190
2004-01-30,1.0325
2004-02-27,1.0420
2004-03-31,1.0513
2004-04-30,0.9926
2004-05-31,0
2004-06-30,0.9739
2004-07-30,1.0595
2004-08-31,1.1037
2004-09-30,1.0978
2004-10-29,1.0364
2004-11-30,1.0282
2004-12-31,1.0993
2005-01-31,1.1103
2005-02-28,1.1311
2005-03-31,1.0963
2005-04-29,1.0533
2005-05-31,1.0044
2005-06-30,1.0525
2005-07-29,1.0671
2005-08-31,1.0651
2005-09-30,1.1243
2005-10-31,1.0313
2005-11-30,0.9506
2005-12-30,0.9131
2006-01-31,0.9971
2006-02-28,0.9891
2006-03-31,0.9632
2006-04-28,0.9633
2006-05-31,1.0043
2006-06-30,1.0273
2006-07-31,1.1078
2006-08-31,1.1002
2006-09-29,1.1125
2006-10-31,1.1902
2006-11-30,1.2236
2006-12-29,1.1704
2007-01-31,1.1059
2007-02-28,1.1209
2007-03-30,1.1179
2007-04-30,1.1282
2007-05-31,1.1049
2007-06-29,0.9252
2007-07-31,0.9088
2007-08-31,1.0244
2007-09-28,1.0791
2007-10-31,1.0950
2007-11-30,1.1774
2007-12-31,1.0911
2008-01-31,0.9721
2008-02-29,0.8498
2008-03-31,0.9521
2008-04-30,1.0000
2008-05-30,1.0861
2008-06-30,1.0012
2008-07-31,0.9742
2008-08-29,0.9171
2008-09-30,0.7836
2008-10-31,0.8053
2008-11-28,0.8726
2008-12-31,1.1313
2009-01-30,1.1170
2009-02-27,1.0106
2009-03-31,0.9918
2009-04-30,1.0407
2009-05-29,1.2669
2009-06-30,1.0846
2009-07-31,1.0060
2009-08-31,1.0285
2009-09-30,1.0228
2009-10-30,0.8688
2009-11-30,0.9463
2009-12-31,0.9890
2010-01-29,1.0033
2010-02-26,0.9017
2010-03-31,0.9172
2010-04-30,1.0648
2010-05-31,0
2010-06-30,1.0012
2010-07-30,1.0370
2010-08-31,1.1061
2010-09-30,1.0807
2010-10-29,1.0431
2010-11-30,0.9355
2010-12-31,0.9583
2011-01-31,0.9881
2011-02-28,1.0891
2011-03-31,1.0556
2011-04-29,1.0417
2011-05-31,1.0584
2011-06-30,1.0303
2011-07-29,0.9714
2011-08-31,1.0337
2011-09-30,0.9397
2011-10-31,1.0785
2011-11-30,1.0174
2011-12-30,1.1601
2012-01-31,1.0759
2012-02-29,1.0815
2012-03-30,1.0492
2012-04-30,1.0813
2012-05-31,1.1077
2012-06-29,1.1121
2012-07-31,1.1255
2012-08-31,1.0250
2012-09-28,1.0372
2012-10-31,0.9973
2012-11-30,1.0317
2012-12-31,0.9892
2013-01-31,1.0425
2013-02-28,1.0556
2013-03-29,0
2013-04-30,1.1453
2013-05-31,1.0284
2013-06-28,1.0374
2013-07-31,1.0839
2013-08-30,1.0468
2013-09-30,1.0110
2013-10-31,0.9848
2013-11-29,1.0661
2013-12-31,1.0833
2014-01-31,1.0517
2014-02-28,1.0976
2014-03-31,1.1441
2014-04-30,1.1034
2014-05-30,1.0821
2014-06-30,1.0914
2014-07-31,0.9666
2014-08-29,1.0145
2014-09-30,0.9604
2014-10-31,1.0745
2014-11-28,1.0812
2014-12-31,1.1428
2015-01-30,1.0913
2015-02-27,0.9944
2015-03-31,0.9825
2015-04-30,0.9223
2015-05-29,1.0171
2015-06-30,0.9359
2015-07-31,1.0597
2015-08-31,1.0039
2015-09-30,0.9554
2015-10-30,0.9781
2015-11-30,1.0574
2015-12-31,1.0485
2016-01-29,1.1012
2016-02-29,1.1302
2016-03-31,1.1512
2016-04-29,1.0323
2016-05-31,1.0586
2016-06-30,1.1254
2016-07-29,1.0817
2016-08-31,1.0057
2016-09-30,0.9600
2016-10-31,1.0232
2016-11-30,0.9187
2016-12-30,1.0155
2017-01-31,1.0080
2017-02-28,1.1554
2017-03-31,1.0862
2017-04-28,1.0974
2017-05-31,1.0902
2017-06-30,1.0801
2017-07-31,1.0951
2017-08-31,1.0625
2017-09-29,1.0569
2017-10-31,1.0612
2017-11-30,1.0728
2017-12-29,1.0579
2018-01-31,1.0638
2018-02-28,0.9696
2018-03-30,0
2018-04-30,1.0559
2018-05-31,1.0819
2018-06-29,1.0255
2018-07-31,1.0281
2018-08-31,1.0948
2018-09-28,1.0009
2018-10-31,1.0175
2018-11-30,1.0519
2018-12-31,1.0396
2019-01-31,1.0565
2019-02-28,1.0669
2019-03-29,1.1459
2019-04-30,1.1008
2019-05-31,1.0634
2019-06-28,1.0890
2019-07-31,1.0921
2019-08-30,1.0708
2019-09-30,1.1259
2019-10-31,1.1260
2019-11-29,1.0694
2019-12-31,1.0422
2020-01-31,1.1744
2020-02-28,1.0990
2020-03-31,1.0067
2020-04-30,0.8784
2020-05-29,0.9055
2020-06-30,1.0895
2020-07-31,1.2676
2020-08-31,1.1030
2020-09-30,1.1306
2020-10-30,1.0407
2020-11-30,1.0539
2020-12-31,1.0680
2021-01-29,1.0814
2021-02-26,1.0037
2021-03-31,1.0240
2021-04-30,0.9381
2021-05-31,0
2021-06-30,0.9499
2021-07-30,1.0615
2021-08-31,1.1643
2021-09-30,1.0471
2021-10-29,1.0650
2021-11-30,1.0172
2021-12-31,1.1551
2022-01-31,0.9205
2022-02-28,0.8959
2022-03-31,0.9392
