,ROCR_daily_60
2000-01-31,0.9066
2000-02-29,0.6885
2000-03-31,0.9189
2000-04-28,1.0111
2000-05-31,1.3692
2000-06-30,1.1123
2000-07-31,1.0832
2000-08-31,1.3624
2000-09-29,1.3226
2000-10-31,1.2443
2000-11-30,1.0497
2000-12-29,1.3127
2001-01-31,1.0985
2001-02-28,1.1263
2001-03-30,1.0731
2001-04-30,1.1327
2001-05-31,1.0744
2001-06-29,0.8883
2001-07-31,0.8989
2001-08-31,0.8799
2001-09-28,0.8684
2001-10-31,0.9317
2001-11-30,0.8411
2001-12-31,0.9790
2002-01-31,1.0875
2002-02-28,1.0187
2002-03-29,0
2002-04-30,1.0777
2002-05-31,1.0754
2002-06-28,0.9792
2002-07-31,0.8875
2002-08-30,0.8727
2002-09-30,0.8318
2002-10-31,0.8571
2002-11-29,1.0221
2002-12-31,1.2560
2003-01-31,1.0172
2003-02-28,0.8853
2003-03-31,0.8993
2003-04-30,1.0655
2003-05-30,1.1734
2003-06-30,1.0338
2003-07-31,1.0065
2003-08-29,0.9640
2003-09-30,1.0473
2003-10-31,1.1123
2003-11-28,1.0784
2003-12-31,1.0756
2004-01-30,1.0200
2004-02-27,1.0550
2004-03-31,1.0032
2004-04-30,0.9716
2004-05-31,0
2004-06-30,0.9675
2004-07-30,1.0381
2004-08-31,1.0354
2004-09-30,1.0262
2004-10-29,1.0459
2004-11-30,1.0630
2004-12-31,1.0760
2005-01-31,1.1010
2005-02-28,1.0490
2005-03-31,1.0291
2005-04-29,1.0223
2005-05-31,1.0592
2005-06-30,1.0874
2005-07-29,1.0461
2005-08-31,1.0141
2005-09-30,0.9780
2005-10-31,1.0123
2005-11-30,0.8884
2005-12-30,0.9090
2006-01-31,0.8879
2006-02-28,0.9642
2006-03-31,0.9635
2006-04-28,1.0552
2006-05-31,1.0941
2006-06-30,1.0577
2006-07-31,1.0844
2006-08-31,0.9932
2006-09-29,0.9954
2006-10-31,1.0875
2006-11-30,1.1781
2006-12-29,1.1104
2007-01-31,1.0322
2007-02-28,0.9768
2007-03-30,1.0167
2007-04-30,1.0384
2007-05-31,0.9478
2007-06-29,0.8441
2007-07-31,0.7710
2007-08-31,0.9100
2007-09-28,0.9308
2007-10-31,1.0780
2007-11-30,0.9897
2007-12-31,0.9770
2008-01-31,1.0297
2008-02-29,0.9397
2008-03-31,0.9244
2008-04-30,0.9201
2008-05-30,1.0315
2008-06-30,1.0206
2008-07-31,0.9650
2008-08-29,0.9373
2008-09-30,0.8490
2008-10-31,0.8022
2008-11-28,0.7546
2008-12-31,0.7910
2009-01-30,0.7478
2009-02-27,0.7887
2009-03-31,0.8984
2009-04-30,1.1512
2009-05-29,1.2966
2009-06-30,1.1779
2009-07-31,1.1510
2009-08-31,1.2292
2009-09-30,1.2075
2009-10-30,1.0271
2009-11-30,1.1052
2009-12-31,1.1424
2010-01-29,1.1162
2010-02-26,1.0708
2010-03-31,1.0349
2010-04-30,1.0941
2010-05-31,0
2010-06-30,0.8940
2010-07-30,1.0326
2010-08-31,1.2188
2010-09-30,1.1381
2010-10-29,1.0422
2010-11-30,0.9465
2010-12-31,1.0173
2011-01-31,1.0901
2011-02-28,1.1389
2011-03-31,1.0871
2011-04-29,1.0725
2011-05-31,1.0766
2011-06-30,1.0639
2011-07-29,1.0271
2011-08-31,1.1061
2011-09-30,1.0506
2011-10-31,1.1415
2011-11-30,1.1074
2011-12-30,1.1235
2012-01-31,1.0436
2012-02-29,1.0623
2012-03-30,1.0629
2012-04-30,1.0884
2012-05-31,1.0731
2012-06-29,1.0294
2012-07-31,1.0365
2012-08-31,0.9784
2012-09-28,1.0472
2012-10-31,1.0075
2012-11-30,0.9785
2012-12-31,0.9734
2013-01-31,1.0813
2013-02-28,1.1562
2013-03-29,0
2013-04-30,1.1390
2013-05-31,1.0253
2013-06-28,0.9744
2013-07-31,1.0262
2013-08-30,1.0394
2013-09-30,1.0881
2013-10-31,1.0385
2013-11-29,1.0985
2013-12-31,1.0833
2014-01-31,1.0846
2014-02-28,1.1108
2014-03-31,1.1085
2014-04-30,1.0852
2014-05-30,1.0850
2014-06-30,1.1180
2014-07-31,1.0372
2014-08-29,1.0537
2014-09-30,1.0785
2014-10-31,1.1567
2014-11-28,1.0568
2014-12-31,1.0276
2015-01-30,1.0148
2015-02-27,1.0397
2015-03-31,1.0463
2015-04-30,0.9766
2015-05-29,1.1179
2015-06-30,1.0266
2015-07-31,1.0786
