,ROCR_daily_60
2000-01-31,2.0961
2000-02-29,3.3616
2000-03-31,1.6920
2000-04-28,0.9349
2000-05-31,0.6152
2000-06-30,1.2208
2000-07-31,1.1060
2000-08-31,1.1609
2000-09-29,1.1426
2000-10-31,1.0713
2000-11-30,0.8348
2000-12-29,0.9665
2001-01-31,0.6941
2001-02-28,0.7242
2001-03-30,0.4431
2001-04-30,0.8763
2001-05-31,1.0682
2001-06-29,1.2514
2001-07-31,0.4745
2001-08-31,0.4367
2001-09-28,0.5783
2001-10-31,1.1737
2001-11-30,1.1015
2001-12-31,1.1999
2002-01-31,0.8036
2002-02-28,0.7918
2002-03-29,0
2002-04-30,0.5766
2002-05-31,0.6144
2002-06-28,1.0064
2002-07-31,1.0000
2002-08-30,0.9576
2002-09-30,0.6236
2002-10-31,0.9086
2002-11-29,1.5242
2002-12-31,1.6290
2003-01-31,0.8505
2003-02-28,0.5838
2003-03-31,0.7383
2003-04-30,1.4972
2003-05-30,2.2121
2003-06-30,1.3666
2003-07-31,1.0995
2003-08-29,0.9582
2003-09-30,1.3763
2003-10-31,1.7043
2003-11-28,1.1810
2003-12-31,1.0081
2004-01-30,1.2975
2004-02-27,1.4323
2004-03-31,1.4986
2004-04-30,1.1917
2004-05-31,0
2004-06-30,0.8899
2004-07-30,0.8352
2004-08-31,0.6181
2004-09-30,0.7621
2004-10-29,1.3789
2004-11-30,1.4177
2004-12-31,1.3404
2005-01-31,1.1393
2005-02-28,0.8938
2005-03-31,0.7055
2005-04-29,0.8388
2005-05-31,1.1993
2005-06-30,1.1631
2005-07-29,1.2719
2005-08-31,0.9788
2005-09-30,0.9443
2005-10-31,0.8480
2005-11-30,0.9735
2005-12-30,1.0061
2006-01-31,1.2930
2006-02-28,1.2395
2006-03-31,1.2117
2006-04-28,1.0897
2006-05-31,1.0005
2006-06-30,0.8942
2006-07-31,0.7457
2006-08-31,0.8690
2006-09-29,0.8201
2006-10-31,0.8963
2006-11-30,1.0086
2006-12-29,1.0446
2007-01-31,0.9097
2007-02-28,0.7483
2007-03-30,0.8570
2007-04-30,0.9810
2007-05-31,0.9676
2007-06-29,0.6988
2007-07-31,0.6728
2007-08-31,0.7727
2007-09-28,0.9056
2007-10-31,0.7102
2007-11-30,0.7649
2007-12-31,0.7913
2008-01-31,1.2687
2008-02-29,1.0725
2008-03-31,1.0515
2008-04-30,0.6667
2008-05-30,0.6308
2008-06-30,0.4786
2008-07-31,0.9274
2008-08-29,0.8465
2008-09-30,1.1397
2008-10-31,1.2540
2008-11-28,1.3194
2008-12-31,1.6597
2009-01-30,0.7611
2009-02-27,0.9615
2009-03-31,0.9309
2009-04-30,1.2844
2009-05-29,1.5698
2009-06-30,1.2706
2009-07-31,1.3234
2009-08-31,1.2300
2009-09-30,1.5710
2009-10-30,1.0870
2009-11-30,1.0369
2009-12-31,0.9510
2010-01-29,1.3944
2010-02-26,1.4225
2010-03-31,1.5713
2010-04-30,1.1682
2010-05-31,0
2010-06-30,0.8013
2010-07-30,0.9001
2010-08-31,1.1259
2010-09-30,1.2207
2010-10-29,0.9871
2010-11-30,0.8941
2010-12-31,0.8533
2011-01-31,0.7434
2011-02-28,0.7271
2011-03-31,0.7931
2011-04-29,0.9301
2011-05-31,1.0889
2011-06-30,0.7434
2011-07-29,0.6408
2011-08-31,0.6947
2011-09-30,0.6348
2011-10-31,1.0131
2011-11-30,0.9363
2011-12-30,1.2110
2012-01-31,1.2601
2012-02-29,1.4573
2012-03-30,1.3944
2012-04-30,1.1019
2012-05-31,0.8945
2012-06-29,1.0413
2012-07-31,1.2348
2012-08-31,1.2292
2012-09-28,1.2971
2012-10-31,1.0962
2012-11-30,0.7376
2012-12-31,0.7050
2013-01-31,0.9640
2013-02-28,1.4210
2013-03-29,0
2013-04-30,1.2304
2013-05-31,0.9498
2013-06-28,1.0794
2013-07-31,1.0768
2013-08-30,1.3282
2013-09-30,0.8704
2013-10-31,0.8575
2013-11-29,0.9767
2013-12-31,1.0627
2014-01-31,1.4301
2014-02-28,1.0674
2014-03-31,1.0211
2014-04-30,0.9152
2014-05-30,0.7842
2014-06-30,1.0920
2014-07-31,0.9411
2014-08-29,1.2454
2014-09-30,0.9695
2014-10-31,1.1103
2014-11-28,1.2141
2014-12-31,1.2450
2015-01-30,1.0601
2015-02-27,0.7666
2015-03-31,0.7254
2015-04-30,0.6543
2015-05-29,0.8588
2015-06-30,1.1670
2015-07-31,1.1052
2015-08-31,0.9453
2015-09-30,0.9384
2015-10-30,1.0119
2015-11-30,1.4095
2015-12-31,1.6359
2016-01-29,1.1126
2016-02-29,0.7065
2016-03-31,0.8488
2016-04-29,1.2847
2016-05-31,1.3604
2016-06-30,0.9289
2016-07-29,1.2332
2016-08-31,1.1149
2016-09-30,1.2014
2016-10-31,0.7053
2016-11-30,0.6490
2016-12-30,0.7192
2017-01-31,0.9735
2017-02-28,1.0647
2017-03-31,1.7834
2017-04-28,1.5020
2017-05-31,1.3825
2017-06-30,0.9274
2017-07-31,1.1749
2017-08-31,1.1156
2017-09-29,1.2308
2017-10-31,1.1896
2017-11-30,2.4915
2017-12-29,2.3974
2018-01-31,3.5533
2018-02-28,1.6033
2018-03-30,0
2018-04-30,0.9428
2018-05-31,0.8183
2018-06-29,0.4814
2018-07-31,0.6813
2018-08-31,1.2552
2018-09-28,1.2823
2018-10-31,0.7082
2018-11-30,0.6120
2018-12-31,0.6112
2019-01-31,1.0406
2019-02-28,1.0326
2019-03-29,0.9819
2019-04-30,0.7580
2019-05-31,0.8607
2019-06-28,1.0082
2019-07-31,0.8706
2019-08-30,0.5327
2019-09-30,0.5184
2019-10-31,0.5946
2019-11-29,1.1681
2019-12-31,1.1381
2020-01-31,1.0769
2020-02-28,1.0683
2020-03-31,0.8695
2020-04-30,0.8711
2020-05-29,1.0648
2020-06-30,1.3737
2020-07-31,1.1347
2020-08-31,0.8684
2020-09-30,0.6872
2020-10-30,0.7364
2020-11-30,0.8559
2020-12-31,0.9889
2021-01-29,1.2221
2021-02-26,1.3844
2021-03-31,1.1325
2021-04-30,0.9854
2021-05-31,0
2021-06-30,0.8474
2021-07-30,0.8453
2021-08-31,0.9359
2021-09-30,1.0806
2021-10-29,0.9553
2021-11-30,0.7095
2021-12-31,0.8381
2022-01-31,0.6533
2022-02-28,0.9143
2022-03-31,0.3929
