,ROCR_daily_60
2000-01-31,0.9216
2000-02-29,0.8463
2000-03-31,1.0246
2000-04-28,0.9643
2000-05-31,1.3071
2000-06-30,1.0663
2000-07-31,1.0691
2000-08-31,1.1443
2000-09-29,1.5004
2000-10-31,1.3620
2000-11-30,1.2301
2000-12-29,1.1673
2001-01-31,1.1041
2001-02-28,1.0842
2001-03-30,0.8864
2001-04-30,0.9814
2001-05-31,0.9653
2001-06-29,0.9858
2001-07-31,0.8765
2001-08-31,0.7909
2001-09-28,0.8473
2001-10-31,0.9600
2001-11-30,1.0673
2001-12-31,1.0286
2002-01-31,1.0268
2002-02-28,1.0700
2002-03-29,0
2002-04-30,1.2848
2002-05-31,1.0621
2002-06-28,1.0545
2002-07-31,0.8364
2002-08-30,0.9595
2002-09-30,0.9099
2002-10-31,0.9931
2002-11-29,1.0384
2002-12-31,1.0660
2003-01-31,0.9176
2003-02-28,0.9273
2003-03-31,0.9495
2003-04-30,1.1114
2003-05-30,1.1643
2003-06-30,1.0693
2003-07-31,1.0535
2003-08-29,1.0247
2003-09-30,1.0031
2003-10-31,1.0394
2003-11-28,0.9349
2003-12-31,1.0604
2004-01-30,1.1406
2004-02-27,1.1227
2004-03-31,1.0327
2004-04-30,0.9616
2004-05-31,0
2004-06-30,0.9730
2004-07-30,1.0033
2004-08-31,1.1224
2004-09-30,1.1984
2004-10-29,1.2101
2004-11-30,1.1910
2004-12-31,1.0829
2005-01-31,1.0344
2005-02-28,1.0639
2005-03-31,1.1158
2005-04-29,1.0258
2005-05-31,1.0197
2005-06-30,1.0516
2005-07-29,1.2009
2005-08-31,1.1021
2005-09-30,1.0479
2005-10-31,0.8546
2005-11-30,0.8353
2005-12-30,0.8241
2006-01-31,1.0260
2006-02-28,1.1263
2006-03-31,1.1784
2006-04-28,1.2005
2006-05-31,1.1515
2006-06-30,1.0194
2006-07-31,1.1499
2006-08-31,1.1478
2006-09-29,1.1488
2006-10-31,1.1181
2006-11-30,1.1341
2006-12-29,1.1248
2007-01-31,1.0394
2007-02-28,0.9800
2007-03-30,1.0526
2007-04-30,1.1313
2007-05-31,1.3333
2007-06-29,1.1226
2007-07-31,1.0384
2007-08-31,0.9466
2007-09-28,0.9101
2007-10-31,1.0578
2007-11-30,1.0003
2007-12-31,0.9416
2008-01-31,0.9105
2008-02-29,0.9953
2008-03-31,1.0063
2008-04-30,0.9927
2008-05-30,1.0528
2008-06-30,1.0696
2008-07-31,0.9376
