,ROCR_daily_60
2000-01-31,0.8224
2000-02-29,0.6398
2000-03-31,0.8652
2000-04-28,0.8068
2000-05-31,1.0958
2000-06-30,1.0360
2000-07-31,1.4726
2000-08-31,1.0913
2000-09-29,1.2542
2000-10-31,1.2249
2000-11-30,1.4651
2000-12-29,1.4592
2001-01-31,1.1179
2001-02-28,1.2561
2001-03-30,1.1024
2001-04-30,1.0799
2001-05-31,0.9427
2001-06-29,1.0032
2001-07-31,1.1500
2001-08-31,1.1243
2001-09-28,1.1155
2001-10-31,1.0236
2001-11-30,1.0784
2001-12-31,0.9931
2002-01-31,1.0936
2002-02-28,1.0952
2002-03-29,0
2002-04-30,1.0703
2002-05-31,1.0145
2002-06-28,1.0135
2002-07-31,0.9500
2002-08-30,0.9647
2002-09-30,1.0063
2002-10-31,1.1564
2002-11-29,1.0581
2002-12-31,1.1190
2003-01-31,1.0366
2003-02-28,1.0930
2003-03-31,1.0586
2003-04-30,1.0691
2003-05-30,1.1080
2003-06-30,1.0239
2003-07-31,1.0970
2003-08-29,0.9937
2003-09-30,0.9223
2003-10-31,0.9515
2003-11-28,0.9229
2003-12-31,0.9690
2004-01-30,0.9810
2004-02-27,1.1450
2004-03-31,1.1235
2004-04-30,0.9611
2004-05-31,0
2004-06-30,0.9700
2004-07-30,0.9947
2004-08-31,1.0193
2004-09-30,1.1483
2004-10-29,1.2174
2004-11-30,1.3202
2004-12-31,1.1954
2005-01-31,1.0235
2005-02-28,0.9513
2005-03-31,0.9155
2005-04-29,0.9389
2005-05-31,0.9614
2005-06-30,1.0175
2005-07-29,1.0568
2005-08-31,1.0157
2005-09-30,1.0862
2005-10-31,1.0932
2005-11-30,1.0512
2005-12-30,1.0422
2006-01-31,1.0461
2006-02-28,1.0693
2006-03-31,0.9264
2006-04-28,0.9513
2006-05-31,0.9553
2006-06-30,1.0003
2006-07-31,0.9707
2006-08-31,0.9073
2006-09-29,0.9917
2006-10-31,0.9732
2006-11-30,0.9300
2006-12-29,0.9559
2007-01-31,0.9523
2007-02-28,0.9479
2007-03-30,0.8621
2007-04-30,1.1858
