,ROCR_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0.9016
2007-10-31,1.0276
2007-11-30,1.0655
2007-12-31,1.0343
2008-01-31,0.9579
2008-02-29,0.8866
2008-03-31,0.9372
2008-04-30,1.1100
2008-05-30,1.2322
2008-06-30,1.0035
2008-07-31,0.8622
2008-08-29,0.8474
2008-09-30,0.7910
2008-10-31,0.5859
2008-11-28,0.5436
2008-12-31,0.6502
2009-01-30,0.7186
2009-02-27,0.6304
2009-03-31,0.6468
2009-04-30,1.2807
2009-05-29,1.9315
2009-06-30,1.4674
2009-07-31,1.1836
2009-08-31,1.1490
2009-09-30,1.3447
2009-10-30,0.9863
2009-11-30,1.0403
2009-12-31,1.1426
2010-01-29,1.1682
2010-02-26,1.1117
2010-03-31,1.1047
2010-04-30,1.2704
2010-05-31,0
2010-06-30,0.9026
2010-07-30,0.8888
2010-08-31,0.9119
2010-09-30,1.1607
2010-10-29,1.1487
2010-11-30,1.1497
2010-12-31,1.1889
2011-01-31,1.1334
2011-02-28,1.1342
2011-03-31,0.9851
2011-04-29,0.9729
2011-05-31,1.0063
2011-06-30,1.0779
2011-07-29,0.9716
2011-08-31,0.8579
2011-09-30,0.7403
2011-10-31,1.1727
2011-11-30,1.1090
2011-12-30,1.0723
2012-01-31,0.9659
2012-02-29,1.1743
2012-03-30,1.1699
2012-04-30,1.0605
2012-05-31,0.9083
2012-06-29,0.9074
2012-07-31,0.9656
2012-08-31,1.1036
2012-09-28,1.0550
2012-10-31,0.9816
2012-11-30,1.0115
2012-12-31,1.0929
2013-01-31,1.2083
2013-02-28,1.1464
2013-03-29,0
2013-04-30,1.1120
2013-05-31,1.0772
2013-06-28,1.1059
2013-07-31,1.1436
2013-08-30,1.1080
2013-09-30,1.1145
2013-10-31,1.0206
2013-11-29,1.0533
2013-12-31,1.0624
2014-01-31,1.0940
