,ROCR_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,1.0651
2003-02-28,1.1459
2003-03-31,1.1407
2003-04-30,1.2463
2003-05-30,1.3527
2003-06-30,1.1912
2003-07-31,0.9704
2003-08-29,0.9083
2003-09-30,1.0383
2003-10-31,1.2576
2003-11-28,1.5279
2003-12-31,1.4665
2004-01-30,1.4952
2004-02-27,1.4719
2004-03-31,1.2195
2004-04-30,1.2868
2004-05-31,0
2004-06-30,1.1034
2004-07-30,0.8945
2004-08-31,0.9507
2004-09-30,1.3718
2004-10-29,1.6529
2004-11-30,1.4826
2004-12-31,1.2460
2005-01-31,1.0709
2005-02-28,1.2010
2005-03-31,1.0334
2005-04-29,0.7785
2005-05-31,0.6539
2005-06-30,0.7380
2005-07-29,1.1355
2005-08-31,0.9004
2005-09-30,0.9192
2005-10-31,0.8988
2005-11-30,1.1308
2005-12-30,1.2260
2006-01-31,1.3004
2006-02-28,1.1902
2006-03-31,1.4271
2006-04-28,1.1673
2006-05-31,0.9856
2006-06-30,0.9352
2006-07-31,0.8989
2006-08-31,1.1092
2006-09-29,0.9431
2006-10-31,1.0643
2006-11-30,1.2386
2006-12-29,1.4043
2007-01-31,1.6397
2007-02-28,1.1082
2007-03-30,0.9854
2007-04-30,0.9112
2007-05-31,1.0441
2007-06-29,0.9133
2007-07-31,0.9419
2007-08-31,1.3239
2007-09-28,1.6986
2007-10-31,1.3657
2007-11-30,1.0414
2007-12-31,0.7818
2008-01-31,0.8047
2008-02-29,0.8345
2008-03-31,0.9201
2008-04-30,0.9450
2008-05-30,1.0085
2008-06-30,0.7207
2008-07-31,0.9030
2008-08-29,0.9568
2008-09-30,0.9955
2008-10-31,0.5932
2008-11-28,0.4406
2008-12-31,0.6236
2009-01-30,0.5831
2009-02-27,0.6185
2009-03-31,0.4211
2009-04-30,1.3612
2009-05-29,2.1547
2009-06-30,1.1906
2009-07-31,1.0860
2009-08-31,1.3333
2009-09-30,2.3054
2009-10-30,0.9754
2009-11-30,1.2803
2009-12-31,0.8990
2010-01-29,1.2205
2010-02-26,0.9850
2010-03-31,1.1856
2010-04-30,1.3736
2010-05-31,0
2010-06-30,0.9359
2010-07-30,1.0277
2010-08-31,1.0692
2010-09-30,1.1084
2010-10-29,1.1898
2010-11-30,1.2408
2010-12-31,1.2411
2011-01-31,1.1280
2011-02-28,1.1731
2011-03-31,1.1314
2011-04-29,1.2421
2011-05-31,1.1239
2011-06-30,1.0818
2011-07-29,1.0770
2011-08-31,1.1404
2011-09-30,0.7329
2011-10-31,0.9528
2011-11-30,0.8490
2011-12-30,0.9659
2012-01-31,0.9082
2012-02-29,1.0010
2012-03-30,1.1199
2012-04-30,1.1095
2012-05-31,0.8674
2012-06-29,0.8422
2012-07-31,0.7434
2012-08-31,1.0105
2012-09-28,1.1398
2012-10-31,1.2668
2012-11-30,1.1960
