,ROC_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,14.7907
2005-11-30,34.2526
2005-12-30,8.3431
2006-01-31,-21.0016
2006-02-28,14.1034
2006-03-31,25.5099
2006-04-28,15.3908
2006-05-31,2.8634
2006-06-30,10.2290
2006-07-31,-9.5964
2006-08-31,-9.2569
2006-09-29,4.9231
2006-10-31,4.6160
2006-11-30,17.0068
2006-12-29,-5.1268
2007-01-31,3.9554
2007-02-28,-1.5254
2007-03-30,-10.2073
2007-04-30,-18.7775
2007-05-31,-1.4649
2007-06-29,-14.1277
2007-07-31,1.0098
2007-08-31,-0.6101
2007-09-28,-12.9642
2007-10-31,-4.7521
2007-11-30,-22.6155
2007-12-31,-29.1767
2008-01-31,3.9039
2008-02-29,-10.4046
2008-03-31,-28.1452
2008-04-30,-6.3250
2008-05-30,-57.6471
2008-06-30,-33.5106
2008-07-31,113.5021
2008-08-29,64.5349
2008-09-30,-31.6327
2008-10-31,56.2404
2008-11-28,-36.1200
2008-12-31,28.8333
2009-01-30,-26.6494
2009-02-27,-55.9505
2009-03-31,10.0000
2009-04-30,45.7692
2009-05-29,-31.9261
2009-06-30,-21.1039
2009-07-31,19.1057
2009-08-31,24.0876
2009-09-30,56.6667
2009-10-30,-29.0023
2009-11-30,20.5882
2009-12-31,21.9144
2010-01-29,9.0349
2010-02-26,42.6070
2010-03-31,-1.6064
2010-04-30,-4.4595
2010-05-31,0
2010-06-30,-8.7924
2010-07-30,25.4335
2010-08-31,-15.1970
2010-09-30,-3.2427
2010-10-29,26.9107
2010-11-30,-4.2882
2010-12-31,-9.9010
2011-01-31,-0.8991
2011-02-28,-15.2559
2011-03-31,4.1866
2011-04-29,4.3628
2011-05-31,0.4415
2011-06-30,-2.1954
2011-07-29,-29.9663
2011-08-31,-5.2542
2011-09-30,3.9698
2011-10-31,24.6220
2011-11-30,-14.1818
2011-12-30,2.6316
2012-01-31,66.4694
2012-02-29,-12.2038
2012-03-30,-0.5242
2012-04-30,35.1779
2012-05-31,28.8499
2012-06-29,5.4589
2012-07-31,-15.4244
2012-08-31,-2.1120
2012-09-28,0.5769
2012-10-31,13.3023
2012-11-30,2.7092
2012-12-31,4.7324
2013-01-31,2.1459
2013-02-28,-6.0839
2013-03-29,0
